Nomor,KP,Jumlah,Entri,Tipe,Pembentukan
114403,k,0,senong,dasar,
114403.1,x,,se- + <nong>,bentukan,[66] se- + (<all>) + (-an;-kan;-nya)
,,,,,
114404,k,51,senonoh,dasar,
114404.1,x,,se- + <nonoh>,bentukan,[66] se- + (<all>) + (-an;-kan;-nya)
,,,,,
114405,v,29,senopati,dasar,
114405.1,x,,se- + <nopati>,bentukan,[66] se- + (<all>) + (-an;-kan;-nya)
114405.2,x,,<senopat> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
114406,v,10,senormal,dasar,
114406.1,v,,se- + <normal>,bentukan,[66] se- + (<all>) + (-an;-kan;-nya)
,,,,,
114407,k,0,senoyong,dasar,
114407.1,x,,se- + <noyong>,bentukan,[66] se- + (<all>) + (-an;-kan;-nya)
,,,,,
114408,k,322,sensasi,dasar,
114408.1,x,,<sensas> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
114409,v,2,sensasi-sensasi,dasar,
114409.1,v,,<sensasi> [-] <r>,bentukan,[23] [RD] |
114409.2,x,,<sensas> + -i [-] <r> + -i,bentukan,[28] [S] -i + (<all>) => [23] [RD] |
,,,,,
114410,v,20,sensasinya,dasar,
114410.1,v,,<sensasi> + -nya,bentukan,[34] [SFS] -nya + (<all>)
114410.2,x,,<sensas> + -i + -nya,bentukan,[28] [S] -i + (<all>) => [34] [SFS] -nya + (<all>)
,,,,,
114411,k,30,sensasional,dasar,
,,,,,
114412,v,2,sensasionalitas,dasar,
114412.1,v,,<sensasional> + -itas,bentukan,[205] [S] -itas + (<others>)
,,,,,
114413,k,9,sensei,dasar,
114413.1,x,,<sense> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
114414,t,11,sensi,dasar,sensitif
114414.1,x,,<sens> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
114415,k,0,sensibel,dasar,
,,,,,
114416,k,8,sensibilitas,dasar,
114416.1,x,,<sensibil> + -itas,bentukan,[205] [S] -itas + (<others>)
,,,,,
114417,k,0,sensifitas,dasar,
114417.1,x,,<sensif> + -itas,bentukan,[182] [S] -itas + ([f:v])
,,,,,
114418,k,581,sensitif,dasar,
,,,,,
114419,c,30,sensitifitas,dasar,sensitivitas
114419.1,v,,<sensitif> + -itas,bentukan,[182] [S] -itas + ([f:v])
,,,,,
114420,t,3,sensitifitasnya,dasar,sensitivitasnya
114420.1,x,,<sensitifitas> + -nya,bentukan,[34] [SFS] -nya + (<all>)
114420.2,x,,<sensitif> + -itas + -nya,bentukan,[182] [S] -itas + ([f:v]) => [34] [SFS] -nya + (<all>)
,,,,,
