Nomor,KP,Jumlah,Entri,Tipe,Pembentukan
12554,k,0,berdarah putih,dasar,
12554.1,x,,ber- + <darah putih>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
12555,k,0,berdarah seni,dasar,
12555.1,x,,ber- + <darah sen> + -i,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
12555.2,x,,ber- + <darah seni>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
12555.3,x,,<berdarah sen> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
12556,v,63,berdarah-darah,dasar,
12556.1,v,,ber- + <darah> [-] <r>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya) => [27] [RD] ber-|
,,,,,
12557,v,3,berdarma,dasar,
12557.1,v,,ber- + <darma>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
12558,k,3,berdarmawisata,dasar,
12558.1,v,,ber- + <darmawisata>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
12558.2,x,,<berdarma> + -wisata,bentukan,[212] [S] -wisata + (<all>)
,,,,,
12559,k,544,berdasar,dasar,
12559.1,v,,ber- + <dasar>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
12560,k,8402,berdasarkan,dasar,
12560.1,v,,ber- + <dasar> + -kan,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
12560.2,x,,ber- + <dasark> + -an,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
12560.3,x,,ber- + <dasarkan>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
12560.4,x,,<berdasar> + -kan,bentukan,[29] [S] -kan + (<all>)
12560.5,x,,<berdasark> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
12561,k,39,berdasi,dasar,
12561.1,x,,ber- + <das> + -i,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
12561.2,v,,ber- + <dasi>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
12561.3,x,,<berdas> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
12562,v,4,berdaster,dasar,
12562.1,v,,ber- + <daster>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
12563,k,4,berdatang,dasar,
12563.1,v,,ber- + <datang>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
12564,k,0,berdatang sembah,dasar,
12564.1,x,,ber- + <datang sembah>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
12565,k,297,berdatangan,dasar,
12565.1,v,,ber- + <datang> + -an,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
12565.2,x,,ber- + <datangan>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
12565.3,x,,<berdatang> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
12566,k,0,berdatuk,dasar,
12566.1,v,,ber- + <datuk>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
12567,k,165,berdaulat,dasar,
12567.1,v,,ber- + <daulat>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
12568,k,55,berdaun,dasar,
12568.1,v,,ber- + <daun>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
12569,k,0,berdaur,dasar,
12569.1,v,,ber- + <daur>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
12570,k,8,berdawai,dasar,
12570.1,x,,ber- + <dawa> + -i,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
12570.2,v,,ber- + <dawai>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
12570.3,x,,<berdawa> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
12571,k,0,berdawat,dasar,
12571.1,v,,ber- + <dawat>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
12572,k,951,berdaya,dasar,
12572.1,v,,ber- + <daya>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
12573,k,0,berdaya guna,dasar,
