Nomor,KP,Jumlah,Entri,Tipe,Pembentukan
41001,k,0,hidrofotometer,dasar,
41001.1,x,,<hidrofoto> + -meter,bentukan,[189] [S] -meter + (<all>)
,,,,,
41002,k,0,hidrogasifikasi,dasar,
41002.1,x,,<hidrogasifikas> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
41003,k,4,hidrogel,dasar,
,,,,,
41004,k,128,hidrogen,dasar,
,,,,,
41005,k,0,hidrogen peroksida,dasar,
,,,,,
41006,k,0,hidrogen sulfida,dasar,
,,,,,
41007,k,0,hidrogenase,dasar,
41007.1,x,,<hidrogen> + -ase,bentukan,[210] [S] -ase + (<all>)
,,,,,
41008,k,7,hidrogenasi,dasar,
41008.1,x,,<hidrogenas> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
41009,k,17,hidrogeologi,dasar,
41009.1,x,,<hidrogeolog> + -i,bentukan,[28] [S] -i + (<all>)
41009.2,x,,<hidrogeo> + -logi,bentukan,[190] [S] -logi + (<all>)
,,,,,
41010,t,15,hidrogeologis,dasar,hidrogeologi
41010.1,v,,<hidrogeologi> + [-is:-s],bentukan,[177] [S] -is + (i)
41010.2,v,,<hidrogeolog> + -is,bentukan,[178] [S] -is + (<others>)
41010.3,x,,<hidrogeo> + -logi+-s,bentukan,[194] [MS] -logi+-s + (<all>)
,,,,,
41011,k,3,hidrograf,dasar,
41011.1,x,,<hidro> + -graf,bentukan,[191] [S] -graf + (<all>)
,,,,,
41012,k,14,hidrografi,dasar,
41012.1,x,,<hidrograf> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
41013,k,0,hidrogram,dasar,
,,,,,
41014,k,57,hidrokarbon,dasar,
,,,,,
41015,k,0,hidrokarbon alifatik,dasar,
,,,,,
41016,k,0,hidrokarbon aromatik,dasar,
,,,,,
41017,k,0,hidrokarbon jenuh,dasar,
,,,,,
41018,k,0,hidrokarbon siklik,dasar,
,,,,,
41019,k,0,hidrokarbon takjenuh,dasar,
,,,,,
41020,k,0,hidrokel,dasar,
,,,,,
41021,k,0,hidrokinematika,dasar,
,,,,,
41022,k,0,hidrokinetika,dasar,
,,,,,
41023,v,3,hidroklimatologi,dasar,
