Nomor,KP,Jumlah,Entri,Tipe,Pembentukan
61714,k,127,lalat,dasar,
,,,,,
61715,k,0,lalat buah,dasar,
,,,,,
61716,k,0,lalat hijau,dasar,
,,,,,
61717,k,0,lalat kandang,dasar,
,,,,,
61718,k,0,lalat kerbau,dasar,
,,,,,
61719,k,0,lalat kuda,dasar,
,,,,,
61720,k,0,lalat limbah,dasar,
,,,,,
61721,k,0,lalat putih,dasar,
,,,,,
61722,k,0,lalat rumah,dasar,
,,,,,
61723,k,0,lalat tsetse,dasar,
,,,,,
61724,v,7,lalat-lalat,dasar,
61724.1,v,,<lalat> [-] <r>,bentukan,[23] [RD] |
,,,,,
61725,k,7,lalau,dasar,
,,,,,
61726,k,0,lalemna,dasar,
,,,,,
61727,k,0,laler,dasar,
,,,,,
61728,k,20,lali,dasar,
61728.1,x,,<lal> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
61729,c,20,lalim,dasar,zalim
,,,,,
61730,k,0,laliofobia,dasar,
61730.1,x,,<lalio> + -fobia,bentukan,[107] [S] -fobia + (<all>)
,,,,,
61731,k,0,laloda,dasar,
,,,,,
61732,k,13728,lalu,dasar,
,,,,,
61733,k,0,lalu akal,dasar,
,,,,,
61734,k,0,lalu lintas,dasar,
,,,,,
61735,k,0,lalu lintas giral,dasar,
,,,,,
61736,k,68,lalu-lalang,dasar,
61736.1,v,,<[lalu:lalu-lalang]>,bentukan,[Reduplication-Rhyming]
,,,,,
61737,v,11,lalu-lalu,dasar,
61737.1,v,,<lalu> [-] <r>,bentukan,[23] [RD] |
,,,,,
61738,k,2,laluan,dasar,
61738.1,v,,<lalu> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
61739,v,174,lalui,dasar,
61739.1,v,,<lalu> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
61740,v,134,lalunya,dasar,
61740.1,v,,<lalu> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
61741,k,145,lam,dasar,
,,,,,
61742,k,0,lam muri,dasar,
61742.1,x,,<lam mur> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
61743,k,7710,lama,dasar,
,,,,,
61744,k,0,lama insolasi,dasar,
61744.1,x,,<lama insolas> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
61745,k,161,lama-kelamaan,dasar,
61745.1,v,,<lama> [-] ke- + <r> + -an,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya) => [80] [RD] |ke-
,,,,,
61746,k,293,lama-lama,dasar,
61746.1,v,,<lama> [-] <r>,bentukan,[23] [RD] |
,,,,,
61747,k,0,lamaholot,dasar,
,,,,,
61748,k,3,lamak,dasar,
,,,,,
61749,v,17,lamakah,dasar,
61749.1,v,,<lama> + -kah,bentukan,[30] [FS] -kah + (<all>)
,,,,,
61750,k,0,lamalif,dasar,
,,,,,
61751,k,950,laman,dasar,
61751.1,x,,<lam> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
61752,v,5,laman-laman,dasar,
61752.1,v,,<laman> [-] <r>,bentukan,[23] [RD] |
61752.2,x,,<lam> + -an [-] <r> + -an,bentukan,[38] [S] -an + (<all>) => [23] [RD] |
,,,,,
61753,k,18,lamandau,dasar,
,,,,,
61754,k,2,lamang,dasar,
,,,,,
61755,v,10,lamannya,dasar,
61755.1,v,,<laman> + -nya,bentukan,[34] [SFS] -nya + (<all>)
61755.2,x,,<lam> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>)
,,,,,
61756,v,713,lamanya,dasar,
61756.1,v,,<lama> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
61757,k,15,lamar,dasar,
,,,,,
61758,v,2,lamar-melamar,dasar,
61758.1,v,,<lamar> [-] [meng-:me-] + <r>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan) => [24] [RD] |meng-
,,,,,
61759,k,134,lamaran,dasar,
61759.1,v,,<lamar> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
61760,v,6,lamaranku,dasar,
61760.1,v,,<lamaran> + -ku,bentukan,[32] [SFS] -ku + (<all>)
61760.2,v,,<lamar> + -an + -ku,bentukan,[38] [S] -an + (<all>) => [32] [SFS] -ku + (<all>)
,,,,,
61761,v,3,lamaranmu,dasar,
61761.1,v,,<lamaran> + -mu,bentukan,[33] [SFS] -mu + (<all>)
61761.2,v,,<lamar> + -an + -mu,bentukan,[38] [S] -an + (<all>) => [33] [SFS] -mu + (<all>)
,,,,,
61762,v,13,lamarannya,dasar,
61762.1,v,,<lamaran> + -nya,bentukan,[34] [SFS] -nya + (<all>)
61762.2,v,,<lamar> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>)
,,,,,
61763,v,11,lamat,dasar,
,,,,,
61764,k,94,lamat-lamat,dasar,
61764.1,v,,<lamat> [-] <r>,bentukan,[23] [RD] |
,,,,,
61765,k,6,lamba,dasar,
,,,,,
61766,k,9,lambai,dasar,
61766.1,x,,<lamba> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
61767,k,61,lambaian,dasar,
61767.1,v,,<lambai> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
61768,v,7,lambaikan,dasar,
61768.1,v,,<lambai> + -kan,bentukan,[29] [S] -kan + (<all>)
61768.2,x,,<lambaik> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
61769,k,0,lambak,dasar,
,,,,,
61770,k,240,lamban,dasar,
61770.1,x,,<lamb> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
61771,k,397,lambang,dasar,
,,,,,
61772,k,0,lambang aljabar,dasar,
,,,,,
61773,k,0,lambang awan,dasar,
61773.1,x,,<lambang aw> + -an,bentukan,[38] [S] -an + (<all>)
61773.2,x,,<lambang a> + -wan,bentukan,[180] [S] -wan + (<others>)
61773.3,x,,<lambang > + [-wan:-awan],bentukan,[18000001] [S] -wan + (<all>)
,,,,,
61774,k,0,lambang meteorologi,dasar,
61774.1,x,,<lambang meteorolog> + -i,bentukan,[28] [S] -i + (<all>)
61774.2,x,,<lambang meteoro> + -logi,bentukan,[190] [S] -logi + (<all>)
,,,,,
61775,k,0,lambang negara,dasar,
,,,,,
61776,k,0,lambang struktur,dasar,
,,,,,
61777,v,40,lambang-lambang,dasar,
61777.1,v,,<lambang> [-] <r>,bentukan,[23] [RD] |
,,,,,
61778,v,2,lambangkan,dasar,
61778.1,v,,<lambang> + -kan,bentukan,[29] [S] -kan + (<all>)
61778.2,x,,<lambangk> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
61779,v,8,lambangnya,dasar,
61779.1,v,,<lambang> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
61780,v,36,lambannya,dasar,
61780.1,v,,<lamban> + -nya,bentukan,[34] [SFS] -nya + (<all>)
61780.2,x,,<lamb> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>)
,,,,,
61781,k,0,lambapuse,dasar,
,,,,,
61782,k,0,lambar,dasar,
,,,,,
61783,k,2107,lambat,dasar,
,,,,,
61784,k,0,lambat banget,dasar,
,,,,,
61785,k,0,lambat laun,dasar,
,,,,,
61786,k,17,lambat-lambat,dasar,
61786.1,v,,<lambat> [-] <r>,bentukan,[23] [RD] |
,,,,,
61787,v,88,lambatnya,dasar,
61787.1,v,,<lambat> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
61788,k,0,lambda,dasar,
,,,,,
61789,k,5,lambe,dasar,
,,,,,
61790,k,21,lambert,dasar,
,,,,,
61791,k,8,lambing,dasar,
,,,,,
61792,k,0,lambit,dasar,
,,,,,
61793,k,0,lambo,dasar,
,,,,,
61794,k,0,lamboya,dasar,
,,,,,
61795,k,2,lambu,dasar,
,,,,,
61796,k,0,lambuk,dasar,
,,,,,
61797,k,243,lambung,dasar,
,,,,,
61798,k,0,lambung bebas,dasar,
,,,,,
61799,k,0,lambung jala,dasar,
,,,,,
61800,k,0,lambung masam,dasar,
,,,,,
61801,k,0,lambung otot,dasar,
,,,,,
61802,k,0,lambung sejati,dasar,
61802.1,x,,<lambung sejat> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
61803,k,0,lambung timbul,dasar,
,,,,,
61804,v,4,lambungku,dasar,
61804.1,v,,<lambung> + -ku,bentukan,[32] [SFS] -ku + (<all>)
,,,,,
61805,v,4,lambungmu,dasar,
61805.1,v,,<lambung> + -mu,bentukan,[33] [SFS] -mu + (<all>)
,,,,,
61806,v,2,lambungmulah,dasar,
61806.1,x,,<lambungmu> + -lah,bentukan,[31] [FS] -lah + (<all>)
61806.2,v,,<lambung> + -mu + -lah,bentukan,[33] [SFS] -mu + (<all>) => [31] [FS] -lah + (<all>)
,,,,,
61807,v,34,lambungnya,dasar,
61807.1,v,,<lambung> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
61808,k,0,lambur,dasar,
,,,,,
61809,k,0,lamdukpai,dasar,
61809.1,x,,<lamdukpa> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
61810,k,4,lame,dasar,
,,,,,
