Nomor,KP,Jumlah,Entri,Tipe,Pembentukan
69057,k,0,melingsirkan,dasar,
69057.1,v,,[meng-:me-] + <lingsir> + -kan,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
69057.2,x,,[meng-:me-] + <lingsirkan>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
69057.3,x,,<melingsir> + -kan,bentukan,[29] [S] -kan + (<all>)
69057.4,x,,<melingsirk> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
69058,k,0,melinierkan,dasar,
69058.1,v,,[meng-:me-] + <linier> + -kan,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
69058.2,x,,[meng-:me-] + <linierkan>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
69058.3,x,,<melinier> + -kan,bentukan,[29] [S] -kan + (<all>)
69058.4,x,,<melinierk> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
69059,k,0,melinjak,dasar,
69059.1,v,,[meng-:me-] + <linjak>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
,,,,,
69060,k,22,melinjo,dasar,
69060.1,x,,[meng-:me-] + <linjo>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
,,,,,
69061,k,0,melintah,dasar,
69061.1,v,,[meng-:me-] + <lintah>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
,,,,,
69062,k,0,melintah darat,dasar,
69062.1,x,,[meng-:me-] + <lintah darat>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
,,,,,
69063,k,189,melintang,dasar,
69063.1,v,,[meng-:me-] + <lintang>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
,,,,,
69064,k,5,melintangi,dasar,
69064.1,v,,[meng-:me-] + <lintang> + -i,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
69064.2,x,,[meng-:me-] + <lintangi>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
69064.3,x,,<melintang> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
69065,k,0,melintangkan,dasar,
69065.1,v,,[meng-:me-] + <lintang> + -kan,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
69065.2,x,,[meng-:me-] + <lintangkan>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
69065.3,x,,<melintang> + -kan,bentukan,[29] [S] -kan + (<all>)
69065.4,x,,<melintangk> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
69066,k,493,melintas,dasar,
69066.1,v,,[meng-:me-] + <lintas>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
,,,,,
69067,k,493,melintasi,dasar,
69067.1,v,,[meng-:me-] + <lintas> + -i,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
69067.2,x,,[meng-:me-] + <lintasi>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
69067.3,x,,<melintas> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
69068,k,10,melinting,dasar,
69068.1,v,,[meng-:me-] + <linting>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
,,,,,
69069,k,11,melintir,dasar,
69069.1,v,,[meng-:me-] + <lintir>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
,,,,,
69070,k,0,melintup,dasar,
69070.1,v,,[meng-:me-] + <lintup>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
,,,,,
69071,k,0,melinyak,dasar,
69071.1,v,,[meng-:me-] + <linyak>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
,,,,,
69072,k,0,melinyar,dasar,
69072.1,v,,[meng-:me-] + <linyar>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
,,,,,
69073,k,0,meliorisme,dasar,
69073.1,x,,[meng-:me-] + <liorisme>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
69073.2,x,,<melior> + -isme,bentukan,[89] [S] -isme + (<all>)
,,,,,
69074,k,147,melipat,dasar,
69074.1,v,,[meng-:me-] + <lipat>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
,,,,,
69075,k,48,melipatgandakan,dasar,
69075.1,x,,[meng-:me-] + <lipatganda> + -kan,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
69075.2,x,,[meng-:me-] + <lipatgandakan>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
69075.3,x,,<melipatganda> + -kan,bentukan,[29] [S] -kan + (<all>)
69075.4,x,,<melipatgandak> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
69076,k,4,melipatkan,dasar,
69076.1,v,,[meng-:me-] + <lipat> + -kan,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
69076.2,x,,[meng-:me-] + <lipatkan>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
69076.3,x,,<melipat> + -kan,bentukan,[29] [S] -kan + (<all>)
69076.4,x,,<melipatk> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
69077,k,0,melipit,dasar,
69077.1,v,,[meng-:me-] + <lipit>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
,,,,,
69078,k,7,melipur,dasar,
69078.1,v,,[meng-:me-] + <lipur>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
,,,,,
69079,k,0,melipurkan,dasar,
69079.1,v,,[meng-:me-] + <lipur> + -kan,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
69079.2,x,,[meng-:me-] + <lipurkan>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
69079.3,x,,<melipur> + -kan,bentukan,[29] [S] -kan + (<all>)
69079.4,x,,<melipurk> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
69080,k,134,meliput,dasar,
69080.1,v,,[meng-:me-] + <liput>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
,,,,,
69081,k,3687,meliputi,dasar,
69081.1,v,,[meng-:me-] + <liput> + -i,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
69081.2,x,,[meng-:me-] + <liputi>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
69081.3,x,,<meliput> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
69082,k,0,melira,dasar,
69082.1,v,,[meng-:me-] + <lira>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
,,,,,
69083,k,365,melirik,dasar,
69083.1,v,,[meng-:me-] + <lirik>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
,,,,,
69084,k,5,melisankan,dasar,
69084.1,v,,[meng-:me-] + <lisan> + -kan,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
69084.2,x,,[meng-:me-] + <lisankan>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
69084.3,x,,<melisan> + -kan,bentukan,[29] [S] -kan + (<all>)
69084.4,x,,<melisank> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
69085,k,3,melisensikan,dasar,
69085.1,v,,[meng-:me-] + <lisensi> + -kan,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
69085.2,x,,[meng-:me-] + <lisensikan>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
69085.3,x,,<melisensi> + -kan,bentukan,[29] [S] -kan + (<all>)
69085.4,x,,<melisensik> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
69086,k,0,melisma,dasar,
