Nomor,KP,Jumlah,Entri,Tipe,Pembentukan
63735,k,0,lentigo,dasar,
,,,,,
63736,k,58,lentik,dasar,
,,,,,
63737,v,11,lentiknya,dasar,
63737.1,v,,<lentik> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
63738,k,0,lentikularis,dasar,
63738.1,x,,<lentikulari> + [-is:-s],bentukan,[177] [S] -is + (i)
63738.2,x,,<lentikular> + -is,bentukan,[178] [S] -is + (<others>)
,,,,,
63739,k,6,lentil,dasar,
,,,,,
63740,k,3,lenting,dasar,
,,,,,
63741,v,2,lentingan,dasar,
63741.1,v,,<lenting> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
63742,k,0,lentisel,dasar,
,,,,,
63743,k,0,lento,dasar,
,,,,,
63744,k,0,lentog,dasar,
,,,,,
63745,k,0,lentog tanjung,dasar,
,,,,,
63746,k,0,lentoid,dasar,
63746.1,x,,<lent> + -oid,bentukan,[209] [S] -oid + (<all>)
,,,,,
63747,k,0,lentok,dasar,
,,,,,
63748,k,0,lentok kulai,dasar,
63748.1,x,,<lentok kula> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
63749,k,0,lentong,dasar,
,,,,,
63750,k,0,lentora,dasar,
,,,,,
63751,k,2,lentuk,dasar,
,,,,,
63752,k,0,lentum,dasar,
,,,,,
63753,k,0,lentun,dasar,
,,,,,
63754,k,0,lentung,dasar,
,,,,,
63755,k,102,lentur,dasar,
,,,,,
63756,k,0,lentur rangkap,dasar,
,,,,,
63757,k,0,lenturan,dasar,
63757.1,v,,<lentur> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
63758,k,0,lentus,dasar,
,,,,,
63759,k,0,lenung,dasar,
,,,,,
63760,k,2,lenyah,dasar,
,,,,,
63761,k,0,lenyai,dasar,
63761.1,x,,<lenya> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
63762,k,0,lenyak,dasar,
,,,,,
63763,k,417,lenyap,dasar,
,,,,,
63764,k,0,lenyap daratan,dasar,
63764.1,x,,<lenyap darat> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
63765,v,2,lenyap-melenyapkan,dasar,
63765.1,v,,<lenyap> [-] [meng-:me-] + <r> + -kan,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan) => [24] [RD] |meng-
,,,,,
63766,v,9,lenyapkan,dasar,
63766.1,v,,<lenyap> + -kan,bentukan,[29] [S] -kan + (<all>)
63766.2,x,,<lenyapk> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
63767,v,11,lenyaplah,dasar,
63767.1,v,,<lenyap> + -lah,bentukan,[31] [FS] -lah + (<all>)
,,,,,
63768,v,41,lenyapnya,dasar,
63768.1,v,,<lenyap> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
63769,k,0,lenyau,dasar,
,,,,,
63770,k,0,lenyeh,dasar,
,,,,,
63771,k,0,lenyet,dasar,
,,,,,
63772,k,0,lenyut,dasar,
,,,,,
63773,k,110,leo,dasar,
,,,,,
63774,k,0,leonid,dasar,
,,,,,
63775,c,2,leontin,dasar,liontin
,,,,,
63776,k,0,leot,dasar,
,,,,,
63777,k,0,leotan,dasar,
63777.1,x,,<leot> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
63778,k,2,lepa,dasar,
,,,,,
63779,k,0,lepa-lepa,dasar,
63779.1,v,,<lepa> [-] <r>,bentukan,[23] [RD] |
,,,,,
63780,k,0,lepai,dasar,
63780.1,x,,<lepa> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
63781,k,0,lepak,dasar,
,,,,,
63782,k,8,lepang,dasar,
,,,,,
63783,k,0,lepap,dasar,
,,,,,
63784,k,1914,lepas,dasar,
,,,,,
63785,k,0,lepas angin,dasar,
,,,,,
63786,k,0,lepas ayam,dasar,
,,,,,
63787,k,0,lepas bebas,dasar,
,,,,,
63788,k,0,lepas buku,dasar,
63788.1,x,,<lepas bu> + -ku,bentukan,[32] [SFS] -ku + (<all>)
,,,,,
63789,k,0,lepas burung,dasar,
,,,,,
63790,k,0,lepas cakap,dasar,
,,,,,
63791,k,0,lepas kendali,dasar,
63791.1,x,,<lepas kendal> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
63792,k,0,lepas kira-kira,dasar,
,,,,,
63793,k,0,lepas landas,dasar,
,,,,,
63794,k,0,lepas liar,dasar,
,,,,,
63795,k,0,lepas malu,dasar,
,,,,,
63796,k,0,lepas pantai,dasar,
63796.1,x,,<lepas panta> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
63797,k,0,lepas tangan,dasar,
63797.1,x,,<lepas tang> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
63798,k,0,lepas tunda,dasar,
63798.1,x,,<lepas tu> + [-anda:-nda],bentukan,[183] [S] -anda + (i;u;a;[k:])
,,,,,
63799,k,0,lepas unggas,dasar,
,,,,,
63800,v,8,lepas-lepas,dasar,
63800.1,v,,<lepas> [-] <r>,bentukan,[23] [RD] |
,,,,,
63801,k,20,lepasan,dasar,
63801.1,v,,<lepas> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
63802,v,103,lepaskan,dasar,
63802.1,v,,<lepas> + -kan,bentukan,[29] [S] -kan + (<all>)
63802.2,x,,<lepask> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
63803,v,6,lepaskanlah,dasar,
63803.1,v,,<lepaskan> + -lah,bentukan,[31] [FS] -lah + (<all>)
63803.2,v,,<lepas> + -kan + -lah,bentukan,[29] [S] -kan + (<all>) => [31] [FS] -lah + (<all>)
63803.3,x,,<lepask> + -an + -lah,bentukan,[38] [S] -an + (<all>) => [31] [FS] -lah + (<all>)
,,,,,
63804,v,10,lepaslah,dasar,
63804.1,v,,<lepas> + -lah,bentukan,[31] [FS] -lah + (<all>)
,,,,,
63805,v,43,lepasnya,dasar,
63805.1,v,,<lepas> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
63806,k,25,lepat,dasar,
,,,,,
63807,k,10,lepau,dasar,
,,,,,
63808,k,0,lepe,dasar,
,,,,,
63809,k,22,lepek,dasar,
,,,,,
63810,k,3,leper,dasar,
,,,,,
63811,k,0,leperi,dasar,
63811.1,x,,<leper> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
63812,k,0,lepes,dasar,
,,,,,
63813,c,5,lepet,dasar,lepat
,,,,,
63814,k,0,lepidokrosit,dasar,
,,,,,
63815,v,7,lepidoptera,dasar,
,,,,,
63816,k,0,lepih,dasar,
,,,,,
63817,k,0,lepik,dasar,
,,,,,
63818,k,0,lepit,dasar,
,,,,,
63819,k,0,leplap,dasar,
,,,,,
63820,k,0,lepo,dasar,
,,,,,
63821,k,0,lepo bakung,dasar,
,,,,,
63822,k,0,lepo jalan,dasar,
63822.1,x,,<lepo jal> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
63823,k,0,lepo mant,dasar,
,,,,,
63824,k,0,lepo tau,dasar,
,,,,,
63825,k,0,lepo tepu,dasar,
,,,,,
63826,k,0,lepo tukung,dasar,
,,,,,
63827,k,0,lepoh,dasar,
,,,,,
63828,k,0,lepok,dasar,
,,,,,
63829,k,0,lepot,dasar,
,,,,,
63830,k,9,lepra,dasar,
,,,,,
63831,k,0,leproma,dasar,
,,,,,
63832,k,0,lepromin,dasar,
,,,,,
63833,k,0,leproseri,dasar,
63833.1,x,,<leproser> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
63834,k,14,leptin,dasar,
,,,,,
63835,k,0,leptodos,dasar,
,,,,,
63836,k,0,leptofil,dasar,
,,,,,
63837,k,0,leptometer,dasar,
63837.1,x,,<lepto> + -meter,bentukan,[189] [S] -meter + (<all>)
,,,,,
63838,k,0,leptoskop,dasar,
,,,,,
63839,k,0,leptosom,dasar,
,,,,,
63840,k,0,leptospira,dasar,
,,,,,
63841,k,2,leptospirosis,dasar,
63841.1,x,,<leptospirosi> + [-is:-s],bentukan,[177] [S] -is + (i)
63841.2,x,,<leptospiros> + -is,bentukan,[178] [S] -is + (<others>)
,,,,,
63842,k,0,leptosporangium,dasar,
,,,,,
63843,k,2,lepu,dasar,
,,,,,
63844,k,4,lepuh,dasar,
,,,,,
63845,v,2,lepuhan,dasar,
63845.1,v,,<lepuh> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
63846,k,0,lepuk,dasar,
,,,,,
63847,k,0,lepur,dasar,
,,,,,
63848,k,0,lera wulan tana ekan,dasar,
63848.1,x,,<lera wulan tana e> + -kan,bentukan,[29] [S] -kan + (<all>)
63848.2,x,,<lera wulan tana ek> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
63849,k,0,lerah,dasar,
,,,,,
63850,k,3,lerai,dasar,
63850.1,x,,<lera> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
63851,k,0,leraian,dasar,
63851.1,v,,<lerai> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
63852,k,7,lerak,dasar,
,,,,,
63853,k,0,leram,dasar,
,,,,,
63854,k,0,lerang,dasar,
,,,,,
63855,k,0,lerang-lerang,dasar,
63855.1,v,,<lerang> [-] <r>,bentukan,[23] [RD] |
,,,,,
63856,k,0,lerap,dasar,
,,,,,
63857,k,245,lereng,dasar,
,,,,,
63858,k,0,lereng benua,dasar,
,,,,,
63859,k,0,lereng geseran,dasar,
63859.1,x,,<lereng geser> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
63860,k,0,lereng kritis,dasar,
63860.1,x,,<lereng kriti> + [-is:-s],bentukan,[177] [S] -is + (i)
63860.2,x,,<lereng krit> + -is,bentukan,[178] [S] -is + (<others>)
,,,,,
63861,k,0,lereng stabil,dasar,
,,,,,
63862,k,23,lereng-lereng,dasar,
63862.1,v,,<lereng> [-] <r>,bentukan,[23] [RD] |
,,,,,
63863,k,0,lerengan,dasar,
63863.1,v,,<lereng> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
63864,v,2,lerengnya,dasar,
63864.1,v,,<lereng> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
63865,k,0,leret,dasar,
,,,,,
63866,k,0,leretan,dasar,
63866.1,v,,<leret> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
63867,k,0,leri,dasar,
63867.1,x,,<ler> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
63868,k,0,lerik,dasar,
,,,,,
63869,k,0,lerok,dasar,
,,,,,
63870,k,0,lerot,dasar,
,,,,,
63871,k,0,lerum,dasar,
,,,,,
63872,c,137,les,dasar,lis
,,,,,
63873,v,2,les-les,dasar,
63873.1,v,,<les> [-] <r>,bentukan,[23] [RD] |
,,,,,
63874,k,0,lesa,dasar,
,,,,,
63875,k,0,lesa lenyai,dasar,
63875.1,x,,<lesa lenya> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
63876,k,0,lesa lesu,dasar,
,,,,,
63877,k,0,lesa tulang,dasar,
,,,,,
63878,k,0,lesah,dasar,
,,,,,
63879,k,0,lesak,dasar,
,,,,,
63880,v,2,lesakkan,dasar,
63880.1,v,,<lesak> + -kan,bentukan,[29] [S] -kan + (<all>)
63880.2,x,,<lesakk> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
63881,k,2,lesan,dasar,
63881.1,x,,<les> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
63882,k,0,lesang,dasar,
,,,,,
63883,k,27,lesap,dasar,
,,,,,
63884,c,5,lesat,dasar,pelesat
,,,,,
63885,t,9,lesatan,dasar,pelesatan
63885.1,v,,<lesat> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
63886,k,0,lesau,dasar,
,,,,,
63887,v,4,lesbi,dasar,
63887.1,x,,<lesb> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
63888,k,58,lesbian,dasar,
63888.1,v,,<lesbi> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
63889,k,4,lesbianisme,dasar,
63889.1,v,,<lesbian> + -isme,bentukan,[89] [S] -isme + (<all>)
,,,,,
63890,k,0,leseh,dasar,
,,,,,
63891,k,29,lesehan,dasar,
63891.1,v,,<leseh> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
63892,k,0,lesek,dasar,
,,,,,
63893,k,0,lesema,dasar,
,,,,,
63894,k,0,leset,dasar,
,,,,,
63895,k,56,lesi,dasar,
63895.1,x,,<les> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
63896,v,2,lesi-lesi,dasar,
63896.1,v,,<lesi> [-] <r>,bentukan,[23] [RD] |
63896.2,x,,<les> + -i [-] <r> + -i,bentukan,[28] [S] -i + (<all>) => [23] [RD] |
,,,,,
63897,k,0,lesih,dasar,
,,,,,
63898,k,0,lesimeter,dasar,
63898.1,x,,<lesi> + -meter,bentukan,[189] [S] -meter + (<all>)
,,,,,
63899,k,0,lesing,dasar,
,,,,,
63900,k,0,lesir,dasar,
,,,,,
63901,k,0,lesit,dasar,
,,,,,
63902,t,3,lesitin,dasar,lesitina
,,,,,
63903,k,0,lesitina,dasar,
,,,,,
63904,k,0,lesnar,dasar,
,,,,,
63905,k,0,lesot,dasar,
,,,,,
63906,k,0,lesotho,dasar,
,,,,,
63907,k,365,lestari,dasar,
63907.1,x,,<lestar> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
63908,v,47,lestarikan,dasar,
63908.1,v,,<lestari> + -kan,bentukan,[29] [S] -kan + (<all>)
63908.2,x,,<lestarik> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
63909,v,7,lestarinya,dasar,
63909.1,v,,<lestari> + -nya,bentukan,[34] [SFS] -nya + (<all>)
63909.2,x,,<lestar> + -i + -nya,bentukan,[28] [S] -i + (<all>) => [34] [SFS] -nya + (<all>)
,,,,,
63910,k,0,lestek,dasar,
,,,,,
63911,k,0,lesterung,dasar,
,,,,,
63912,k,203,lesu,dasar,
,,,,,
63913,k,0,lesu darah,dasar,
,,,,,
63914,k,72,lesung,dasar,
,,,,,
63915,k,0,lesung gening,dasar,
,,,,,
63916,k,0,lesung kincir,dasar,
,,,,,
63917,k,0,lesung pinang,dasar,
,,,,,
63918,k,0,lesung pipi,dasar,
63918.1,x,,<lesung pip> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
63919,v,35,lesunya,dasar,
63919.1,v,,<lesu> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
63920,k,0,lesus,dasar,
,,,,,
63921,k,0,lesut,dasar,
,,,,,
63922,k,2,leta,dasar,
,,,,,
63923,k,0,letah-letai,dasar,
63923.1,v,,<[letai:letah-letai]>,bentukan,[Reduplication-Rhyming]
63923.2,x,,<letah-leta> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
63924,k,2,letai,dasar,
63924.1,x,,<leta> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
63925,k,713,letak,dasar,
,,,,,
63926,k,0,letak sungsang,dasar,
,,,,,
63927,v,146,letakkan,dasar,
63927.1,v,,<letak> + -kan,bentukan,[29] [S] -kan + (<all>)
63927.2,x,,<letakk> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
63928,v,2,letakkanlah,dasar,
63928.1,v,,<letakkan> + -lah,bentukan,[31] [FS] -lah + (<all>)
63928.2,v,,<letak> + -kan + -lah,bentukan,[29] [S] -kan + (<all>) => [31] [FS] -lah + (<all>)
63928.3,x,,<letakk> + -an + -lah,bentukan,[38] [S] -an + (<all>) => [31] [FS] -lah + (<all>)
,,,,,
63929,v,336,letaknya,dasar,
63929.1,v,,<letak> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
63930,k,9,letal,dasar,
,,,,,
63931,k,0,letalitas,dasar,
63931.1,v,,<letal> + -itas,bentukan,[205] [S] -itas + (<others>)
,,,,,
63932,k,0,letang,dasar,
,,,,,
63933,k,6,letargi,dasar,
63933.1,x,,<letarg> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
63934,k,0,lete-lete,dasar,
63934.1,v,,<lete> [-] <r>,bentukan,[23] [RD] |
,,,,,
63935,k,0,letek,dasar,
,,,,,
63936,k,0,leteng,dasar,
,,,,,
63937,k,5,leter,dasar,
,,,,,
63938,k,162,letih,dasar,
,,,,,
63939,k,0,letih lesu,dasar,
,,,,,
63940,k,0,letih letak,dasar,
,,,,,
63941,k,0,letik,dasar,
,,,,,
63942,k,2,leting,dasar,
,,,,,
63943,k,0,letis,dasar,
63943.1,x,,<leti> + [-is:-s],bentukan,[177] [S] -is + (i)
63943.2,x,,<let> + -is,bentukan,[178] [S] -is + (<others>)
,,,,,
63944,v,59,letkol,dasar,
,,,,,
63945,k,149,letnan,dasar,
63945.1,x,,<letn> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
63946,k,0,letnan dua,dasar,
,,,,,
63947,k,0,letnan jenderal,dasar,
,,,,,
63948,k,0,letnan kolonel,dasar,
,,,,,
63949,k,0,letnan satu,dasar,
,,,,,
63950,k,0,letoan,dasar,
63950.1,x,,<leto> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
63951,k,2,letoi,dasar,
63951.1,x,,<leto> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
63952,k,0,letok,dasar,
,,,,,
63953,k,0,letos,dasar,
,,,,,
63954,t,2,letoy,dasar,letoi
,,,,,
63955,k,0,letraset,dasar,
,,,,,
63956,k,0,letuk,dasar,
,,,,,
63957,k,0,letuk-letuk,dasar,
63957.1,v,,<letuk> [-] <r>,bentukan,[23] [RD] |
,,,,,
63958,k,0,letum,dasar,
,,,,,
63959,k,0,letum-letum,dasar,
63959.1,v,,<letum> [-] <r>,bentukan,[23] [RD] |
,,,,,
63960,k,5,letung,dasar,
,,,,,
63961,k,4,letup,dasar,
,,,,,
63962,k,0,letup-letup,dasar,
63962.1,v,,<letup> [-] <r>,bentukan,[23] [RD] |
,,,,,
63963,k,39,letupan,dasar,
63963.1,v,,<letup> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
63964,k,0,letupan lateral,dasar,
,,,,,
63965,k,0,letupan nasal,dasar,
,,,,,
63966,v,10,letupan-letupan,dasar,
63966.1,x,,<letupan> [-] <r>,bentukan,[23] [RD] |
63966.2,v,,<letup> + -an [-] <r> + -an,bentukan,[38] [S] -an + (<all>) => [23] [RD] |
,,,,,
63967,k,0,letur,dasar,
,,,,,
63968,k,0,letus,dasar,
,,,,,
63969,k,180,letusan,dasar,
63969.1,v,,<letus> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
63970,k,0,letusan api awal,dasar,
,,,,,
63971,k,0,letusan magmatik,dasar,
,,,,,
63972,k,0,letusan preatik,dasar,
,,,,,
63973,v,6,letusan-letusan,dasar,
63973.1,x,,<letusan> [-] <r>,bentukan,[23] [RD] |
63973.2,v,,<letus> + -an [-] <r> + -an,bentukan,[38] [S] -an + (<all>) => [23] [RD] |
,,,,,
63974,v,10,letusannya,dasar,
63974.1,v,,<letusan> + -nya,bentukan,[34] [SFS] -nya + (<all>)
63974.2,v,,<letus> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>)
,,,,,
63975,k,0,leuca,dasar,
,,,,,
63976,d,0,leucetta gelatinosa,dasar,
,,,,,
63977,k,23,leukemia,dasar,
,,,,,
63978,c,7,leukimia,dasar,leukemia
,,,,,
63979,k,0,leukoderma,dasar,
,,,,,
63980,k,0,leukofit,dasar,
,,,,,
63981,k,0,leukofobia,dasar,
63981.1,x,,<leuko> + -fobia,bentukan,[107] [S] -fobia + (<all>)
,,,,,
63982,k,0,leukoma,dasar,
,,,,,
63983,k,0,leukonisia,dasar,
,,,,,
63984,t,3,leukopeni,dasar,leukopenia
63984.1,x,,<leukopen> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
63985,k,4,leukopenia,dasar,
,,,,,
63986,k,0,leukoplakia,dasar,
,,,,,
63987,v,2,leukoplas,dasar,
,,,,,
63988,k,0,leukoplastid,dasar,
,,,,,
63989,k,0,leukore,dasar,
,,,,,
63990,k,0,leukosin,dasar,
,,,,,
63991,k,39,leukosit,dasar,
,,,,,
63992,k,0,leukosit limfoit,dasar,
,,,,,
63993,k,0,leukosit muda,dasar,
,,,,,
63994,k,0,leukositometer,dasar,
63994.1,x,,<leukosito> + -meter,bentukan,[189] [S] -meter + (<all>)
,,,,,
63995,k,7,leukositosis,dasar,
63995.1,x,,<leukositosi> + [-is:-s],bentukan,[177] [S] -is + (i)
63995.2,x,,<leukositos> + -is,bentukan,[178] [S] -is + (<others>)
,,,,,
63996,k,0,leukoskop,dasar,
,,,,,
63997,v,2,leunca,dasar,
,,,,,
63998,k,0,leungli,dasar,
63998.1,x,,<leungl> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
63999,k,0,leunjeur,dasar,
,,,,,
64000,c,8,leusin,dasar,leusina
,,,,,
64001,k,0,leusina,dasar,
,,,,,
64002,v,6,leusit,dasar,
,,,,,
64003,k,30,lev,dasar,
,,,,,
64004,k,2,levan,dasar,
64004.1,x,,<lev> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
64005,k,1776,level,dasar,
,,,,,
64006,v,14,level-level,dasar,
64006.1,v,,<level> [-] <r>,bentukan,[23] [RD] |
,,,,,
64007,k,11,lever,dasar,
,,,,,
64008,k,2,leveransir,dasar,
,,,,,
64009,k,0,levertran,dasar,
64009.1,x,,<levertr> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
64010,k,0,levirat,dasar,
,,,,,
64011,v,3,levitasi,dasar,
64011.1,x,,<levitas> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
64012,k,0,levitin,dasar,
,,,,,
64013,k,0,levorotatori,dasar,
64013.1,x,,<levorotator> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
64014,k,0,levotropik,dasar,
,,,,,
64015,k,0,levulosa,dasar,
,,,,,
64016,k,4,lewa,dasar,
,,,,,
64017,k,0,lewah,dasar,
,,,,,
64018,k,0,lewah arahan,dasar,
64018.1,x,,<lewah arah> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
64019,k,0,lewah beli,dasar,
64019.1,x,,<lewah bel> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
64020,k,0,lewah kompensasi,dasar,
64020.1,x,,<lewah kompensas> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
64021,k,0,lewah pekerja,dasar,
,,,,,
64022,k,0,lewah pemelajaran,dasar,
64022.1,x,,<lewah pemelajar> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
64023,k,0,lewah pencapai,dasar,
64023.1,x,,<lewah pencapa> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
64024,k,0,lewah penyesuaian,dasar,
64024.1,x,,<lewah penyesuai> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
64025,k,0,lewar,dasar,
,,,,,
64026,k,3960,lewat,dasar,
,,,,,
64027,k,0,lewat bawah jaring,dasar,
,,,,,
64028,k,0,lewat gerus,dasar,
,,,,,
64029,k,0,lewat jenuh,dasar,
,,,,,
64030,k,0,lewat lembayung,dasar,
,,,,,
64031,k,0,lewat posisi,dasar,
64031.1,x,,<lewat posis> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
64032,k,0,lewat waktu,dasar,
,,,,,
64033,v,141,lewati,dasar,
64033.1,v,,<lewat> + -i,bentukan,[28] [S] -i + (<all>)
64033.2,x,,<le> + -wati,bentukan,[181] [S] -wati + (<all>)
,,,,,
64034,v,69,lewatkan,dasar,
64034.1,v,,<lewat> + -kan,bentukan,[29] [S] -kan + (<all>)
64034.2,x,,<lewatk> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
64035,v,6,lewatlah,dasar,
64035.1,v,,<lewat> + -lah,bentukan,[31] [FS] -lah + (<all>)
,,,,,
64036,v,19,lewatnya,dasar,
64036.1,v,,<lewat> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
64037,k,0,lewisid,dasar,
,,,,,
64038,k,0,leyeh,dasar,
,,,,,
64039,k,6,leyeh-leyeh,dasar,
64039.1,v,,<leyeh> [-] <r>,bentukan,[23] [RD] |
,,,,,
64040,k,0,leyot,dasar,
,,,,,
64041,k,176,lezat,dasar,
,,,,,
64042,v,3,lezat-lezat,dasar,
64042.1,v,,<lezat> [-] <r>,bentukan,[23] [RD] |
,,,,,
64043,v,17,lezatnya,dasar,
64043.1,v,,<lezat> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
64044,t,119,lha,dasar,lah
,,,,,
64045,k,0,lhokseumawe,dasar,
,,,,,
64046,k,0,li'o,dasar,
,,,,,
64047,k,77,liabilitas,dasar,
64047.1,x,,<liabil> + -itas,bentukan,[205] [S] -itas + (<others>)
,,,,,
64048,v,2,liabilitasnya,dasar,
64048.1,v,,<liabilitas> + -nya,bentukan,[34] [SFS] -nya + (<all>)
64048.2,x,,<liabil> + -itas + -nya,bentukan,[205] [S] -itas + (<others>) => [34] [SFS] -nya + (<all>)
,,,,,
64049,k,0,liabuku,dasar,
64049.1,x,,<liabu> + -ku,bentukan,[32] [SFS] -ku + (<all>)
,,,,,
64050,k,0,liam garam,dasar,
,,,,,
64051,k,24,lian,dasar,
64051.1,x,,<li> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
64052,k,13,liana,dasar,
,,,,,
64053,k,169,liang,dasar,
,,,,,
64054,k,0,liang hidung,dasar,
,,,,,
64055,k,0,liang jarum,dasar,
,,,,,
64056,k,0,liang jimak,dasar,
,,,,,
64057,k,0,liang kembara,dasar,
,,,,,
64058,k,0,liang kubur,dasar,
,,,,,
64059,k,0,liang kumbang,dasar,
,,,,,
64060,k,0,liang lahad,dasar,
,,,,,
64061,k,0,liang mata,dasar,
,,,,,
64062,k,0,liang rayap,dasar,
,,,,,
64063,k,0,liang renik,dasar,
,,,,,
64064,k,0,liang roma,dasar,
,,,,,
64065,k,0,liang sanggama,dasar,
,,,,,
64066,k,0,liang semut,dasar,
,,,,,
64067,v,3,liang-liang,dasar,
64067.1,v,,<liang> [-] <r>,bentukan,[23] [RD] |
,,,,,
64068,k,0,liang-liuk,dasar,
64068.1,v,,<[liang:liang-liuk]>,bentukan,[Reduplication-Rhyming]
,,,,,
