Nomor,KP,Jumlah,Entri,Tipe,Pembentukan
126843,k,0,terpalsukan,dasar,
126843.1,v,,ter- + <palsu> + -kan,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126843.2,x,,ter- + <palsuk> + -an,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126843.3,x,,ter- + <palsukan>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126843.4,x,,<terpalsu> + -kan,bentukan,[29] [S] -kan + (<all>)
126843.5,x,,<terpalsuk> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
126844,k,0,terpalu,dasar,
126844.1,v,,ter- + <palu>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126845,k,0,terpalut,dasar,
126845.1,v,,ter- + <palut>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126846,k,191,terpampang,dasar,
126846.1,v,,ter- + <pampang>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126847,v,4,terpampanglah,dasar,
126847.1,x,,ter- + <pampanglah>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126847.2,x,,<terpampang> + -lah,bentukan,[31] [FS] -lah + (<all>)
126847.3,v,,ter- + <pampang> + -lah,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [31] [FS] -lah + (<all>)
,,,,,
126848,k,0,terpampat,dasar,
126848.1,v,,ter- + <pampat>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126849,k,112,terpana,dasar,
126849.1,v,,ter- + <pana>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126850,k,4,terpanah,dasar,
126850.1,v,,ter- + <panah>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126851,k,43,terpanas,dasar,
126851.1,v,,ter- + <panas>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126852,k,0,terpanasi,dasar,
126852.1,v,,ter- + <panas> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126852.2,x,,ter- + <panasi>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126852.3,x,,<terpanas> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
126853,k,28,terpancang,dasar,
126853.1,v,,ter- + <pancang>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126854,k,118,terpancar,dasar,
126854.1,v,,ter- + <pancar>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126855,v,3,terpancarkan,dasar,
126855.1,v,,ter- + <pancar> + -kan,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126855.2,x,,ter- + <pancark> + -an,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126855.3,x,,ter- + <pancarkan>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126855.4,x,,<terpancar> + -kan,bentukan,[29] [S] -kan + (<all>)
126855.5,x,,<terpancark> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
126856,v,2,terpancarlah,dasar,
126856.1,x,,ter- + <pancarlah>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126856.2,x,,<terpancar> + -lah,bentukan,[31] [FS] -lah + (<all>)
126856.3,v,,ter- + <pancar> + -lah,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [31] [FS] -lah + (<all>)
,,,,,
126857,v,2,terpancarnya,dasar,
126857.1,x,,ter- + <pancarnya>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126857.2,x,,<terpancar> + -nya,bentukan,[34] [SFS] -nya + (<all>)
126857.3,v,,ter- + <pancar> + -nya,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [34] [SFS] -nya + (<all>)
,,,,,
126858,k,89,terpancing,dasar,
126858.1,v,,ter- + <pancing>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126859,k,0,terpancung,dasar,
126859.1,v,,ter- + <pancung>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126860,k,5,terpandai,dasar,
126860.1,x,,ter- + <panda> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126860.2,v,,ter- + <pandai>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126860.3,x,,<terpanda> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
126861,k,109,terpandang,dasar,
126861.1,v,,ter- + <pandang>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126862,k,0,terpandang-pandang,dasar,
126862.1,v,,ter- + <pandang> [-] <r>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [49] [RD] ter-|
,,,,,
126863,k,0,terpangah,dasar,
126863.1,v,,ter- + <pangah>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126864,k,34,terpanggang,dasar,
126864.1,v,,ter- + <panggang>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126865,k,78,terpanggil,dasar,
126865.1,v,,ter- + <panggil>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126866,k,27,terpangkas,dasar,
126866.1,v,,ter- + <pangkas>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126867,k,0,terpangku,dasar,
126867.1,v,,ter- + <pangku>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126867.2,x,,<terpang> + -ku,bentukan,[32] [SFS] -ku + (<all>)
126867.3,x,,ter- + <pang> + -ku,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [32] [SFS] -ku + (<all>)
,,,,,
126868,k,0,terpanik,dasar,
126868.1,v,,ter- + <panik>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126869,k,90,terpanjang,dasar,
126869.1,v,,ter- + <panjang>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126870,v,2,terpanjangnya,dasar,
126870.1,x,,ter- + <panjangnya>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126870.2,x,,<terpanjang> + -nya,bentukan,[34] [SFS] -nya + (<all>)
126870.3,v,,ter- + <panjang> + -nya,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [34] [SFS] -nya + (<all>)
,,,,,
126871,k,0,terpanjati,dasar,
126871.1,v,,ter- + <panjat> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126871.2,x,,ter- + <panjati>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126871.3,x,,<terpanjat> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
126872,k,0,terpantas,dasar,
126872.1,v,,ter- + <pantas>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126873,k,144,terpantau,dasar,
126873.1,v,,ter- + <pantau>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126874,v,2,terpantaunya,dasar,
126874.1,x,,ter- + <pantaunya>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126874.2,x,,<terpantau> + -nya,bentukan,[34] [SFS] -nya + (<all>)
126874.3,v,,ter- + <pantau> + -nya,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [34] [SFS] -nya + (<all>)
,,,,,
126875,k,0,terpantek,dasar,
126875.1,v,,ter- + <pantek>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126876,v,6,terpantik,dasar,
126876.1,v,,ter- + <pantik>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126877,k,0,terpanting,dasar,
126877.1,v,,ter- + <panting>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126878,k,31,terpantul,dasar,
126878.1,v,,ter- + <pantul>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126879,v,3,terpantul-pantul,dasar,
126879.1,v,,ter- + <pantul> [-] <r>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [49] [RD] ter-|
,,,,,
126880,k,441,terpapar,dasar,
126880.1,v,,ter- + <papar>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126881,t,2,terpapari,dasar,
126881.1,v,,ter- + <papar> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126881.2,x,,ter- + <papari>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126881.3,x,,<terpapar> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
126882,v,4,terpaparkan,dasar,
126882.1,v,,ter- + <papar> + -kan,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126882.2,x,,ter- + <papark> + -an,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126882.3,x,,ter- + <paparkan>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126882.4,x,,<terpapar> + -kan,bentukan,[29] [S] -kan + (<all>)
126882.5,x,,<terpapark> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
126883,v,6,terpaparnya,dasar,
126883.1,x,,ter- + <paparnya>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126883.2,x,,<terpapar> + -nya,bentukan,[34] [SFS] -nya + (<all>)
126883.3,v,,ter- + <papar> + -nya,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [34] [SFS] -nya + (<all>)
,,,,,
126884,v,2,terpapas,dasar,
126884.1,v,,ter- + <papas>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126885,k,0,terparaf,dasar,
126885.1,v,,ter- + <paraf>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126886,k,52,terparah,dasar,
126886.1,v,,ter- + <parah>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126887,v,3,terparasit,dasar,
126887.1,v,,ter- + <parasit>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126888,k,0,terparau,dasar,
126888.1,v,,ter- + <parau>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126889,k,77,terparkir,dasar,
126889.1,v,,ter- + <parkir>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126890,k,0,terparut,dasar,
126890.1,v,,ter- + <parut>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126891,k,0,terpasah,dasar,
126891.1,v,,ter- + <pasah>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126892,k,0,terpasak,dasar,
126892.1,v,,ter- + <pasak>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126893,k,434,terpasang,dasar,
126893.1,v,,ter- + <pasang>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126894,v,8,terpasangnya,dasar,
126894.1,x,,ter- + <pasangnya>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126894.2,x,,<terpasang> + -nya,bentukan,[34] [SFS] -nya + (<all>)
126894.3,v,,ter- + <pasang> + -nya,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [34] [SFS] -nya + (<all>)
,,,,,
126895,k,0,terpasif,dasar,
126895.1,v,,ter- + <pasif>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126896,k,0,terpasok,dasar,
126896.1,v,,ter- + <pasok>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126897,k,17,terpasung,dasar,
126897.1,v,,ter- + <pasung>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126898,v,2,terpatah,dasar,
126898.1,v,,ter- + <patah>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126899,v,15,terpatah-patah,dasar,
126899.1,v,,ter- + <patah> [-] <r>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [49] [RD] ter-|
,,,,,
126900,k,15,terpatahkan,dasar,
126900.1,v,,ter- + <patah> + -kan,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126900.2,x,,ter- + <patahk> + -an,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126900.3,x,,ter- + <patahkan>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126900.4,x,,<terpatah> + -kan,bentukan,[29] [S] -kan + (<all>)
126900.5,x,,<terpatahk> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
126901,k,8,terpatok,dasar,
126901.1,v,,ter- + <patok>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126902,k,69,terpatri,dasar,
126902.1,x,,ter- + <patr> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126902.2,v,,ter- + <patri>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126902.3,x,,<terpatr> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
126903,k,0,terpatuh,dasar,
126903.1,v,,ter- + <patuh>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126904,k,0,terpatuk,dasar,
126904.1,v,,ter- + <patuk>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126905,k,0,terpatut,dasar,
126905.1,v,,ter- + <patut>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126906,k,215,terpaut,dasar,
126906.1,v,,ter- + <paut>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126907,k,0,terpaut kasih,dasar,
126907.1,v,,ter- + <paut kasih>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126908,k,0,terpayah,dasar,
126908.1,v,,ter- + <payah>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126909,v,2,terpayungi,dasar,
126909.1,v,,ter- + <payung> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126909.2,x,,ter- + <payungi>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126909.3,x,,<terpayung> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
126910,k,150,terpecah,dasar,
126910.1,v,,ter- + <pecah>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126911,k,0,terpecah belah,dasar,
126911.1,v,,ter- + <pecah belah>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126911.2,x,,<terpecah be> + -lah,bentukan,[31] [FS] -lah + (<all>)
126911.3,x,,ter- + <pecah be> + -lah,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [31] [FS] -lah + (<all>)
,,,,,
126912,v,12,terpecah-belah,dasar,
,,,,,
126913,k,27,terpecah-pecah,dasar,
126913.1,v,,ter- + <pecah> [-] <r>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [49] [RD] ter-|
,,,,,
126914,k,0,terpecah-pecah persepuluh,dasar,
126914.1,x,,ter- + <pecah> [-] <r> + - persepuluh,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [49] [RD] ter-|
,,,,,
126915,k,0,terpecah-pecah seharga,dasar,
126915.1,x,,ter- + <pecah> [-] <r> + - seharga,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [49] [RD] ter-|
,,,,,
126916,k,62,terpecahkan,dasar,
126916.1,v,,ter- + <pecah> + -kan,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126916.2,x,,ter- + <pecahk> + -an,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126916.3,x,,ter- + <pecahkan>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126916.4,x,,<terpecah> + -kan,bentukan,[29] [S] -kan + (<all>)
126916.5,x,,<terpecahk> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
126917,v,4,terpecahkannya,dasar,
126917.1,x,,ter- + <pecahkannya>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126917.2,x,,<terpecahkan> + -nya,bentukan,[34] [SFS] -nya + (<all>)
126917.3,v,,ter- + <pecah> + -kan + -nya,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [34] [SFS] -nya + (<all>)
126917.4,x,,ter- + <pecahk> + -an + -nya,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [34] [SFS] -nya + (<all>)
126917.5,x,,ter- + <pecahkan> + -nya,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [34] [SFS] -nya + (<all>)
126917.6,x,,<terpecah> + -kan + -nya,bentukan,[29] [S] -kan + (<all>) => [34] [SFS] -nya + (<all>)
126917.7,x,,<terpecahk> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>)
,,,,,
126918,v,9,terpecahnya,dasar,
126918.1,x,,ter- + <pecahnya>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126918.2,x,,<terpecah> + -nya,bentukan,[34] [SFS] -nya + (<all>)
126918.3,v,,ter- + <pecah> + -nya,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [34] [SFS] -nya + (<all>)
,,,,,
126919,k,0,terpecat,dasar,
126919.1,v,,ter- + <pecat>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126920,k,0,terpedas,dasar,
126920.1,v,,ter- + <pedas>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126921,c,7,terpedaya,dasar,teperdaya
126921.1,x,,ter- + <pedaya>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126922,k,0,terpedih,dasar,
126922.1,v,,ter- + <pedih>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126923,k,0,terpedo,dasar,
126923.1,x,,ter- + <pedo>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126924,k,0,terpegah,dasar,
126924.1,v,,ter- + <pegah>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126925,k,0,terpegan,dasar,
126925.1,x,,ter- + <peg> + -an,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126925.2,v,,ter- + <pegan>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126925.3,x,,<terpeg> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
126926,k,17,terpegang,dasar,
126926.1,v,,ter- + <pegang>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126927,k,0,terpegun,dasar,
126927.1,v,,ter- + <pegun>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126928,k,160,terpejam,dasar,
126928.1,v,,ter- + <pejam>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126929,k,0,terpeka,dasar,
126929.1,v,,ter- + <peka>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126930,k,0,terpekak,dasar,
126930.1,v,,ter- + <pekak>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126931,k,0,terpekat,dasar,
126931.1,v,,ter- + <pekat>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126932,k,0,terpekau,dasar,
126932.1,v,,ter- + <pekau>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126933,k,26,terpekik,dasar,
126933.1,v,,ter- + <pekik>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126934,k,0,terpekik-pekik,dasar,
126934.1,v,,ter- + <pekik> [-] <r>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [49] [RD] ter-|
,,,,,
126935,k,88,terpelajar,dasar,
126935.1,v,,ter- + <pelajar>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126936,k,0,terpelan,dasar,
126936.1,x,,ter- + <pel> + -an,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126936.2,v,,ter- + <pelan>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
126936.3,x,,<terpel> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
126937,k,66,terpelanting,dasar,
126937.1,v,,ter- + <pelanting>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126938,k,0,terpelecok,dasar,
126938.1,v,,ter- + <pelecok>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126939,k,0,terpelekok,dasar,
126939.1,v,,ter- + <pelekok>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
126940,k,0,terpelencit,dasar,
126940.1,v,,ter- + <pelencit>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
