Nomor,KP,Jumlah,Entri,Tipe,Pembentukan,,
40026.1,x,,<hanaf> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40027,k,0,hanalam,dasar,,,
,,,,,,,
40028,k,0,hanami,dasar,,,
40028.1,x,,<hanam> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40029,k,3,hanbok,dasar,,,
,,,,,,,
40030,k,0,hanca,dasar,,,
,,,,,,,
40031,k,0,hancing,dasar,,,
,,,,,,,
40032,k,553,hancur,dasar,,,
,,,,,,,
40033,k,0,hancur lebur,dasar,,,
,,,,,,,
40034,k,0,hancur luluh,dasar,,,
,,,,,,,
40035,k,0,hancur mumur,dasar,,,
,,,,,,,
40036,k,5,hancur-hancuran,dasar,,,
40036.1,v,,<hancur> [-] <r> + -an,bentukan,[23] [RD] |,,
,,,,,,,
40037,v,5,hancur-lebur,dasar,,,
,,,,,,,
40038,k,0,hancur-menghancurkan,dasar,,,
40038.1,p,,<hancur> [-] meng- + <r> + -kan,bentukan,[4] meng- + (g,kw) + (-i,-kan) => [24] [RD] |meng-
,,,,,,,
40039,k,4,hancuran,dasar,,,
40039.1,v,,<hancur> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40040,v,55,hancurkan,dasar,,,
40040.1,v,,<hancur> + -kan,bentukan,[29] [S] -kan + (<all>),,
40040.2,x,,<hancurk> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40041,v,13,hancurlah,dasar,,,
40041.1,v,,<hancur> + -lah,bentukan,[31] [FS] -lah + (<all>),,
,,,,,,,
40042,v,64,hancurnya,dasar,,,
40042.1,v,,<hancur> + -nya,bentukan,[34] [SFS] -nya + (<all>),,
,,,,,,,
40043,k,45,handai,dasar,,,
40043.1,x,,<handa> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40044,k,0,handai tolan,dasar,,,
40044.1,x,,<handai tol> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40045,t,3,handaitaulan,dasar,handai tolan,,
40045.1,x,,<handaitaul> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40046,c,276,handal,dasar,andal,,
,,,,,,,
40047,k,0,handam,dasar,,,
,,,,,,,
40048,t,3,handap,dasar,andap,,
,,,,,,,
40049,k,0,handaruan,dasar,,,
40049.1,x,,<handaru> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40050,k,0,handasah,dasar,,,
,,,,,,,
40051,k,22,handel,dasar,,,
,,,,,,,
40052,k,0,handelar,dasar,,,
,,,,,,,
40053,k,0,handeuleum,dasar,,,
,,,,,,,
40054,k,153,handuk,dasar,,,
,,,,,,,
40055,k,0,handuk mandi,dasar,,,
40055.1,x,,<handuk mand> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40056,k,0,handuk pantai,dasar,,,
40056.1,x,,<handuk panta> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40057,k,0,handuk wajah,dasar,,,
,,,,,,,
40058,v,2,handuk-handuk,dasar,,,
40058.1,v,,<handuk> [-] <r>,bentukan,[23] [RD] |,,
,,,,,,,
40059,v,3,handuknya,dasar,,,
40059.1,v,,<handuk> + -nya,bentukan,[34] [SFS] -nya + (<all>),,
,,,,,,,
40060,k,67,hang,dasar,,,
,,,,,,,
40061,c,6,hangar,dasar,hanggar,,
,,,,,,,
40062,k,926,hangat,dasar,,,
,,,,,,,
40063,k,0,hangat hati,dasar,,,
40063.1,x,,<hangat hat> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40064,v,22,hangat-hangat,dasar,,,
40064.1,v,,<hangat> [-] <r>,bentukan,[23] [RD] |,,
,,,,,,,
40065,v,11,hangat-hangatnya,dasar,,,
40065.1,x,,<hangat> [-] <r> + -nya,bentukan,[23] [RD] |,,
40065.2,v,,<hangat> [-] <r> + -nya,bentukan,[23] [RD] | => [34] [SFS] -nya + (<all>),,
,,,,,,,
40066,v,6,hangatkan,dasar,,,
40066.1,v,,<hangat> + -kan,bentukan,[29] [S] -kan + (<all>),,
40066.2,x,,<hangatk> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40067,v,56,hangatnya,dasar,,,
40067.1,v,,<hangat> + -nya,bentukan,[34] [SFS] -nya + (<all>),,
,,,,,,,
40068,k,3,hanger,dasar,,,
,,,,,,,
40069,k,25,hanggar,dasar,,,
,,,,,,,
40070,k,0,hanggasa,dasar,,,
,,,,,,,
40071,t,15,hanggi,dasar,anggi,,
40071.1,x,,<hangg> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40072,k,0,hangit,dasar,,,
,,,,,,,
40073,k,0,hangkang,dasar,,,
,,,,,,,
40074,k,0,hangul,dasar,,,
,,,,,,,
40075,k,140,hangus,dasar,,,
,,,,,,,
40076,k,0,hangus hati,dasar,,,
40076.1,x,,<hangus hat> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40077,v,2,hanguskan,dasar,,,
40077.1,v,,<hangus> + -kan,bentukan,[29] [S] -kan + (<all>),,
40077.2,x,,<hangusk> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40078,k,78,hanif,dasar,,,
,,,,,,,
40079,k,0,hanjuang,dasar,,,
,,,,,,,
40080,v,23,hankam,dasar,,,
,,,,,,,
40081,k,0,hansop,dasar,,,
,,,,,,,
40082,k,0,hantai,dasar,,,
40082.1,x,,<hanta> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40083,k,0,hantalo,dasar,,,
,,,,,,,
40084,k,49,hantam,dasar,,,
,,,,,,,
40085,k,0,hantam kromo,dasar,,,
,,,,,,,
40086,k,90,hantaman,dasar,,,
40086.1,v,,<hantam> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40087,v,3,hantaman-hantaman,dasar,,,
40087.1,x,,<hantaman> [-] <r>,bentukan,[23] [RD] |,,
40087.2,v,,<hantam> + -an [-] <r> + -an,bentukan,[38] [S] -an + (<all>) => [23] [RD] |,,
,,,,,,,
40088,v,2,hantamannya,dasar,,,
40088.1,x,,<hantaman> + -nya,bentukan,[34] [SFS] -nya + (<all>),,
40088.2,v,,<hantam> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>),,
,,,,,,,
40089,v,2,hantamkan,dasar,,,
40089.1,v,,<hantam> + -kan,bentukan,[29] [S] -kan + (<all>),,
40089.2,x,,<hantamk> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40090,k,0,hantap,dasar,,,
,,,,,,,
40091,k,11,hantar,dasar,,,
,,,,,,,
40092,k,33,hantaran,dasar,,,
40092.1,v,,<hantar> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40093,v,6,hantarkan,dasar,,,
40093.1,v,,<hantar> + -kan,bentukan,[29] [S] -kan + (<all>),,
40093.2,x,,<hantark> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40094,v,2,hantarkanlah,dasar,,,
40094.1,x,,<hantarkan> + -lah,bentukan,[31] [FS] -lah + (<all>),,
40094.2,v,,<hantar> + -kan + -lah,bentukan,[29] [S] -kan + (<all>) => [31] [FS] -lah + (<all>),,
40094.3,x,,<hantark> + -an + -lah,bentukan,[38] [S] -an + (<all>) => [31] [FS] -lah + (<all>),,
,,,,,,,
40095,k,0,hantir,dasar,,,
,,,,,,,
40096,k,305,hantu,dasar,,,
,,,,,,,
40097,k,0,hantu air,dasar,,,
,,,,,,,
40098,k,0,hantu angin,dasar,,,
,,,,,,,
40099,k,0,hantu api,dasar,,,
40099.1,x,,<hantu ap> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40100,k,0,hantu aru-aru,dasar,,,
,,,,,,,
40101,k,0,hantu badai,dasar,,,
40101.1,x,,<hantu bada> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40102,k,0,hantu beliau,dasar,,,
,,,,,,,
40103,k,0,hantu blau,dasar,,,
,,,,,,,
40104,k,0,hantu bungkus,dasar,,,
,,,,,,,
40105,k,0,hantu bunian,dasar,,,
40105.1,x,,<hantu buni> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40106,k,0,hantu denah,dasar,,,
,,,,,,,
40107,k,0,hantu golek,dasar,,,
,,,,,,,
40108,k,0,hantu gunung,dasar,,,
,,,,,,,
40109,k,0,hantu haru-haru,dasar,,,
,,,,,,,
40110,k,0,hantu jembalang,dasar,,,
,,,,,,,
40111,k,0,hantu kangkung ngeang-ngeang,dasar,,,
,,,,,,,
40112,k,0,hantu kocong,dasar,,,
,,,,,,,
40113,k,0,hantu laut,dasar,,,
,,,,,,,
40114,k,0,hantu pemburu,dasar,,,
,,,,,,,
40115,k,0,hantu pocong,dasar,,,
,,,,,,,
40116,k,0,hantu puaka,dasar,,,
,,,,,,,
40117,k,0,hantu raya,dasar,,,
,,,,,,,
40118,k,0,hantu rimba,dasar,,,
,,,,,,,
40119,k,0,hantu runjung,dasar,,,
,,,,,,,
40120,k,0,hantu suluh,dasar,,,
,,,,,,,
40121,k,0,hantu sungai,dasar,,,
40121.1,x,,<hantu sunga> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40122,k,0,hantu tanah,dasar,,,
,,,,,,,
40123,k,0,hantu tuyul,dasar,,,
,,,,,,,
40124,v,26,hantu-hantu,dasar,,,
40124.1,v,,<hantu> [-] <r>,bentukan,[23] [RD] |,,
,,,,,,,
40125,k,2,hantu-hantuan,dasar,,,
40125.1,v,,<hantu> [-] <r> + -an,bentukan,[23] [RD] |,,
,,,,,,,
40126,v,3,hantui,dasar,,,
40126.1,v,,<hantu> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40127,v,13,hantunya,dasar,,,
40127.1,v,,<hantu> + -nya,bentukan,[34] [SFS] -nya + (<all>),,
,,,,,,,
40128,k,18151,hanya,dasar,,,
40128.1,x,,<ha> + -nya,bentukan,[34] [SFS] -nya + (<all>),,
,,,,,,,
40129,v,1074,hanyalah,dasar,,,
40129.1,v,,<hanya> + -lah,bentukan,[31] [FS] -lah + (<all>),,
40129.2,x,,<ha> + -nya + -lah,bentukan,[34] [SFS] -nya + (<all>) => [31] [FS] -lah + (<all>),,
,,,,,,,
40130,k,0,hanyasanya,dasar,,,
40130.1,x,,<hanyasa> + -nya,bentukan,[34] [SFS] -nya + (<all>),,
,,,,,,,
40131,k,166,hanyut,dasar,,,
,,,,,,,
40132,k,0,hanyutan,dasar,,,
40132.1,v,,<hanyut> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40133,k,0,hanyutan nol,dasar,,,
,,,,,,,
40134,v,3,hanyutlah,dasar,,,
40134.1,v,,<hanyut> + -lah,bentukan,[31] [FS] -lah + (<all>),,
,,,,,,,
40135,k,15,hap,dasar,,,
,,,,,,,
40136,k,0,hapaheman,dasar,,,
40136.1,x,,<hapahem> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40137,k,0,hapaksantik,dasar,,,
,,,,,,,
40138,c,64,hapal,dasar,hafal,,
,,,,,,,
40139,k,0,hapang,dasar,,,
,,,,,,,
40140,t,21,hape,dasar,gawai,,
,,,,,,,
40141,t,2,hapenya,dasar,gawainya,,
40141.1,x,,<hape> + -nya,bentukan,[34] [SFS] -nya + (<all>),,
,,,,,,,
40142,k,0,hapesong,dasar,,,
,,,,,,,
40143,k,0,hapetan,dasar,,,
40143.1,x,,<hapet> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40144,k,3,haplografi,dasar,,,
40144.1,x,,<haplograf> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40145,k,6,haploid,dasar,,,
40145.1,x,,<hapl> + -oid,bentukan,[209] [S] -oid + (<all>),,
,,,,,,,
40146,k,0,haplologi,dasar,,,
40146.1,x,,<haplolog> + -i,bentukan,[28] [S] -i + (<all>),,
40146.2,x,,<haplo> + -logi,bentukan,[190] [S] -logi + (<all>),,
,,,,,,,
40147,k,0,haplomorf,dasar,,,
,,,,,,,
40148,k,0,haptik,dasar,,,
,,,,,,,
40149,k,0,haptofobia,dasar,,,
40149.1,x,,<hapto> + -fobia,bentukan,[107] [S] -fobia + (<all>),,
,,,,,,,
40150,k,0,hapunggul,dasar,,,
,,,,,,,
40151,k,100,hapus,dasar,,,
,,,,,,,
40152,k,0,hapus buku,dasar,,,
40152.1,x,,<hapus bu> + -ku,bentukan,[32] [SFS] -ku + (<all>),,
,,,,,,,
40153,v,11,hapusan,dasar,,,
40153.1,v,,<hapus> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40154,v,13,hapuskan,dasar,,,
40154.1,v,,<hapus> + -kan,bentukan,[29] [S] -kan + (<all>),,
40154.2,x,,<hapusk> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40155,v,2,hapuskanlah,dasar,,,
40155.1,x,,<hapuskan> + -lah,bentukan,[31] [FS] -lah + (<all>),,
40155.2,v,,<hapus> + -kan + -lah,bentukan,[29] [S] -kan + (<all>) => [31] [FS] -lah + (<all>),,
40155.3,x,,<hapusk> + -an + -lah,bentukan,[38] [S] -an + (<all>) => [31] [FS] -lah + (<all>),,
,,,,,,,
40156,v,3,hapuslah,dasar,,,
40156.1,v,,<hapus> + -lah,bentukan,[31] [FS] -lah + (<all>),,
,,,,,,,
40157,v,12,hapusnya,dasar,,,
40157.1,v,,<hapus> + -nya,bentukan,[34] [SFS] -nya + (<all>),,
,,,,,,,
40158,k,152,hara,dasar,,,
,,,,,,,
40159,t,3,hara-hara,dasar,huru-hara,,
40159.1,v,,<hara> [-] <r>,bentukan,[23] [RD] |,,
,,,,,,,
40160,c,25,harafiah,dasar,harfiah,,
40160.1,x,,<haraf> + -iah,bentukan,[175] [S] -iah + (<others>),,
,,,,,,,
40161,t,3,harafiahnya,dasar,harfiahnya,,
40161.1,v,,<harafiah> + -nya,bentukan,[34] [SFS] -nya + (<all>),,
40161.2,x,,<haraf> + -iah + -nya,bentukan,[175] [S] -iah + (<others>) => [34] [SFS] -nya + (<all>),,
,,,,,,,
40162,k,0,harak,dasar,,,
,,,,,,,
40163,k,3,harakah,dasar,,,
40163.1,x,,<hara> + -kah,bentukan,[30] [FS] -kah + (<all>),,
,,,,,,,
40164,k,7,harakat,dasar,,,
,,,,,,,
40165,k,4,harakiri,dasar,,,
40165.1,x,,<harakir> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40166,k,385,haram,dasar,,,
,,,,,,,
40167,k,0,haram jadah,dasar,,,
,,,,,,,
40168,k,0,haram zadah,dasar,,,
,,,,,,,
40169,v,4,haramkan,dasar,,,
40169.1,v,,<haram> + -kan,bentukan,[29] [S] -kan + (<all>),,
40169.2,x,,<haramk> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40170,v,16,haramnya,dasar,,,
40170.1,v,,<haram> + -nya,bentukan,[34] [SFS] -nya + (<all>),,
,,,,,,,
40171,k,0,haramonting,dasar,,,
,,,,,,,
40172,k,0,harangan,dasar,,,
40172.1,x,,<harang> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40173,k,617,harap,dasar,,,
,,,,,,,
40174,k,0,harap siarkan,dasar,,,
40174.1,x,,<harap siar> + -kan,bentukan,[29] [S] -kan + (<all>),,
40174.2,x,,<harap siark> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40175,k,35,harap-harap,dasar,,,
40175.1,v,,<harap> [-] <r>,bentukan,[23] [RD] |,,
,,,,,,,
40176,k,0,harap-harap cemas,dasar,,,
,,,,,,,
40177,k,0,harap-harapan,dasar,,,
40177.1,v,,<harap> [-] <r> + -an,bentukan,[23] [RD] |,,
,,,,,,,
40178,k,2662,harapan,dasar,,,
40178.1,v,,<harap> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40179,k,0,harapan hidup,dasar,,,
,,,,,,,
40180,v,67,harapan-harapan,dasar,,,
40180.1,x,,<harapan> [-] <r>,bentukan,[23] [RD] |,,
40180.2,v,,<harap> + -an [-] <r> + -an,bentukan,[38] [S] -an + (<all>) => [23] [RD] |,,
,,,,,,,
40181,v,3,harapan-harapanku,dasar,,,
40181.1,x,,<harapan-harapan> + -ku,bentukan,[32] [SFS] -ku + (<all>),,
40181.2,x,,<harapan> [-] <r> + -ku,bentukan,[23] [RD] | => [32] [SFS] -ku + (<all>),,
40181.3,v,,<harap> + -an [-] <r> + -an + -ku,bentukan,[38] [S] -an + (<all>) => [23] [RD] | => [32] [SFS] -ku + (<all>),,
,,,,,,,
40182,v,6,harapan-harapannya,dasar,,,
40182.1,x,,<harapan> [-] <r> + -nya,bentukan,[23] [RD] |,,
40182.2,x,,<harap> + -an [-] <r> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [23] [RD] |,,
40182.3,x,,<harapan> [-] <r> + -nya,bentukan,[23] [RD] | => [34] [SFS] -nya + (<all>),,
40182.4,v,,<harap> + -an [-] <r> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [23] [RD] | => [34] [SFS] -nya + (<all>),,
,,,,,,,
40183,v,39,harapanku,dasar,,,
40183.1,x,,<harapan> + -ku,bentukan,[32] [SFS] -ku + (<all>),,
40183.2,v,,<harap> + -an + -ku,bentukan,[38] [S] -an + (<all>) => [32] [SFS] -ku + (<all>),,
,,,,,,,
40184,v,6,harapanmu,dasar,,,
40184.1,x,,<harapan> + -mu,bentukan,[33] [SFS] -mu + (<all>),,
40184.2,v,,<harap> + -an + -mu,bentukan,[38] [S] -an + (<all>) => [33] [SFS] -mu + (<all>),,
,,,,,,,
40185,v,523,harapannya,dasar,,,
40185.1,x,,<harapan> + -nya,bentukan,[34] [SFS] -nya + (<all>),,
40185.2,v,,<harap> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>),,
,,,,,,,
40186,v,638,harapkan,dasar,,,
40186.1,v,,<harap> + -kan,bentukan,[29] [S] -kan + (<all>),,
40186.2,x,,<harapk> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40187,v,5,haraplah,dasar,,,
40187.1,v,,<harap> + -lah,bentukan,[31] [FS] -lah + (<all>),,
,,,,,,,
40188,k,0,harapu,dasar,,,
,,,,,,,
40189,k,0,haraun,dasar,,,
,,,,,,,
40190,k,0,harawan,dasar,,,
40190.1,x,,<haraw> + -an,bentukan,[38] [S] -an + (<all>),,
40190.2,x,,<hara> + -wan,bentukan,[180] [S] -wan + (<others>),,
40190.3,x,,<har> + [-wan:-awan],bentukan,[18000001] [S] -wan + (<all>),,
,,,,,,,
40191,k,2,harbi,dasar,,,
40191.1,x,,<harb> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40192,k,42,hardik,dasar,,,
,,,,,,,
40193,k,15,hardikan,dasar,,,
40193.1,x,,<hardi> + -kan,bentukan,[29] [S] -kan + (<all>),,
40193.2,v,,<hardik> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40194,v,3,hardikku,dasar,,,
40194.1,v,,<hardik> + -ku,bentukan,[32] [SFS] -ku + (<all>),,
,,,,,,,
40195,v,9,hardiknya,dasar,,,
40195.1,v,,<hardik> + -nya,bentukan,[34] [SFS] -nya + (<all>),,
,,,,,,,
40196,k,5,harem,dasar,,,
,,,,,,,
40197,k,0,harendong,dasar,,,
,,,,,,,
40198,k,0,harendong bulu,dasar,,,
,,,,,,,
40199,t,2,harep,dasar,harap,,
,,,,,,,
40200,k,0,harfan,dasar,,,
40200.1,x,,<harf> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40201,k,107,harfiah,dasar,,,
40201.1,x,,<harf> + -iah,bentukan,[175] [S] -iah + (<others>),,
,,,,,,,
40202,v,11,harfiahnya,dasar,,,
40202.1,v,,<harfiah> + -nya,bentukan,[34] [SFS] -nya + (<all>),,
40202.2,x,,<harf> + -iah + -nya,bentukan,[175] [S] -iah + (<others>) => [34] [SFS] -nya + (<all>),,
,,,,,,,
40203,k,4786,harga,dasar,,,
,,,,,,,
40204,k,0,harga asli,dasar,,,
40204.1,x,,<harga asl> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40205,k,0,harga baku,dasar,,,
40205.1,x,,<harga ba> + -ku,bentukan,[32] [SFS] -ku + (<all>),,
,,,,,,,
40206,k,0,harga banderol,dasar,,,
,,,,,,,
40207,k,0,harga bantingan,dasar,,,
40207.1,x,,<harga banting> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40208,k,0,harga beli,dasar,,,
40208.1,x,,<harga bel> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40209,k,0,harga bersaing,dasar,,,
,,,,,,,
40210,k,0,harga bersih,dasar,,,
,,,,,,,
40211,k,0,harga borongan,dasar,,,
40211.1,x,,<harga borong> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40212,k,0,harga catut,dasar,,,
,,,,,,,
40213,k,0,harga dasar,dasar,,,
,,,,,,,
40214,k,0,harga diri,dasar,,,
40214.1,x,,<harga dir> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40215,k,0,harga eceran,dasar,,,
40215.1,x,,<harga ecer> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40216,k,0,harga ez,dasar,,,
,,,,,,,
40217,k,0,harga gelap,dasar,,,
,,,,,,,
40218,k,0,harga gila,dasar,,,
,,,,,,,
40219,k,0,harga hidup harga mati,dasar,,,
40219.1,x,,<harga hidup harga mat> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40220,k,0,harga impas,dasar,,,
,,,,,,,
40221,k,0,harga jadi,dasar,,,
40221.1,x,,<harga jad> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40222,k,0,harga jenuh,dasar,,,
,,,,,,,
40223,k,0,harga jual,dasar,,,
,,,,,,,
40224,k,0,harga karet,dasar,,,
,,,,,,,
40225,k,0,harga kawin,dasar,,,
,,,,,,,
40226,k,0,harga keekonomian,dasar,,,
40226.1,x,,<harga keekonomi> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40227,k,0,harga kelangkaan,dasar,,,
40227.1,x,,<harga kelangka> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40228,k,0,harga kelas,dasar,,,
,,,,,,,
40229,k,0,harga kompetitif,dasar,,,
,,,,,,,
40230,k,0,harga langganan,dasar,,,
40230.1,x,,<harga langgan> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40231,k,0,harga maksimal,dasar,,,
,,,,,,,
40232,k,0,harga mati,dasar,,,
40232.1,x,,<harga mat> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40233,k,0,harga melawan,dasar,,,
40233.1,x,,<harga melaw> + -an,bentukan,[38] [S] -an + (<all>),,
40233.2,x,,<harga mela> + -wan,bentukan,[180] [S] -wan + (<others>),,
40233.3,x,,<harga mel> + [-wan:-awan],bentukan,[18000001] [S] -wan + (<all>),,
,,,,,,,
40234,k,0,harga minimal,dasar,,,
,,,,,,,
40235,k,0,harga minimum,dasar,,,
,,,,,,,
40236,k,0,harga miring,dasar,,,
,,,,,,,
40237,k,0,harga nominal,dasar,,,
,,,,,,,
40238,k,0,harga obral,dasar,,,
,,,,,,,
40239,k,0,harga pabrik,dasar,,,
,,,,,,,
40240,k,0,harga pagu,dasar,,,
,,,,,,,
40241,k,0,harga pas,dasar,,,
,,,,,,,
40242,k,0,harga pasar,dasar,,,
,,,,,,,
40243,k,0,harga pemerintah,dasar,,,
,,,,,,,
40244,k,0,harga perdana,dasar,,,
,,,,,,,
40245,k,0,harga perkakas merimba,dasar,,,
,,,,,,,
40246,k,0,harga pokok,dasar,,,
,,,,,,,
40247,k,0,harga pokok penjualan,dasar,,,
40247.1,x,,<harga pokok penjual> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40248,k,0,harga pokok produksi,dasar,,,
40248.1,x,,<harga pokok produks> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40249,k,0,harga promosi,dasar,,,
40249.1,x,,<harga promos> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40250,k,0,harga resmi,dasar,,,
40250.1,x,,<harga resm> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40251,k,0,harga runcit,dasar,,,
,,,,,,,
40252,k,0,harga tentatif,dasar,,,
,,,,,,,
40253,k,0,harga tercantum,dasar,,,
,,,,,,,
40254,k,0,harga tercatat,dasar,,,
,,,,,,,
40255,k,0,harga terendah,dasar,,,
,,,,,,,
40256,k,0,harga tertinggi,dasar,,,
40256.1,x,,<harga tertingg> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40257,k,0,harga tunai,dasar,,,
40257.1,x,,<harga tuna> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40258,k,0,harga umpan,dasar,,,
40258.1,x,,<harga ump> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40259,v,144,harga-harga,dasar,,,
40259.1,v,,<harga> [-] <r>,bentukan,[23] [RD] |,,
,,,,,,,
40260,v,2,harga-harganya,dasar,,,
40260.1,x,,<harga> [-] <r> + -nya,bentukan,[23] [RD] |,,
40260.2,v,,<harga> [-] <r> + -nya,bentukan,[23] [RD] | => [34] [SFS] -nya + (<all>),,
,,,,,,,
40261,v,74,hargai,dasar,,,
40261.1,v,,<harga> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40262,v,8,hargailah,dasar,,,
40262.1,x,,<hargai> + -lah,bentukan,[31] [FS] -lah + (<all>),,
40262.2,v,,<harga> + -i + -lah,bentukan,[28] [S] -i + (<all>) => [31] [FS] -lah + (<all>),,
,,,,,,,
40263,v,1109,harganya,dasar,,,
40263.1,v,,<harga> + -nya,bentukan,[34] [SFS] -nya + (<all>),,
,,,,,,,
40264,k,13223,hari,dasar,,,
40264.1,x,,<har> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40265,k,0,hari acara,dasar,,,
,,,,,,,
40266,d,0,hari ahad,dasar,,,
,,,,,,,
40267,k,0,hari arafah,dasar,,,
,,,,,,,
40268,k,0,hari ayah,dasar,,,
,,,,,,,
40269,k,0,hari baik,dasar,,,
,,,,,,,
40270,d,0,hari bapak,dasar,,,
,,,,,,,
40271,k,0,hari batal,dasar,,,
,,,,,,,
40272,k,0,hari berbangkit,dasar,,,
,,,,,,,
40273,k,0,hari bersalju,dasar,,,
,,,,,,,
40274,d,0,hari besaar,dasar,,,
,,,,,,,
40275,k,0,hari besar,dasar,,,
,,,,,,,
40276,k,0,hari bulan,dasar,,,
40276.1,x,,<hari bul> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40277,k,0,hari buruh,dasar,,,
,,,,,,,
40278,k,0,hari buruk,dasar,,,
,,,,,,,
40279,k,0,hari depan,dasar,,,
40279.1,x,,<hari dep> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40280,k,0,hari es,dasar,,,
,,,,,,,
40281,k,0,hari esok,dasar,,,
,,,,,,,
40282,k,0,hari hisab,dasar,,,
,,,,,,,
40283,k,0,hari ibu,dasar,,,
,,,,,,,
40284,k,0,hari ibun,dasar,,,
,,,,,,,
40285,k,0,hari jadi,dasar,,,
40285.1,x,,<hari jad> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40286,k,0,hari jatuh,dasar,,,
,,,,,,,
40287,k,0,hari jumat agung,dasar,,,
,,,,,,,
40288,k,0,hari jumat besar,dasar,,,
,,,,,,,
40289,k,0,hari karier,dasar,,,
,,,,,,,
40290,k,0,hari kasih sayang,dasar,,,
,,,,,,,
40291,k,0,hari kelahiran,dasar,,,
