Nomor,KP,Jumlah,Entri,Tipe,Pembentukan
70959,k,0,memfiat,dasar,
70959.1,v,,[meng-:mem-] + <fiat>,bentukan,[2] meng- + (b;f;v;pl;ps;pr;pt) + (-i;-kan)
,,,,,
70960,v,4,memfiksasi,dasar,
70960.1,x,,[meng-:mem-] + <fiksas> + -i,bentukan,[2] meng- + (b;f;v;pl;ps;pr;pt) + (-i;-kan)
70960.2,v,,[meng-:mem-] + <fiksasi>,bentukan,[2] meng- + (b;f;v;pl;ps;pr;pt) + (-i;-kan)
70960.3,x,,<memfiksas> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
70961,k,0,memfiksikan,dasar,
70961.1,v,,[meng-:mem-] + <fiksi> + -kan,bentukan,[2] meng- + (b;f;v;pl;ps;pr;pt) + (-i;-kan)
70961.2,x,,[meng-:mem-] + <fiksikan>,bentukan,[2] meng- + (b;f;v;pl;ps;pr;pt) + (-i;-kan)
70961.3,x,,<memfiksi> + -kan,bentukan,[29] [S] -kan + (<all>)
70961.4,x,,<memfiksik> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
70962,k,0,memfilet,dasar,
70962.1,v,,[meng-:mem-] + <filet>,bentukan,[2] meng- + (b;f;v;pl;ps;pr;pt) + (-i;-kan)
,,,,,
70963,k,0,memfilmkan,dasar,
70963.1,v,,[meng-:mem-] + <film> + -kan,bentukan,[2] meng- + (b;f;v;pl;ps;pr;pt) + (-i;-kan)
70963.2,x,,[meng-:mem-] + <filmkan>,bentukan,[2] meng- + (b;f;v;pl;ps;pr;pt) + (-i;-kan)
70963.3,x,,<memfilm> + -kan,bentukan,[29] [S] -kan + (<all>)
70963.4,x,,<memfilmk> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
70964,k,13,memfilter,dasar,
70964.1,v,,[meng-:mem-] + <filter>,bentukan,[2] meng- + (b;f;v;pl;ps;pr;pt) + (-i;-kan)
,,,,,
70965,v,2,memfiltrasi,dasar,
70965.1,x,,[meng-:mem-] + <filtras> + -i,bentukan,[2] meng- + (b;f;v;pl;ps;pr;pt) + (-i;-kan)
70965.2,v,,[meng-:mem-] + <filtrasi>,bentukan,[2] meng- + (b;f;v;pl;ps;pr;pt) + (-i;-kan)
70965.3,x,,<memfiltras> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
70966,d,0,memfiltrasikan,dasar,
70966.1,v,,[meng-:mem-] + <filtrasi> + -kan,bentukan,[2] meng- + (b;f;v;pl;ps;pr;pt) + (-i;-kan)
70966.2,x,,[meng-:mem-] + <filtrasikan>,bentukan,[2] meng- + (b;f;v;pl;ps;pr;pt) + (-i;-kan)
70966.3,x,,<memfiltrasi> + -kan,bentukan,[29] [S] -kan + (<all>)
70966.4,x,,<memfiltrasik> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
70967,k,5,memfinalisasi,dasar,
70967.1,x,,[meng-:mem-] + <finalisas> + -i,bentukan,[2] meng- + (b;f;v;pl;ps;pr;pt) + (-i;-kan)
70967.2,v,,[meng-:mem-] + <finalisasi>,bentukan,[2] meng- + (b;f;v;pl;ps;pr;pt) + (-i;-kan)
70967.3,x,,<memfinalisas> + -i,bentukan,[28] [S] -i + (<all>)
70967.4,x,,<memfinali> + [-isasi:-sasi],bentukan,[166] [S] -isasi + (i)
70967.5,x,,<memfinalis> + [-isasi:-asi],bentukan,[167] [S] -isasi + (is)
70967.6,x,,<memfinal> + -isasi,bentukan,[169] [S] -isasi + (<others>)
,,,,,
70968,k,8,memfinalkan,dasar,
70968.1,v,,[meng-:mem-] + <final> + -kan,bentukan,[2] meng- + (b;f;v;pl;ps;pr;pt) + (-i;-kan)
