Nomor,KP,Jumlah,Entri,Tipe,Pembentukan
134283,k,0,xirofobia,dasar,
134283.1,x,,<xiro> + -fobia,bentukan,[107] [S] -fobia + (<all>)
,,,,,
134284,k,0,xister,dasar,
,,,,,
134285,k,599,y,dasar,
,,,,,
134286,k,4039,ya,dasar,
,,,,,
134287,t,7,yaah,dasar,ya
,,,,,
134288,t,5,yaasin,dasar,yasin
,,,,,
134289,k,0,yacung,dasar,
,,,,,
134290,k,7,yad,dasar,
,,,,,
134291,k,2,yafi,dasar,
134291.1,x,,<yaf> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
134292,k,0,yagi,dasar,
134292.1,x,,<yag> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
134293,k,242,yah,dasar,
,,,,,
134294,k,0,yahadian,dasar,
134294.1,x,,<yahadi> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
134295,k,0,yahrai,dasar,
134295.1,x,,<yahra> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
134296,k,0,yahu sume,dasar,
,,,,,
134297,k,11,yahud,dasar,
,,,,,
134298,k,217,yahudi,dasar,
134298.1,x,,<yahud> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
134299,k,0,yahudiah,dasar,
134299.1,x,,<yahud> + -iah,bentukan,[175] [S] -iah + (<others>)
,,,,,
134300,k,26,yahukimo,dasar,
,,,,,
134301,k,0,yahwe,dasar,
,,,,,
134302,k,145,yahya,dasar,
,,,,,
134303,k,0,yais,dasar,
134303.1,x,,<yai> + [-is:-s],bentukan,[177] [S] -is + (i)
134303.2,x,,<ya> + -is,bentukan,[178] [S] -is + (<others>)
,,,,,
134304,k,10238,yaitu,dasar,
,,,,,
134305,k,0,yajna,dasar,
,,,,,
134306,k,19,yak,dasar,
,,,,,
134307,k,0,yakai,dasar,
134307.1,x,,<yaka> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
134308,k,3,yaki,dasar,
134308.1,x,,<yak> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
134309,k,0,yakik,dasar,
,,,,,
134310,k,2332,yakin,dasar,
,,,,,
134311,k,0,yakiniku,dasar,
134311.1,x,,<yakini> + -ku,bentukan,[32] [SFS] -ku + (<all>)
134311.2,x,,<yakin> + -i + -ku,bentukan,[28] [S] -i + (<all>) => [32] [SFS] -ku + (<all>)
,,,,,
134312,v,3,yakinilah,dasar,
134312.1,x,,<yakini> + -lah,bentukan,[31] [FS] -lah + (<all>)
134312.2,v,,<yakin> + -i + -lah,bentukan,[28] [S] -i + (<all>) => [31] [FS] -lah + (<all>)
,,,,,
134313,v,5,yakinkah,dasar,
134313.1,v,,<yakin> + -kah,bentukan,[30] [FS] -kah + (<all>)
,,,,,
134314,v,42,yakinkan,dasar,
134314.1,v,,<yakin> + -kan,bentukan,[29] [S] -kan + (<all>)
134314.2,x,,<yakink> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
134315,v,56,yakinlah,dasar,
134315.1,v,,<yakin> + -lah,bentukan,[31] [FS] -lah + (<all>)
,,,,,
134316,k,0,yakis,dasar,
134316.1,x,,<yaki> + [-is:-s],bentukan,[177] [S] -is + (i)
134316.2,x,,<yak> + -is,bentukan,[178] [S] -is + (<others>)
,,,,,
134317,k,0,yakisoba,dasar,
,,,,,
134318,k,2,yakitori,dasar,
134318.1,x,,<yakitor> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
134319,k,0,yakjuj wa makjuj,dasar,
,,,,,
134320,k,6087,yakni,dasar,
134320.1,x,,<yakn> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
134321,t,6,yakob,dasar,yakub
,,,,,
134322,k,7,yakobus,dasar,
,,,,,
134323,k,0,yakon,dasar,
,,,,,
134324,k,0,yaksa,dasar,
,,,,,
134325,k,21,yakub,dasar,
,,,,,
134326,t,2,yakup,dasar,yakub
,,,,,
134327,k,3,yakut,dasar,
,,,,,
134328,k,0,yakuza,dasar,
,,,,,
134329,k,0,yali,dasar,
134329.1,x,,<yal> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
134330,k,0,yalilan,dasar,
134330.1,x,,<yalil> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
134331,k,19,yalimo,dasar,
,,,,,
134332,k,0,yalobala,dasar,
,,,,,
134333,k,0,yalohatan,dasar,
134333.1,x,,<yalohat> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
134334,k,0,yalusi,dasar,
134334.1,x,,<yalus> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
134335,k,0,yamahan,dasar,
134335.1,x,,<yamah> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
134336,k,6,yamato,dasar,
,,,,,
134337,v,72,yamin,dasar,
,,,,,
134338,k,0,yamna,dasar,
,,,,,
134339,k,0,yamtuan,dasar,
134339.1,x,,<yamtu> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
134340,k,0,yanda,dasar,
