Nomor,KP,Jumlah,Entri,Tipe,Pembentukan
37083,k,0,gelombang panas,dasar,
,,,,,
37084,k,0,gelombang panjang,dasar,
,,,,,
37085,k,0,gelombang pasang,dasar,
,,,,,
37086,k,0,gelombang pasat,dasar,
,,,,,
37087,k,0,gelombang pegunungan,dasar,
37087.1,x,,<gelombang pegunung> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
37088,k,0,gelombang permanen,dasar,
,,,,,
37089,k,0,gelombang radio,dasar,
,,,,,
37090,k,0,gelombang seismik,dasar,
,,,,,
37091,k,0,gelombang siklon,dasar,
,,,,,
37092,k,0,gelombang sinus,dasar,
,,,,,
37093,k,0,gelombang tak mantap,dasar,
,,,,,
37094,k,0,gelombang transversal,dasar,
,,,,,
37095,k,0,gelombang tropopause,dasar,
37095.1,x,,<gelombang tropo> + -pause,bentukan,[203] [S] -pause + (<all>)
,,,,,
37096,k,0,gelombang udara,dasar,
,,,,,
37097,k,0,gelombang ultrasonik,dasar,
,,,,,
37098,v,11,gelombang-gelombang,dasar,
37098.1,v,,<gelombang> [-] <r>,bentukan,[23] [RD] |
,,,,,
37099,v,16,gelombangnya,dasar,
37099.1,v,,<gelombang> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
37100,k,0,gelomo,dasar,
,,,,,
37101,k,0,gelompar,dasar,
,,,,,
37102,k,4,gelondong,dasar,
,,,,,
37103,k,34,gelondongan,dasar,
37103.1,v,,<gelondong> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
37104,k,0,gelondor,dasar,
,,,,,
37105,k,0,geloneng,dasar,
,,,,,
37106,k,0,gelonggong,dasar,
,,,,,
37107,k,2,gelonggongan,dasar,
37107.1,v,,<gelonggong> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
37108,k,0,gelongsong,dasar,
,,,,,
37109,k,0,gelongsor,dasar,
,,,,,
37110,k,0,gelontor,dasar,
,,,,,
37111,k,15,gelontoran,dasar,
37111.1,v,,<gelontor> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
37112,v,9,gelontorkan,dasar,
37112.1,v,,<gelontor> + -kan,bentukan,[29] [S] -kan + (<all>)
37112.2,x,,<gelontork> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
37113,k,0,gelopak,dasar,
,,,,,
37114,k,219,gelora,dasar,
,,,,,
37115,v,10,gelorakan,dasar,
37115.1,v,,<gelora> + -kan,bentukan,[29] [S] -kan + (<all>)
37115.2,x,,<gelorak> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
37116,k,0,gelorat,dasar,
,,,,,
37117,k,0,gelosang,dasar,
,,,,,
37118,k,0,geloso,dasar,
,,,,,
37119,k,0,gelosok,dasar,
,,,,,
37120,k,0,gelosor,dasar,
,,,,,
37121,k,0,gelotak,dasar,
,,,,,
37122,k,0,geloyor,dasar,
,,,,,
37123,k,3,geluduk,dasar,
,,,,,
37124,k,0,geluga,dasar,
,,,,,
37125,k,0,gelugu,dasar,
,,,,,
37126,k,0,gelugur,dasar,
,,,,,
37127,k,0,gelugut,dasar,
,,,,,
37128,k,0,geluh,dasar,
,,,,,
37129,k,0,geluk,dasar,
,,,,,
37130,k,0,gelulur,dasar,
,,,,,
37131,k,0,gelumang,dasar,
,,,,,
37132,k,0,gelumat,dasar,
,,,,,
37133,k,0,gelumpai,dasar,
37133.1,x,,<gelumpa> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
37134,k,0,geluncur,dasar,
,,,,,
37135,k,0,gelundang,dasar,
,,,,,
37136,k,3,gelundung,dasar,
,,,,,
37137,k,7,gelung,dasar,
,,,,,
37138,k,0,gelung kori,dasar,
37138.1,x,,<gelung kor> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
37139,k,3,gelungan,dasar,
37139.1,v,,<gelung> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
37140,k,0,gelup,dasar,
,,,,,
37141,k,0,gelupur,dasar,
,,,,,
37142,k,5,gelut,dasar,
,,,,,
37143,k,0,gelutak,dasar,
,,,,,
37144,k,0,gelutan,dasar,
37144.1,v,,<gelut> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
37145,v,35,geluti,dasar,
37145.1,v,,<gelut> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
37146,k,147,gema,dasar,
,,,,,
37147,k,0,gema duga,dasar,
,,,,,
37148,v,2,gema-gema,dasar,
37148.1,v,,<gema> [-] <r>,bentukan,[23] [RD] |
