Nomor,KP,Jumlah,Entri,Tipe,Pembentukan
98911,k,0,penyeranta,dasar,
98911.1,x,,[peng-:pe-] + <nyeranta>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
98911.2,v,,[peng-:pe-] + <seranta>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
98911.3,x,,[peng-+se-:pe-+nye-] + <ranta>,bentukan,[66] se- + (<all>) + (-an;-kan;-nya) => [71] [MP] peng-+se- + (<all>) + (-an)
98911.4,x,,pe- + <nyeranta>,bentukan,[96] pe- + (<all>) + (-an)
,,,,,
98912,k,49,penyerap,dasar,
98912.1,x,,[peng-:pe-] + <nyerap>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
98912.2,v,,[peng-:pe-] + <serap>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
98912.3,x,,[peng-+se-:pe-+nye-] + <rap>,bentukan,[66] se- + (<all>) + (-an;-kan;-nya) => [71] [MP] peng-+se- + (<all>) + (-an)
98912.4,x,,pe- + <nyerap>,bentukan,[96] pe- + (<all>) + (-an)
,,,,,
98913,k,0,penyerap data,dasar,
98913.1,x,,[peng-:pe-] + <nyerap data>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
98913.2,x,,[peng-:pe-] + <serap data>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
98913.3,x,,[peng-+se-:pe-+nye-] + <rap data>,bentukan,[66] se- + (<all>) + (-an;-kan;-nya) => [71] [MP] peng-+se- + (<all>) + (-an)
98913.4,x,,pe- + <nyerap data>,bentukan,[96] pe- + (<all>) + (-an)
,,,,,
98914,k,0,penyerap panas,dasar,
98914.1,x,,[peng-:pe-] + <nyerap panas>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
98914.2,x,,[peng-:pe-] + <serap panas>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
98914.3,x,,[peng-+se-:pe-+nye-] + <rap panas>,bentukan,[66] se- + (<all>) + (-an;-kan;-nya) => [71] [MP] peng-+se- + (<all>) + (-an)
98914.4,x,,pe- + <nyerap panas>,bentukan,[96] pe- + (<all>) + (-an)
,,,,,
98915,k,583,penyerapan,dasar,
98915.1,x,,[peng-:pe-] + <nyerap> + -an,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
98915.2,v,,[peng-:pe-] + <serap> + -an,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
98915.3,x,,[peng-:pe-] + <nyerapan>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
98915.4,x,,[peng-:pe-] + <serapan>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
98915.5,x,,[peng-+se-:pe-+nye-] + <rap> + -an,bentukan,[66] se- + (<all>) + (-an;-kan;-nya) => [71] [MP] peng-+se- + (<all>) + (-an)
98915.6,x,,[peng-+se-:pe-+nye-] + <rapan>,bentukan,[66] se- + (<all>) + (-an;-kan;-nya) => [71] [MP] peng-+se- + (<all>) + (-an)
98915.7,x,,pe- + <nyerap> + -an,bentukan,[96] pe- + (<all>) + (-an)
98915.8,x,,pe- + <nyerapan>,bentukan,[96] pe- + (<all>) + (-an)
98915.9,x,,<penyerap> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
98916,k,0,penyerapan awan,dasar,
98916.1,x,,[peng-:pe-] + <nyerapan aw> + -an,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
98916.2,x,,[peng-:pe-] + <serapan aw> + -an,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
98916.3,x,,[peng-:pe-] + <nyerapan awan>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
98916.4,x,,[peng-:pe-] + <serapan awan>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
98916.5,x,,[peng-+se-:pe-+nye-] + <rapan aw> + -an,bentukan,[66] se- + (<all>) + (-an;-kan;-nya) => [71] [MP] peng-+se- + (<all>) + (-an)
98916.6,x,,[peng-+se-:pe-+nye-] + <rapan awan>,bentukan,[66] se- + (<all>) + (-an;-kan;-nya) => [71] [MP] peng-+se- + (<all>) + (-an)
98916.7,x,,pe- + <nyerapan aw> + -an,bentukan,[96] pe- + (<all>) + (-an)
98916.8,x,,pe- + <nyerapan awan>,bentukan,[96] pe- + (<all>) + (-an)
98916.9,x,,<penyerapan aw> + -an,bentukan,[38] [S] -an + (<all>)
98916.1,x,,<penyerapan a> + -wan,bentukan,[180] [S] -wan + (<others>)
98916.11,x,,<penyerapan > + [-wan:-awan],bentukan,[18000001] [S] -wan + (<all>)
,,,,,
98917,k,0,penyerapan uap air,dasar,
98917.1,x,,[peng-:pe-] + <nyerapan uap air>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
98917.2,x,,[peng-:pe-] + <serapan uap air>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
98917.3,x,,[peng-+se-:pe-+nye-] + <rapan uap air>,bentukan,[66] se- + (<all>) + (-an;-kan;-nya) => [71] [MP] peng-+se- + (<all>) + (-an)
98917.4,x,,pe- + <nyerapan uap air>,bentukan,[96] pe- + (<all>) + (-an)
,,,,,
98918,v,22,penyerapannya,dasar,
98918.1,x,,[peng-:pe-] + <nyerapannya>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
98918.2,x,,[peng-:pe-] + <serapannya>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
98918.3,x,,[peng-+se-:pe-+nye-] + <rapannya>,bentukan,[66] se- + (<all>) + (-an;-kan;-nya) => [71] [MP] peng-+se- + (<all>) + (-an)
98918.4,x,,pe- + <nyerapannya>,bentukan,[96] pe- + (<all>) + (-an)
98918.5,x,,<penyerapan> + -nya,bentukan,[34] [SFS] -nya + (<all>)
98918.6,x,,[peng-:pe-] + <nyerap> + -an + -nya,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an) => [34] [SFS] -nya + (<all>)
98918.7,v,,[peng-:pe-] + <serap> + -an + -nya,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an) => [34] [SFS] -nya + (<all>)
98918.8,x,,[peng-:pe-] + <nyerapan> + -nya,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an) => [34] [SFS] -nya + (<all>)
98918.9,x,,[peng-:pe-] + <serapan> + -nya,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an) => [34] [SFS] -nya + (<all>)
