Nomor,KP,Jumlah,Entri,Tipe,Pembentukan
27724,v,174,dilaksanakannya,dasar,
27724.1,x,,di- + <laksanakannya>,bentukan,[37] di- + (<all>) + (-i;-kan)
27724.2,x,,<dilaksanakan> + -nya,bentukan,[34] [SFS] -nya + (<all>)
27724.3,v,,di- + <laksana> + -kan + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>)
27724.4,x,,di- + <laksanakan> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>)
27724.5,x,,<dilaksana> + -kan + -nya,bentukan,[29] [S] -kan + (<all>) => [34] [SFS] -nya + (<all>)
27724.6,x,,<dilaksanak> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>)
,,,,,
27725,t,7,dilakuin,dasar,dilakukan
27725.1,x,,di- + <lakuin>,bentukan,[37] di- + (<all>) + (-i;-kan)
,,,,,
27726,v,15155,dilakukan,dasar,
27726.1,v,,di- + <laku> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan)
27726.2,x,,di- + <lakukan>,bentukan,[37] di- + (<all>) + (-i;-kan)
27726.3,x,,<dilaku> + -kan,bentukan,[29] [S] -kan + (<all>)
27726.4,x,,<dilakuk> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
27727,v,23,dilakukanlah,dasar,
27727.1,x,,di- + <lakukanlah>,bentukan,[37] di- + (<all>) + (-i;-kan)
27727.2,x,,<dilakukan> + -lah,bentukan,[31] [FS] -lah + (<all>)
27727.3,v,,di- + <laku> + -kan + -lah,bentukan,[37] di- + (<all>) + (-i;-kan) => [31] [FS] -lah + (<all>)
27727.4,x,,di- + <lakukan> + -lah,bentukan,[37] di- + (<all>) + (-i;-kan) => [31] [FS] -lah + (<all>)
27727.5,x,,<dilaku> + -kan + -lah,bentukan,[29] [S] -kan + (<all>) => [31] [FS] -lah + (<all>)
27727.6,x,,<dilakuk> + -an + -lah,bentukan,[38] [S] -an + (<all>) => [31] [FS] -lah + (<all>)
,,,,,
27728,v,865,dilakukannya,dasar,
27728.1,x,,di- + <lakukannya>,bentukan,[37] di- + (<all>) + (-i;-kan)
27728.2,x,,<dilakukan> + -nya,bentukan,[34] [SFS] -nya + (<all>)
27728.3,v,,di- + <laku> + -kan + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>)
27728.4,x,,di- + <lakukan> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>)
27728.5,x,,<dilaku> + -kan + -nya,bentukan,[29] [S] -kan + (<all>) => [34] [SFS] -nya + (<all>)
27728.6,x,,<dilakuk> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>)
,,,,,
27729,t,4,dilalah,dasar,ternyata
27729.1,x,,di- + <lalah>,bentukan,[37] di- + (<all>) + (-i;-kan)
27729.2,x,,<dila> + -lah,bentukan,[31] [FS] -lah + (<all>)
27729.3,x,,di- + <la> + -lah,bentukan,[37] di- + (<all>) + (-i;-kan) => [31] [FS] -lah + (<all>)
,,,,,
27730,v,2,dilalai-lalaikan,dasar,
27730.1,x,,di- + <lala> [-] <r> + -ikan,bentukan,[37] di- + (<all>) + (-i;-kan) => [39] [RD] di-|
27730.2,v,,di- + <lalai> [-] <r> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan) => [39] [RD] di-|
,,,,,
27731,v,10,dilalaikan,dasar,
27731.1,v,,di- + <lalai> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan)
27731.2,x,,di- + <lalaikan>,bentukan,[37] di- + (<all>) + (-i;-kan)
