Nomor,KP,Jumlah,Entri,Tipe,Pembentukan
51095,k,0,kedal,dasar,
51095.1,x,,ke- + <dal>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
,,,,,
51096,k,0,kedal anjing,dasar,
51096.1,x,,ke- + <dal anjing>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
,,,,,
51097,k,0,kedal gajah,dasar,
51097.1,x,,ke- + <dal gajah>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
,,,,,
51098,k,577,kedalaman,dasar,
51098.1,v,,ke- + <dalam> + -an,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
51098.2,x,,ke- + <dalaman>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
51098.3,x,,<kedalam> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
51099,v,2,kedalaman-kedalaman,dasar,
51099.1,v,,<kedalaman> [-] <r>,bentukan,[23] [RD] |
51099.2,v,,ke- + <dalam> + -an [-] ke- + <r> + -an,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya) => [23] [RD] |
51099.3,x,,ke- + <dalaman> [-] ke- + <r>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya) => [23] [RD] |
51099.4,x,,<kedalam> + -an [-] <r> + -an,bentukan,[38] [S] -an + (<all>) => [23] [RD] |
,,,,,
51100,v,40,kedalamannya,dasar,
51100.1,x,,ke- + <dalaman> + -nya,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
51100.2,x,,ke- + <dalamannya>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
51100.3,x,,<kedalaman> + -nya,bentukan,[34] [SFS] -nya + (<all>)
51100.4,v,,ke- + <dalam> + -an + -nya,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya) => [34] [SFS] -nya + (<all>)
51100.5,x,,ke- + <dalaman> + -nya,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya) => [34] [SFS] -nya + (<all>)
51100.6,x,,<kedalam> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>)
,,,,,
51101,k,0,kedalomon,dasar,
51101.1,x,,ke- + <dalomon>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
,,,,,
51102,c,4,kedaluarsa,dasar,kedaluwarsa
51102.1,x,,ke- + <daluarsa>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
,,,,,
51103,k,88,kedaluwarsa,dasar,
51103.1,x,,ke- + <daluwarsa>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
,,,,,
51104,v,5,kedaluwarsanya,dasar,
51104.1,x,,ke- + <daluwarsa> + -nya,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
51104.2,x,,ke- + <daluwarsanya>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
51104.3,v,,<kedaluwarsa> + -nya,bentukan,[34] [SFS] -nya + (<all>)
51104.4,x,,ke- + <daluwarsa> + -nya,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya) => [34] [SFS] -nya + (<all>)
,,,,,
51105,k,0,kedam,dasar,
51105.1,x,,ke- + <dam>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
,,,,,
51106,k,262,kedamaian,dasar,
51106.1,v,,ke- + <damai> + -an,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
51106.2,x,,ke- + <damaian>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
51106.3,x,,<kedamai> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
51107,v,3,kedamaiannya,dasar,
51107.1,x,,ke- + <damaian> + -nya,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
51107.2,x,,ke- + <damaiannya>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
51107.3,x,,<kedamaian> + -nya,bentukan,[34] [SFS] -nya + (<all>)
51107.4,v,,ke- + <damai> + -an + -nya,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya) => [34] [SFS] -nya + (<all>)
51107.5,x,,ke- + <damaian> + -nya,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya) => [34] [SFS] -nya + (<all>)
51107.6,x,,<kedamai> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>)
,,,,,
51108,k,0,kedampingan,dasar,
51108.1,v,,ke- + <damping> + -an,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
51108.2,x,,ke- + <dampingan>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
51108.3,x,,<kedamping> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
51109,k,0,kedampul,dasar,
51109.1,x,,ke- + <dampul>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
,,,,,
51110,c,39,kedan,dasar,kejan
51110.1,x,,ke- + <d> + -an,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
51110.2,x,,ke- + <dan>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
51110.3,x,,<ked> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
51111,k,0,kedang,dasar,
51111.1,x,,ke- + <dang>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
,,,,,
51112,k,0,kedangkai,dasar,
51112.1,x,,ke- + <dangkai>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
51112.2,x,,<kedangka> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
51113,k,18,kedangkalan,dasar,
51113.1,v,,ke- + <dangkal> + -an,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
51113.2,x,,ke- + <dangkalan>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
51113.3,x,,<kedangkal> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
51114,k,0,kedangkan,dasar,
51114.1,x,,ke- + <dangk> + -an,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
51114.2,x,,ke- + <dang> + -kan,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
51114.3,x,,ke- + <dangkan>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
51114.4,x,,<kedang> + -kan,bentukan,[29] [S] -kan + (<all>)
51114.5,x,,<kedangk> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
51115,k,0,kedangsa,dasar,
51115.1,x,,ke- + <dangsa>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
,,,,,
51116,k,0,kedaong,dasar,
51116.1,x,,ke- + <daong>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
,,,,,
51117,k,90,kedap,dasar,
51117.1,x,,ke- + <dap>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
,,,,,
51118,k,0,kedap air,dasar,
51118.1,x,,ke- + <dap air>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
,,,,,
51119,k,0,kedap cahaya,dasar,
51119.1,x,,ke- + <dap cahaya>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
,,,,,
51120,k,0,kedap cuaca,dasar,
51120.1,x,,ke- + <dap cuaca>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
,,,,,
51121,k,0,kedap nyamuk,dasar,
51121.1,x,,ke- + <dap nyamuk>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
,,,,,
51122,k,0,kedap suara,dasar,
51122.1,x,,ke- + <dap suara>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
,,,,,
51123,k,0,kedap udara,dasar,
51123.1,x,,ke- + <dap udara>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
,,,,,
51124,k,99,kedapatan,dasar,
51124.1,v,,ke- + <dapat> + -an,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
51124.2,x,,ke- + <dapatan>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
51124.3,x,,<kedapat> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
51125,k,0,kedar,dasar,
51125.1,x,,ke- + <dar>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
,,,,,
51126,k,136,kedaruratan,dasar,
51126.1,v,,ke- + <darurat> + -an,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
51126.2,x,,ke- + <daruratan>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
51126.3,x,,<kedarurat> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
51127,k,0,kedasih,dasar,
51127.1,x,,ke- + <dasih>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
,,,,,
51128,k,1093,kedatangan,dasar,
51128.1,v,,ke- + <datang> + -an,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
51128.2,x,,ke- + <datangan>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
51128.3,x,,<kedatang> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
51129,k,0,kedatangan awal,dasar,
51129.1,x,,ke- + <datangan awal>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
,,,,,
51130,k,0,kedatangan lambat,dasar,
51130.1,x,,ke- + <datangan lambat>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya)
,,,,,
51131,v,47,kedatanganku,dasar,
