Nomor,KP,Jumlah,Entri,Tipe,Pembentukan
130351,v,18,tulisanku,dasar,
130351.1,x,,<tulisan> + -ku,bentukan,[32] [SFS] -ku + (<all>)
130351.2,v,,<tulis> + -an + -ku,bentukan,[38] [S] -an + (<all>) => [32] [SFS] -ku + (<all>)
,,,,,
130352,v,2,tulisanlah,dasar,
130352.1,x,,<tulisan> + -lah,bentukan,[31] [FS] -lah + (<all>)
130352.2,v,,<tulis> + -an + -lah,bentukan,[38] [S] -an + (<all>) => [31] [FS] -lah + (<all>)
,,,,,
130353,v,20,tulisanmu,dasar,
130353.1,x,,<tulisan> + -mu,bentukan,[33] [SFS] -mu + (<all>)
130353.2,v,,<tulis> + -an + -mu,bentukan,[38] [S] -an + (<all>) => [33] [SFS] -mu + (<all>)
,,,,,
130354,v,293,tulisannya,dasar,
130354.1,x,,<tulisan> + -nya,bentukan,[34] [SFS] -nya + (<all>)
130354.2,v,,<tulis> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>)
,,,,,
130355,v,2,tulisi,dasar,
130355.1,v,,<tulis> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
130356,t,2,tulisin,dasar,
,,,,,
130357,v,91,tuliskan,dasar,
130357.1,v,,<tulis> + -kan,bentukan,[29] [S] -kan + (<all>)
130357.2,x,,<tulisk> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
130358,v,8,tuliskanlah,dasar,
130358.1,x,,<tuliskan> + -lah,bentukan,[31] [FS] -lah + (<all>)
130358.2,v,,<tulis> + -kan + -lah,bentukan,[29] [S] -kan + (<all>) => [31] [FS] -lah + (<all>)
130358.3,x,,<tulisk> + -an + -lah,bentukan,[38] [S] -an + (<all>) => [31] [FS] -lah + (<all>)
,,,,,
130359,v,8,tulisku,dasar,
130359.1,v,,<tulis> + -ku,bentukan,[32] [SFS] -ku + (<all>)
130359.2,x,,<tuli> + [-is:-s] + -ku,bentukan,[177] [S] -is + (i) => [32] [SFS] -ku + (<all>)
130359.3,x,,<tul> + -is + -ku,bentukan,[178] [S] -is + (<others>) => [32] [SFS] -ku + (<all>)
,,,,,
130360,v,43,tulislah,dasar,
130360.1,v,,<tulis> + -lah,bentukan,[31] [FS] -lah + (<all>)
130360.2,x,,<tuli> + [-is:-s] + -lah,bentukan,[177] [S] -is + (i) => [31] [FS] -lah + (<all>)
130360.3,x,,<tul> + -is + -lah,bentukan,[178] [S] -is + (<others>) => [31] [FS] -lah + (<all>)
,,,,,
130361,v,3,tulismu,dasar,
130361.1,v,,<tulis> + -mu,bentukan,[33] [SFS] -mu + (<all>)
130361.2,x,,<tuli> + [-is:-s] + -mu,bentukan,[177] [S] -is + (i) => [33] [SFS] -mu + (<all>)
130361.3,x,,<tul> + -is + -mu,bentukan,[178] [S] -is + (<others>) => [33] [SFS] -mu + (<all>)
,,,,,
130362,v,124,tulisnya,dasar,
130362.1,v,,<tulis> + -nya,bentukan,[34] [SFS] -nya + (<all>)
130362.2,x,,<tuli> + [-is:-s] + -nya,bentukan,[177] [S] -is + (i) => [34] [SFS] -nya + (<all>)
130362.3,x,,<tul> + -is + -nya,bentukan,[178] [S] -is + (<others>) => [34] [SFS] -nya + (<all>)
,,,,,
130363,k,0,tulium,dasar,
,,,,,
130364,k,0,tulongo,dasar,
,,,,,
130365,v,2,tulpa,dasar,
,,,,,
130366,v,3,tulsi,dasar,
130366.1,x,,<tuls> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
130367,k,2,tulu,dasar,
,,,,,
130368,k,0,tulude,dasar,
,,,,,
130369,c,29,tulung,dasar,tolong
,,,,,
130370,k,51,tulungagung,dasar,
,,,,,
130371,k,0,tulup,dasar,
,,,,,
130372,k,380,tulus,dasar,
,,,,,
130373,v,2,tuluskah,dasar,
130373.1,v,,<tulus> + -kah,bentukan,[30] [FS] -kah + (<all>)
,,,,,
130374,v,6,tulusnya,dasar,
