Nomor,KP,Jumlah,Entri,Tipe,Pembentukan
57051,k,0,kingking,dasar,
,,,,,
57052,k,0,kingkip,dasar,
,,,,,
57053,k,0,kingkit,dasar,
,,,,,
57054,k,2,kingkong,dasar,
,,,,,
57055,k,6658,kini,dasar,
57055.1,x,,<kin> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
57056,k,0,kini-kini,dasar,
57056.1,v,,<kini> [-] <r>,bentukan,[23] [RD] |
57056.2,x,,<kin> + -i [-] <r> + -i,bentukan,[28] [S] -i + (<all>) => [23] [RD] |
,,,,,
57057,v,2,kinilah,dasar,
57057.1,v,,<kini> + -lah,bentukan,[31] [FS] -lah + (<all>)
57057.2,x,,<kin> + -i + -lah,bentukan,[28] [S] -i + (<all>) => [31] [FS] -lah + (<all>)
,,,,,
57058,k,0,kinine,dasar,
,,,,,
57059,k,0,kinja,dasar,
,,,,,
57060,k,0,kinjat,dasar,
,,,,,
57061,k,0,kinkonidina,dasar,
,,,,,
57062,k,0,kino,dasar,
,,,,,
57063,k,0,kinoa,dasar,
,,,,,
57064,k,0,kinofobia,dasar,
57064.1,x,,<kino> + -fobia,bentukan,[107] [S] -fobia + (<all>)
,,,,,
57065,k,0,kinowu,dasar,
,,,,,
57066,k,0,kinred,dasar,
,,,,,
57067,k,0,kintaka,dasar,
,,,,,
57068,k,0,kintal,dasar,
,,,,,
57069,k,0,kintar,dasar,
,,,,,
57070,k,0,kinte,dasar,
,,,,,
57071,k,0,kintil,dasar,
,,,,,
57072,k,0,kinu,dasar,
,,,,,
57073,k,0,kinyam,dasar,
,,,,,
57074,k,0,kinyang,dasar,
,,,,,
57075,k,2,kinyis-kinyis,dasar,
57075.1,v,,<kinyis> [-] <r>,bentukan,[23] [RD] |
57075.2,x,,<kinyi> + [-is:-s] [-] <r> + [-is:-s],bentukan,[177] [S] -is + (i) => [23] [RD] |
57075.3,x,,<kiny> + -is [-] <r> + -is,bentukan,[178] [S] -is + (<others>) => [23] [RD] |
,,,,,
57076,k,4,kio,dasar,
,,,,,
57077,k,0,kioko,dasar,
,,,,,
57078,c,16,kiong,dasar,keong
,,,,,
57079,k,0,kionofobia,dasar,
57079.1,x,,<kiono> + -fobia,bentukan,[107] [S] -fobia + (<all>)
,,,,,
57080,k,160,kios,dasar,
,,,,,
57081,v,28,kios-kios,dasar,
57081.1,v,,<kios> [-] <r>,bentukan,[23] [RD] |
,,,,,
57082,v,4,kiosku,dasar,
57082.1,v,,<kios> + -ku,bentukan,[32] [SFS] -ku + (<all>)
,,,,,
57083,v,2,kiosmu,dasar,
57083.1,v,,<kios> + -mu,bentukan,[33] [SFS] -mu + (<all>)
,,,,,
57084,v,13,kiosnya,dasar,
57084.1,v,,<kios> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
57085,c,84,kip,dasar,kep
,,,,,
57086,k,0,kipa,dasar,
,,,,,
57087,k,0,kipah,dasar,
,,,,,
57088,k,0,kipai,dasar,
57088.1,x,,<kipa> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
57089,k,0,kipait,dasar,
,,,,,
57090,k,0,kipal,dasar,
,,,,,
57091,k,0,kipang,dasar,
,,,,,
57092,k,0,kipar,dasar,
,,,,,
57093,k,0,kiparat,dasar,
,,,,,
57094,k,199,kipas,dasar,
,,,,,
57095,k,0,kipas air,dasar,
,,,,,
57096,k,0,kipas angin,dasar,
,,,,,
57097,k,0,kipas bambu,dasar,
,,,,,
57098,k,0,kipas isap,dasar,
,,,,,
57099,k,0,kipas pendingin,dasar,
,,,,,
57100,v,4,kipas-kipas,dasar,
57100.1,v,,<kipas> [-] <r>,bentukan,[23] [RD] |
,,,,,
57101,k,0,kipasan,dasar,
57101.1,v,,<kipas> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
57102,v,7,kipasnya,dasar,
57102.1,v,,<kipas> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
57103,k,0,kipe,dasar,
,,,,,
57104,k,202,kiper,dasar,
,,,,,
57105,v,3,kiper-kiper,dasar,
57105.1,v,,<kiper> [-] <r>,bentukan,[23] [RD] |
,,,,,
57106,v,3,kipernya,dasar,
57106.1,v,,<kiper> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
57107,k,189,kiprah,dasar,
,,,,,
57108,v,97,kiprahnya,dasar,
57108.1,v,,<kiprah> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
57109,k,0,kiprat,dasar,
,,,,,
57110,k,0,kipsiau,dasar,
,,,,,
57111,k,0,kipu,dasar,
,,,,,
57112,k,0,kipunjin,dasar,
,,,,,
57113,k,27,kir,dasar,
,,,,,
57114,k,766,kira,dasar,
,,,,,
57115,k,804,kira-kira,dasar,
57115.1,v,,<kira> [-] <r>,bentukan,[23] [RD] |
,,,,,
57116,k,0,kira-kiraan,dasar,
57116.1,v,,<kira> [-] <r> + -an,bentukan,[23] [RD] |
,,,,,
57117,k,0,kiraah,dasar,
,,,,,
57118,k,0,kiraan,dasar,
57118.1,v,,<kira> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
57119,k,0,kiraan lanjutan,dasar,
57119.1,x,,<kiraan lanjut> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
57120,k,0,kiraat,dasar,
,,,,,
57121,k,35,kirab,dasar,
,,,,,
57122,k,0,kirab obor,dasar,
,,,,,
57123,k,0,kirabat,dasar,
,,,,,
57124,k,4,kirai,dasar,
57124.1,x,,<kira> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
57125,k,0,kiramat,dasar,
,,,,,
57126,k,0,kiran,dasar,
57126.1,x,,<kir> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
57127,k,48,kirana,dasar,
,,,,,
