Nomor,KP,Jumlah,Entri,Tipe,Pembentukan
3334,k,0,alutan,dasar,
3334.1,x,,<alut> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
3335,k,0,alutta,dasar,
,,,,,
3336,k,6,aluvial,dasar,
,,,,,
3337,k,0,aluviasi,dasar,
3337.1,x,,<aluvias> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
3338,k,4,aluvium,dasar,
,,,,,
3339,k,0,aluwana,dasar,
,,,,,
3340,c,2,alvabet,dasar,alfabet
,,,,,
3341,k,0,alveola,dasar,
,,,,,
3342,k,8,alveolar,dasar,
,,,,,
3343,k,8,alveoli,dasar,
3343.1,x,,<alveol> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
3344,k,0,alveolitis,dasar,
3344.1,x,,<alveoliti> + [-is:-s],bentukan,[177] [S] -is + (i)
3344.2,x,,<alveolit> + -is,bentukan,[178] [S] -is + (<others>)
,,,,,
3345,k,0,alveolum,dasar,
,,,,,
3346,k,8,alveolus,dasar,
,,,,,
3347,k,0,alwah,dasar,
,,,,,
3348,k,0,alwasi,dasar,
3348.1,x,,<alwas> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
3349,k,0,alwasia,dasar,
,,,,,
3350,k,0,alzheimer,dasar,
,,,,,
3351,k,263,am,dasar,
,,,,,
3352,c,59,ama,dasar,hama
,,,,,
3353,k,0,amabakdu,dasar,
,,,,,
3354,k,3,amaf,dasar,
,,,,,
3355,k,6,amah,dasar,
,,,,,
3356,k,0,amahai,dasar,
3356.1,x,,<amaha> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
3357,k,0,amahatua,dasar,
,,,,,
3358,k,10,amai,dasar,
3358.1,x,,<ama> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
3359,k,0,amai-amai,dasar,
3359.1,v,,<amai> [-] <r>,bentukan,[23] [RD] |
3359.2,x,,<ama> + -i [-] <r> + -i,bentukan,[28] [S] -i + (<all>) => [23] [RD] |
,,,,,
3360,k,15,amak,dasar,
,,,,,
3361,k,0,amaksofobia,dasar,
3361.1,x,,<amakso> + -fobia,bentukan,[107] [S] -fobia + (<all>)
,,,,,
3362,k,308,amal,dasar,
,,,,,
3363,k,0,amal ibadah,dasar,
,,,,,
3364,k,0,amal jariah,dasar,
3364.1,x,,<amal jar> + -iah,bentukan,[175] [S] -iah + (<others>)
,,,,,
3365,k,0,amal saleh,dasar,
,,,,,
3366,v,12,amal-amal,dasar,
3366.1,v,,<amal> [-] <r>,bentukan,[23] [RD] |
,,,,,
3367,v,2,amal-amalmu,dasar,
3367.1,x,,<amal-amal> + -mu,bentukan,[33] [SFS] -mu + (<all>)
3367.2,v,,<amal> [-] <r> + -mu,bentukan,[23] [RD] | => [33] [SFS] -mu + (<all>)
,,,,,
3368,k,0,amalaka,dasar,
,,,,,
3369,k,0,amalaki,dasar,
3369.1,x,,<amalak> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
3370,k,43,amalan,dasar,
3370.1,v,,<amal> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
3371,v,11,amalan-amalan,dasar,
3371.1,v,,<amalan> [-] <r>,bentukan,[23] [RD] |
3371.2,x,,<amal> + -an [-] <r> + -an,bentukan,[38] [S] -an + (<all>) => [23] [RD] |
,,,,,
3372,v,5,amalannya,dasar,
3372.1,x,,<amalan> + -nya,bentukan,[34] [SFS] -nya + (<all>)
3372.2,v,,<amal> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>)
,,,,,
3373,k,4,amalgam,dasar,
,,,,,
3374,k,2,amalgamasi,dasar,
3374.1,x,,<amalgamas> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
3375,k,0,amalgamator,dasar,
,,,,,
3376,k,56,amali,dasar,
3376.1,v,,<amal> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
3377,k,18,amaliah,dasar,
3377.1,v,,<amal> + -iah,bentukan,[175] [S] -iah + (<others>)
,,,,,
3378,v,2,amaliahnya,dasar,
3378.1,x,,<amaliah> + -nya,bentukan,[34] [SFS] -nya + (<all>)
3378.2,v,,<amal> + -iah + -nya,bentukan,[175] [S] -iah + (<others>) => [34] [SFS] -nya + (<all>)
,,,,,
3379,v,14,amalkan,dasar,
3379.1,v,,<amal> + -kan,bentukan,[29] [S] -kan + (<all>)
3379.2,x,,<amalk> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
3380,v,2,amalkanlah,dasar,
3380.1,x,,<amalkan> + -lah,bentukan,[31] [FS] -lah + (<all>)
3380.2,v,,<amal> + -kan + -lah,bentukan,[29] [S] -kan + (<all>) => [31] [FS] -lah + (<all>)
3380.3,x,,<amalk> + -an + -lah,bentukan,[38] [S] -an + (<all>) => [31] [FS] -lah + (<all>)
,,,,,
3381,v,15,amalnya,dasar,
3381.1,v,,<amal> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
3382,k,0,amalo,dasar,
,,,,,
3383,k,4,amam,dasar,
,,,,,
3384,k,2863,aman,dasar,
3384.1,x,,<am> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
3385,k,459,amanah,dasar,
,,,,,
3386,v,12,amanahnya,dasar,
3386.1,v,,<amanah> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
3387,k,893,amanat,dasar,
,,,,,
3388,v,2,amanat-amanat,dasar,
3388.1,v,,<amanat> [-] <r>,bentukan,[23] [RD] |
,,,,,
3389,v,4,amanatkan,dasar,
3389.1,v,,<amanat> + -kan,bentukan,[29] [S] -kan + (<all>)
3389.2,x,,<amanatk> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
3390,v,20,amanatnya,dasar,
3390.1,v,,<amanat> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
3391,k,0,amanatun,dasar,
,,,,,
3392,k,10,amandel,dasar,
,,,,,
3393,c,3,amandeman,dasar,amendemen
3393.1,x,,<amandem> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
3394,c,90,amandemen,dasar,amendemen
,,,,,
3395,v,3,amandemen-amandemen,dasar,
3395.1,v,,<amandemen> [-] <r>,bentukan,[23] [RD] |
,,,,,
3396,k,0,amane,dasar,
,,,,,
3397,k,11,amang,dasar,
,,,,,
3398,k,0,amang boru,dasar,
,,,,,
3399,k,0,amang-amang,dasar,
3399.1,v,,<amang> [-] <r>,bentukan,[23] [RD] |
,,,,,
3400,k,0,amango,dasar,
,,,,,
3401,k,0,amanita muskaria,dasar,
,,,,,
3402,k,0,amanitin,dasar,
,,,,,
3403,k,0,amanra,dasar,
,,,,,
3404,k,0,amantadin,dasar,
,,,,,
3405,k,0,amantium,dasar,
,,,,,
3406,k,0,amanuban,dasar,
3406.1,x,,<amanub> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
3407,k,0,amanue,dasar,
,,,,,
3408,k,135,amar,dasar,
,,,,,
3409,k,0,amar dan nahi,dasar,
3409.1,x,,<amar dan nah> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
3410,k,0,amar makruf nahi mungkar,dasar,
,,,,,
3411,k,0,amar putusan,dasar,
3411.1,x,,<amar putus> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
3412,k,0,amar raja,dasar,
,,,,,
3413,k,273,amarah,dasar,
,,,,,
3414,v,40,amarahnya,dasar,
3414.1,v,,<amarah> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
3415,k,0,amaran,dasar,
3415.1,v,,<amar> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
3416,k,2,amarendra,dasar,
,,,,,
3417,k,0,amarilis,dasar,
3417.1,x,,<amarili> + [-is:-s],bentukan,[177] [S] -is + (i)
3417.2,x,,<amaril> + -is,bentukan,[178] [S] -is + (<others>)
,,,,,
3418,k,0,amarilis merah jambu,dasar,
,,,,,
3419,k,0,amarilis merah jingga,dasar,
,,,,,
3420,k,0,amarilis putih,dasar,
,,,,,
3421,k,0,amarilis putih bergaris merah,dasar,
,,,,,
3422,k,0,amastampawang,dasar,
,,,,,
3423,k,1464,amat,dasar,
,,,,,
3424,k,26,amatan,dasar,
3424.1,v,,<amat> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
3425,k,130,amati,dasar,
3425.1,v,,<amat> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
3426,k,111,amatir,dasar,
,,,,,
3427,k,0,amatir-amatiran,dasar,
3427.1,v,,<amatir> [-] <r> + -an,bentukan,[23] [RD] |
,,,,,
3428,k,21,amatiran,dasar,
3428.1,v,,<amatir> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
3429,k,0,amatirisme,dasar,
3429.1,v,,<amatir> + -isme,bentukan,[89] [S] -isme + (<all>)
,,,,,
3430,k,4,amato,dasar,
,,,,,
3431,k,0,amatofit,dasar,
,,,,,
3432,k,0,amatofobia,dasar,
3432.1,x,,<amato> + -fobia,bentukan,[107] [S] -fobia + (<all>)
,,,,,
3433,k,0,amatol,dasar,
,,,,,
3434,k,0,amau,dasar,
,,,,,
3435,k,6,amba,dasar,
,,,,,
3436,c,4,ambacang,dasar,bacang
,,,,,
3437,k,0,ambah,dasar,
,,,,,
3438,k,0,ambah-ambah,dasar,
3438.1,v,,<ambah> [-] <r>,bentukan,[23] [RD] |
,,,,,
3439,k,0,ambai,dasar,
3439.1,x,,<amba> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
3440,k,0,ambai-ambai,dasar,
3440.1,v,,<ambai> [-] <r>,bentukan,[23] [RD] |
3440.2,x,,<amba> + -i [-] <r> + -i,bentukan,[28] [S] -i + (<all>) => [23] [RD] |
,,,,,
3441,k,0,ambaian,dasar,
3441.1,v,,<ambai> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
