Nomor,KP,Jumlah,Entri,Tipe,Pembentukan
93173,k,0,pemastautin,dasar,
93173.1,x,,[peng-:pe-] + <mastautin>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93173.2,x,,[peng-:pe-] + <pastautin>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93173.3,v,,pe- + <mastautin>,bentukan,[96] pe- + (<all>) + (-an)
,,,,,
93174,k,0,pemaster,dasar,
93174.1,v,,[peng-:pe-] + <master>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93174.2,x,,[peng-:pe-] + <paster>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93174.3,x,,pe- + <master>,bentukan,[96] pe- + (<all>) + (-an)
,,,,,
93175,k,0,pemasteran,dasar,
93175.1,x,,[peng-:pe-] + <master> + -an,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93175.2,x,,[peng-:pe-] + <paster> + -an,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93175.3,x,,[peng-:pe-] + <masteran>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93175.4,x,,[peng-:pe-] + <pasteran>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93175.5,v,,pe- + <master> + -an,bentukan,[96] pe- + (<all>) + (-an)
93175.6,x,,pe- + <masteran>,bentukan,[96] pe- + (<all>) + (-an)
93175.7,x,,<pemaster> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
93176,k,10,pemastian,dasar,
93176.1,x,,[peng-:pe-] + <masti> + -an,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93176.2,v,,[peng-:pe-] + <pasti> + -an,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93176.3,x,,[peng-:pe-] + <mastian>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93176.4,x,,[peng-:pe-] + <pastian>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93176.5,x,,pe- + <masti> + -an,bentukan,[96] pe- + (<all>) + (-an)
93176.6,x,,pe- + <mastian>,bentukan,[96] pe- + (<all>) + (-an)
93176.7,x,,<pemasti> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
93177,k,333,pemasukan,dasar,
93177.1,x,,[peng-:pe-] + <masuk> + -an,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93177.2,x,,[peng-:pe-] + <pasuk> + -an,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93177.3,x,,[peng-:pe-] + <masukan>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93177.4,x,,[peng-:pe-] + <pasukan>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93177.5,v,,pe- + <masuk> + -an,bentukan,[96] pe- + (<all>) + (-an)
93177.6,x,,pe- + <masukan>,bentukan,[96] pe- + (<all>) + (-an)
93177.7,x,,<pemasu> + -kan,bentukan,[29] [S] -kan + (<all>)
93177.8,x,,<pemasuk> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
93178,k,0,pemasukan manual,dasar,
93178.1,x,,[peng-:pe-] + <masukan manual>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93178.2,x,,[peng-:pe-] + <pasukan manual>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93178.3,x,,pe- + <masukan manual>,bentukan,[96] pe- + (<all>) + (-an)
,,,,,
93179,v,11,pemasukannya,dasar,
93179.1,x,,[peng-:pe-] + <masukannya>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93179.2,x,,[peng-:pe-] + <pasukannya>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93179.3,x,,pe- + <masukannya>,bentukan,[96] pe- + (<all>) + (-an)
93179.4,x,,<pemasukan> + -nya,bentukan,[34] [SFS] -nya + (<all>)
93179.5,x,,[peng-:pe-] + <masuk> + -an + -nya,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an) => [34] [SFS] -nya + (<all>)
93179.6,x,,[peng-:pe-] + <pasuk> + -an + -nya,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an) => [34] [SFS] -nya + (<all>)
93179.7,x,,[peng-:pe-] + <masukan> + -nya,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an) => [34] [SFS] -nya + (<all>)
93179.8,x,,[peng-:pe-] + <pasukan> + -nya,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an) => [34] [SFS] -nya + (<all>)
93179.9,v,,pe- + <masuk> + -an + -nya,bentukan,[96] pe- + (<all>) + (-an) => [34] [SFS] -nya + (<all>)
93179.1,x,,pe- + <masukan> + -nya,bentukan,[96] pe- + (<all>) + (-an) => [34] [SFS] -nya + (<all>)
93179.11,x,,<pemasu> + -kan + -nya,bentukan,[29] [S] -kan + (<all>) => [34] [SFS] -nya + (<all>)
93179.12,x,,<pemasuk> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>)
,,,,,
93180,x,7,pemasukkan,dasar,pemasukan
93180.1,x,,[peng-:pe-] + <masukk> + -an,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93180.2,x,,[peng-:pe-] + <pasukk> + -an,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93180.3,x,,[peng-:pe-] + <masukkan>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93180.4,x,,[peng-:pe-] + <pasukkan>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93180.5,x,,pe- + <masukk> + -an,bentukan,[96] pe- + (<all>) + (-an)
93180.6,x,,pe- + <masukkan>,bentukan,[96] pe- + (<all>) + (-an)
93180.7,x,,<pemasuk> + -kan,bentukan,[29] [S] -kan + (<all>)
93180.8,x,,<pemasukk> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
93181,k,11,pemasungan,dasar,
93181.1,x,,[peng-:pe-] + <masung> + -an,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93181.2,v,,[peng-:pe-] + <pasung> + -an,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93181.3,x,,[peng-:pe-] + <masungan>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93181.4,x,,[peng-:pe-] + <pasungan>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93181.5,x,,pe- + <masung> + -an,bentukan,[96] pe- + (<all>) + (-an)
93181.6,x,,pe- + <masungan>,bentukan,[96] pe- + (<all>) + (-an)
93181.7,x,,<pemasung> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
93182,k,271,pemasyarakatan,dasar,
93182.1,x,,[peng-:pe-] + <masyarakat> + -an,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93182.2,x,,[peng-:pe-] + <pasyarakat> + -an,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93182.3,x,,[peng-:pe-] + <masyarakatan>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93182.4,x,,[peng-:pe-] + <pasyarakatan>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93182.5,v,,pe- + <masyarakat> + -an,bentukan,[96] pe- + (<all>) + (-an)
93182.6,x,,pe- + <masyarakatan>,bentukan,[96] pe- + (<all>) + (-an)
93182.7,x,,<pemasyarakat> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
93183,k,0,pemasyhuran,dasar,
93183.1,x,,[peng-:pe-] + <masyhur> + -an,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93183.2,x,,[peng-:pe-] + <pasyhur> + -an,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93183.3,x,,[peng-:pe-] + <masyhuran>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93183.4,x,,[peng-:pe-] + <pasyhuran>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93183.5,v,,pe- + <masyhur> + -an,bentukan,[96] pe- + (<all>) + (-an)
93183.6,x,,pe- + <masyhuran>,bentukan,[96] pe- + (<all>) + (-an)
93183.7,x,,<pemasyhur> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
93184,k,0,pemata-mataan,dasar,
93184.1,v,,[peng-:pe-] + <mata> [-] <r> + -an,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an) => [42] [RD] peng-|
93184.2,x,,[peng-:pe-] + <pata> [-] <r> + -an,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an) => [42] [RD] peng-|
,,,,,
93185,k,0,pematah,dasar,
93185.1,x,,[peng-:pe-] + <matah>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93185.2,v,,[peng-:pe-] + <patah>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93185.3,x,,pe- + <matah>,bentukan,[96] pe- + (<all>) + (-an)
,,,,,
93186,k,3,pematahan,dasar,
93186.1,x,,[peng-:pe-] + <matah> + -an,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93186.2,v,,[peng-:pe-] + <patah> + -an,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93186.3,x,,[peng-:pe-] + <matahan>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93186.4,x,,[peng-:pe-] + <patahan>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93186.5,x,,pe- + <matah> + -an,bentukan,[96] pe- + (<all>) + (-an)
93186.6,x,,pe- + <matahan>,bentukan,[96] pe- + (<all>) + (-an)
93186.7,x,,<pematah> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
93187,k,112,pematang,dasar,
93187.1,x,,[peng-:pe-] + <matang>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93187.2,x,,[peng-:pe-] + <patang>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93187.3,x,,pe- + <matang>,bentukan,[96] pe- + (<all>) + (-an)
,,,,,
93188,k,0,pematang alga,dasar,
93188.1,x,,[peng-:pe-] + <matang alga>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93188.2,x,,[peng-:pe-] + <patang alga>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93188.3,x,,pe- + <matang alga>,bentukan,[96] pe- + (<all>) + (-an)
,,,,,
93189,k,0,pematang jalan,dasar,
93189.1,x,,[peng-:pe-] + <matang jal> + -an,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93189.2,x,,[peng-:pe-] + <patang jal> + -an,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93189.3,x,,[peng-:pe-] + <matang jalan>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93189.4,x,,[peng-:pe-] + <patang jalan>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93189.5,x,,pe- + <matang jal> + -an,bentukan,[96] pe- + (<all>) + (-an)
93189.6,x,,pe- + <matang jalan>,bentukan,[96] pe- + (<all>) + (-an)
93189.7,x,,<pematang jal> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
93190,k,0,pematang lebuh,dasar,
93190.1,x,,[peng-:pe-] + <matang lebuh>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93190.2,x,,[peng-:pe-] + <patang lebuh>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93190.3,x,,pe- + <matang lebuh>,bentukan,[96] pe- + (<all>) + (-an)
,,,,,
93191,k,0,pematang sawah,dasar,
93191.1,x,,[peng-:pe-] + <matang sawah>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93191.2,x,,[peng-:pe-] + <patang sawah>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93191.3,x,,pe- + <matang sawah>,bentukan,[96] pe- + (<all>) + (-an)
,,,,,
93192,k,0,pematang siantar,dasar,
93192.1,x,,[peng-:pe-] + <matang siantar>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93192.2,x,,[peng-:pe-] + <patang siantar>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93192.3,x,,pe- + <matang siantar>,bentukan,[96] pe- + (<all>) + (-an)
,,,,,
93193,v,3,pematang-pematang,dasar,
93193.1,v,,<pematang> [-] <r>,bentukan,[23] [RD] |
93193.2,x,,[peng-:pe-] + <matang> [-] [peng-:pe-] + <r>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an) => [23] [RD] |
93193.3,x,,[peng-:pe-] + <patang> [-] [peng-:pe-] + <r>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an) => [23] [RD] |
93193.4,x,,pe- + <matang> [-] pe- + <r>,bentukan,[96] pe- + (<all>) + (-an) => [23] [RD] |
,,,,,
93194,k,66,pematangan,dasar,
93194.1,x,,[peng-:pe-] + <matang> + -an,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93194.2,x,,[peng-:pe-] + <patang> + -an,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93194.3,x,,[peng-:pe-] + <matangan>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93194.4,x,,[peng-:pe-] + <patangan>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93194.5,v,,pe- + <matang> + -an,bentukan,[96] pe- + (<all>) + (-an)
93194.6,x,,pe- + <matangan>,bentukan,[96] pe- + (<all>) + (-an)
93194.7,x,,<pematang> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
93195,x,2,pematangsawah,dasar,pematang sawah
93195.1,x,,[peng-:pe-] + <matangsawah>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93195.2,x,,[peng-:pe-] + <patangsawah>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93195.3,x,,pe- + <matangsawah>,bentukan,[96] pe- + (<all>) + (-an)
,,,,,
93196,t,11,pematangsiantar,dasar,Pematang Siantar
93196.1,x,,[peng-:pe-] + <matangsiantar>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93196.2,x,,[peng-:pe-] + <patangsiantar>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93196.3,x,,pe- + <matangsiantar>,bentukan,[96] pe- + (<all>) + (-an)
,,,,,
93197,v,42,pemateri,dasar,
93197.1,v,,[peng-:pe-] + <materi>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93197.2,x,,[peng-:pe-] + <pateri>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93197.3,x,,pe- + <materi>,bentukan,[96] pe- + (<all>) + (-an)
93197.4,x,,<pemater> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
93198,k,0,pemati,dasar,
93198.1,v,,[peng-:pe-] + <mati>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93198.2,x,,[peng-:pe-] + <pati>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93198.3,x,,pe- + <mati>,bentukan,[96] pe- + (<all>) + (-an)
93198.4,x,,<pemat> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
93199,k,0,pematian,dasar,
93199.1,x,,[peng-:pe-] + <mati> + -an,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93199.2,x,,[peng-:pe-] + <pati> + -an,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
93199.3,x,,[peng-:pe-] + <matian>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
