Nomor,KP,Jumlah,Entri,Tipe,Pembentukan
27471,v,37,dikocok,dasar,
27471.1,v,,di- + <kocok>,bentukan,[37] di- + (<all>) + (-i;-kan)
,,,,,
27472,v,2,dikocoknya,dasar,
27472.1,x,,di- + <kocoknya>,bentukan,[37] di- + (<all>) + (-i;-kan)
27472.2,x,,<dikocok> + -nya,bentukan,[34] [SFS] -nya + (<all>)
27472.3,v,,di- + <kocok> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>)
,,,,,
27473,v,11,dikode,dasar,
27473.1,v,,di- + <kode>,bentukan,[37] di- + (<all>) + (-i;-kan)
,,,,,
27474,v,8,dikodekan,dasar,
27474.1,v,,di- + <kode> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan)
27474.2,x,,di- + <kodekan>,bentukan,[37] di- + (<all>) + (-i;-kan)
27474.3,x,,<dikode> + -kan,bentukan,[29] [S] -kan + (<all>)
27474.4,x,,<dikodek> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
27475,v,10,dikodifikasi,dasar,
27475.1,x,,di- + <kodifikas> + -i,bentukan,[37] di- + (<all>) + (-i;-kan)
27475.2,v,,di- + <kodifikasi>,bentukan,[37] di- + (<all>) + (-i;-kan)
27475.3,x,,<dikodifikas> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
27476,v,4,dikodifikasikan,dasar,
27476.1,v,,di- + <kodifikasi> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan)
27476.2,x,,di- + <kodifikasikan>,bentukan,[37] di- + (<all>) + (-i;-kan)
27476.3,x,,<dikodifikasi> + -kan,bentukan,[29] [S] -kan + (<all>)
27476.4,x,,<dikodifikasik> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
27477,x,5,dikoding,dasar,
27477.1,x,,di- + <koding>,bentukan,[37] di- + (<all>) + (-i;-kan)
,,,,,
27478,v,7,dikodratkan,dasar,
27478.1,v,,di- + <kodrat> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan)
27478.2,x,,di- + <kodratkan>,bentukan,[37] di- + (<all>) + (-i;-kan)
27478.3,x,,<dikodrat> + -kan,bentukan,[29] [S] -kan + (<all>)
27478.4,x,,<dikodratk> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
27479,v,3,dikokang,dasar,
27479.1,v,,di- + <kokang>,bentukan,[37] di- + (<all>) + (-i;-kan)
,,,,,
27480,v,7,dikokohkan,dasar,
27480.1,v,,di- + <kokoh> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan)
27480.2,x,,di- + <kokohkan>,bentukan,[37] di- + (<all>) + (-i;-kan)
27480.3,x,,<dikokoh> + -kan,bentukan,[29] [S] -kan + (<all>)
27480.4,x,,<dikokohk> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
27481,v,20,dikolaborasikan,dasar,
27481.1,v,,di- + <kolaborasi> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan)
27481.2,x,,di- + <kolaborasikan>,bentukan,[37] di- + (<all>) + (-i;-kan)
27481.3,x,,<dikolaborasi> + -kan,bentukan,[29] [S] -kan + (<all>)
