Nomor,KP,Jumlah,Entri,Tipe,Pembentukan
100482,v,3,periodisitas,dasar,
100482.1,x,,[peng-:pe-] + <riodisitas>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
100482.2,x,,[per-:pe-] + <riodisitas>,bentukan,[17] per- + (r) + (-an)
100482.3,x,,per- + <iodisitas>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100482.4,x,,pe- + <riodisitas>,bentukan,[96] pe- + (<all>) + (-an)
100482.5,x,,<periodis> + -itas,bentukan,[205] [S] -itas + (<others>)
,,,,,
100483,k,0,periodonsia,dasar,
100483.1,x,,[peng-:pe-] + <riodonsia>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
100483.2,x,,[per-:pe-] + <riodonsia>,bentukan,[17] per- + (r) + (-an)
100483.3,x,,per- + <iodonsia>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100483.4,x,,pe- + <riodonsia>,bentukan,[96] pe- + (<all>) + (-an)
,,,,,
100484,k,5,periodontal,dasar,
100484.1,x,,[peng-:pe-] + <riodontal>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
100484.2,x,,[per-:pe-] + <riodontal>,bentukan,[17] per- + (r) + (-an)
100484.3,x,,per- + <iodontal>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100484.4,x,,pe- + <riodontal>,bentukan,[96] pe- + (<all>) + (-an)
,,,,,
100485,v,2,periodontik,dasar,
100485.1,x,,[peng-:pe-] + <riodontik>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
100485.2,x,,[per-:pe-] + <riodontik>,bentukan,[17] per- + (r) + (-an)
100485.3,x,,per- + <iodontik>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100485.4,x,,pe- + <riodontik>,bentukan,[96] pe- + (<all>) + (-an)
,,,,,
100486,k,0,periodontika,dasar,
100486.1,x,,[peng-:pe-] + <riodontika>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
100486.2,x,,[per-:pe-] + <riodontika>,bentukan,[17] per- + (r) + (-an)
100486.3,x,,per- + <iodontika>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100486.4,x,,pe- + <riodontika>,bentukan,[96] pe- + (<all>) + (-an)
,,,,,
100487,k,0,periodontis,dasar,
100487.1,x,,[peng-:pe-] + <riodontis>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
100487.2,x,,[per-:pe-] + <riodontis>,bentukan,[17] per- + (r) + (-an)
100487.3,x,,per- + <iodontis>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100487.4,x,,pe- + <riodontis>,bentukan,[96] pe- + (<all>) + (-an)
100487.5,x,,<periodonti> + [-is:-s],bentukan,[177] [S] -is + (i)
100487.6,x,,<periodont> + -is,bentukan,[178] [S] -is + (<others>)
,,,,,
100488,k,3,periodontitis,dasar,
100488.1,x,,[peng-:pe-] + <riodontitis>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
100488.2,x,,[per-:pe-] + <riodontitis>,bentukan,[17] per- + (r) + (-an)
100488.3,x,,per- + <iodontitis>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100488.4,x,,pe- + <riodontitis>,bentukan,[96] pe- + (<all>) + (-an)
100488.5,x,,<periodontiti> + [-is:-s],bentukan,[177] [S] -is + (i)
100488.6,x,,<periodontit> + -is,bentukan,[178] [S] -is + (<others>)
,,,,,
100489,k,0,periodontium,dasar,
100489.1,x,,[peng-:pe-] + <riodontium>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
100489.2,x,,[per-:pe-] + <riodontium>,bentukan,[17] per- + (r) + (-an)
100489.3,x,,per- + <iodontium>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100489.4,x,,pe- + <riodontium>,bentukan,[96] pe- + (<all>) + (-an)
,,,,,
100490,v,10,perioperatif,dasar,
100490.1,x,,[peng-:pe-] + <rioperatif>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
100490.2,x,,[per-:pe-] + <rioperatif>,bentukan,[17] per- + (r) + (-an)
100490.3,x,,per- + <ioperatif>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100490.4,x,,pe- + <rioperatif>,bentukan,[96] pe- + (<all>) + (-an)
,,,,,
100491,k,0,periorbita,dasar,
100491.1,x,,[peng-:pe-] + <riorbita>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
100491.2,x,,[per-:pe-] + <riorbita>,bentukan,[17] per- + (r) + (-an)
100491.3,x,,per- + <iorbita>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100491.4,x,,pe- + <riorbita>,bentukan,[96] pe- + (<all>) + (-an)
,,,,,
100492,t,3,perioritas,dasar,prioritas
100492.1,x,,[peng-:pe-] + <rioritas>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
100492.2,x,,[per-:pe-] + <rioritas>,bentukan,[17] per- + (r) + (-an)
100492.3,x,,per- + <ioritas>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100492.4,x,,pe- + <rioritas>,bentukan,[96] pe- + (<all>) + (-an)
100492.5,x,,<perior> + -itas,bentukan,[205] [S] -itas + (<others>)
,,,,,
100493,k,0,periosteum,dasar,
100493.1,x,,[peng-:pe-] + <riosteum>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
100493.2,x,,[per-:pe-] + <riosteum>,bentukan,[17] per- + (r) + (-an)
100493.3,x,,per- + <iosteum>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100493.4,x,,pe- + <riosteum>,bentukan,[96] pe- + (<all>) + (-an)
,,,,,
100494,k,0,periparan,dasar,
100494.1,x,,[peng-:pe-] + <ripar> + -an,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
100494.2,x,,[peng-:pe-] + <riparan>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
100494.3,x,,[per-:pe-] + <ripar> + -an,bentukan,[17] per- + (r) + (-an)
100494.4,x,,[per-:pe-] + <riparan>,bentukan,[17] per- + (r) + (-an)
100494.5,v,,per- + <ipar> + -an,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100494.6,x,,per- + <iparan>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100494.7,x,,pe- + <ripar> + -an,bentukan,[96] pe- + (<all>) + (-an)
100494.8,x,,pe- + <riparan>,bentukan,[96] pe- + (<all>) + (-an)
100494.9,x,,<peripar> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
100495,v,2,periplasma,dasar,
100495.1,x,,[peng-:pe-] + <riplasma>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
100495.2,x,,[per-:pe-] + <riplasma>,bentukan,[17] per- + (r) + (-an)
100495.3,x,,per- + <iplasma>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100495.4,x,,pe- + <riplasma>,bentukan,[96] pe- + (<all>) + (-an)
,,,,,
100496,k,0,perirana,dasar,
100496.1,x,,[peng-:pe-] + <rirana>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
100496.2,x,,[per-:pe-] + <rirana>,bentukan,[17] per- + (r) + (-an)
100496.3,x,,per- + <irana>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100496.4,x,,pe- + <rirana>,bentukan,[96] pe- + (<all>) + (-an)
,,,,,
100497,k,6,perisa,dasar,
100497.1,x,,[peng-:pe-] + <risa>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
100497.2,x,,[per-:pe-] + <risa>,bentukan,[17] per- + (r) + (-an)
100497.3,x,,per- + <isa>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100497.4,x,,pe- + <risa>,bentukan,[96] pe- + (<all>) + (-an)
,,,,,
100498,k,66,perisai,dasar,
100498.1,x,,[peng-:pe-] + <risai>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
100498.2,x,,[per-:pe-] + <risai>,bentukan,[17] per- + (r) + (-an)
100498.3,x,,per- + <isa> + -i,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100498.4,x,,per- + <isai>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100498.5,x,,pe- + <risai>,bentukan,[96] pe- + (<all>) + (-an)
100498.6,x,,<perisa> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
100499,k,0,perisai awan,dasar,
100499.1,x,,[peng-:pe-] + <risai aw> + -an,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
100499.2,x,,[peng-:pe-] + <risai awan>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
100499.3,x,,[per-:pe-] + <risai aw> + -an,bentukan,[17] per- + (r) + (-an)
100499.4,x,,[per-:pe-] + <risai awan>,bentukan,[17] per- + (r) + (-an)
100499.5,x,,per- + <isai aw> + -an,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100499.6,x,,per- + <isai awan>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100499.7,x,,pe- + <risai aw> + -an,bentukan,[96] pe- + (<all>) + (-an)
100499.8,x,,pe- + <risai awan>,bentukan,[96] pe- + (<all>) + (-an)
100499.9,x,,<perisai aw> + -an,bentukan,[38] [S] -an + (<all>)
100499.1,x,,<perisai a> + -wan,bentukan,[180] [S] -wan + (<others>)
100499.11,x,,<perisai > + [-wan:-awan],bentukan,[18000001] [S] -wan + (<all>)
,,,,,
100500,k,0,perisai biologis,dasar,
100500.1,x,,[peng-:pe-] + <risai biologis>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
100500.2,x,,[per-:pe-] + <risai biologis>,bentukan,[17] per- + (r) + (-an)
100500.3,x,,per- + <isai biologis>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100500.4,x,,pe- + <risai biologis>,bentukan,[96] pe- + (<all>) + (-an)
100500.5,x,,<perisai biologi> + [-is:-s],bentukan,[177] [S] -is + (i)
100500.6,x,,<perisai biolog> + -is,bentukan,[178] [S] -is + (<others>)
100500.7,x,,<perisai bio> + -logi+-s,bentukan,[194] [MS] -logi+-s + (<all>)
,,,,,
100501,k,0,perisai daud,dasar,
100501.1,x,,[peng-:pe-] + <risai daud>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
100501.2,x,,[per-:pe-] + <risai daud>,bentukan,[17] per- + (r) + (-an)
100501.3,x,,per- + <isai daud>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100501.4,x,,pe- + <risai daud>,bentukan,[96] pe- + (<all>) + (-an)
,,,,,
100502,k,0,perisai halang,dasar,
100502.1,x,,[peng-:pe-] + <risai halang>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
100502.2,x,,[per-:pe-] + <risai halang>,bentukan,[17] per- + (r) + (-an)
100502.3,x,,per- + <isai halang>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100502.4,x,,pe- + <risai halang>,bentukan,[96] pe- + (<all>) + (-an)
,,,,,
100503,k,0,perisai mata,dasar,
100503.1,x,,[peng-:pe-] + <risai mata>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
100503.2,x,,[per-:pe-] + <risai mata>,bentukan,[17] per- + (r) + (-an)
100503.3,x,,per- + <isai mata>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100503.4,x,,pe- + <risai mata>,bentukan,[96] pe- + (<all>) + (-an)
,,,,,
100504,k,0,perisak,dasar,
100504.1,x,,[peng-:pe-] + <risak>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
100504.2,x,,[per-:pe-] + <risak>,bentukan,[17] per- + (r) + (-an)
100504.3,x,,per- + <isak>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100504.4,v,,pe- + <risak>,bentukan,[96] pe- + (<all>) + (-an)
,,,,,
100505,k,6,perisakan,dasar,
100505.1,v,,[peng-:pe-] + <risak> + -an,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
100505.2,x,,[peng-:pe-] + <risakan>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
100505.3,x,,[per-:pe-] + <risak> + -an,bentukan,[17] per- + (r) + (-an)
100505.4,x,,[per-:pe-] + <risakan>,bentukan,[17] per- + (r) + (-an)
100505.5,x,,per- + <isak> + -an,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100505.6,x,,per- + <isa> + -kan,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100505.7,x,,per- + <isakan>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100505.8,v,,pe- + <risak> + -an,bentukan,[96] pe- + (<all>) + (-an)
100505.9,x,,pe- + <risakan>,bentukan,[96] pe- + (<all>) + (-an)
100505.1,x,,<perisa> + -kan,bentukan,[29] [S] -kan + (<all>)
100505.11,x,,<perisak> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
100506,k,0,perisalah,dasar,
100506.1,x,,[peng-:pe-] + <risalah>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
100506.2,x,,[per-:pe-] + <risalah>,bentukan,[17] per- + (r) + (-an)
100506.3,x,,per- + <isalah>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100506.4,v,,pe- + <risalah>,bentukan,[96] pe- + (<all>) + (-an)
100506.5,x,,<perisa> + -lah,bentukan,[31] [FS] -lah + (<all>)
100506.6,x,,[peng-:pe-] + <risa> + -lah,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an) => [31] [FS] -lah + (<all>)
100506.7,x,,[per-:pe-] + <risa> + -lah,bentukan,[17] per- + (r) + (-an) => [31] [FS] -lah + (<all>)
100506.8,x,,per- + <isa> + -lah,bentukan,[19] per- + (<others>) + (-i;-an;-kan) => [31] [FS] -lah + (<all>)
100506.9,x,,pe- + <risa> + -lah,bentukan,[96] pe- + (<all>) + (-an) => [31] [FS] -lah + (<all>)
,,,,,
100507,k,0,perisau,dasar,
100507.1,x,,[peng-:pe-] + <risau>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
100507.2,x,,[per-:pe-] + <risau>,bentukan,[17] per- + (r) + (-an)
100507.3,x,,per- + <isau>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100507.4,v,,pe- + <risau>,bentukan,[96] pe- + (<all>) + (-an)
,,,,,
100508,k,29,periset,dasar,
100508.1,x,,[peng-:pe-] + <riset>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
100508.2,x,,[per-:pe-] + <riset>,bentukan,[17] per- + (r) + (-an)
100508.3,x,,per- + <iset>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
