Nomor,KP,Jumlah,Entri,Tipe,Pembentukan
132898,k,0,vinyet,dasar,
,,,,,
132899,k,0,viol,dasar,
,,,,,
132900,k,10,viola,dasar,
,,,,,
132901,k,0,violces,dasar,
,,,,,
132902,k,45,violet,dasar,
,,,,,
132903,k,6,violin,dasar,
,,,,,
132904,k,0,violinis,dasar,
132904.1,x,,<violini> + [-is:-s],bentukan,[177] [S] -is + (i)
132904.2,v,,<violin> + -is,bentukan,[178] [S] -is + (<others>)
,,,,,
132905,k,0,violis,dasar,
132905.1,x,,<violi> + [-is:-s],bentukan,[177] [S] -is + (i)
132905.2,x,,<viol> + -is,bentukan,[178] [S] -is + (<others>)
,,,,,
132906,k,0,viosterol,dasar,
132906.1,x,,<vio> + -sterol,bentukan,[208] [S] -sterol + (<all>)
,,,,,
132907,k,3,viper,dasar,
,,,,,
132908,k,0,virago,dasar,
,,,,,
132909,k,265,viral,dasar,
,,,,,
132910,v,4,viralkan,dasar,
132910.1,v,,<viral> + -kan,bentukan,[29] [S] -kan + (<all>)
132910.2,x,,<viralk> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
132911,v,9,viralnya,dasar,
132911.1,v,,<viral> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
132912,k,0,virga,dasar,
,,,,,
132913,k,65,virginia,dasar,
,,,,,
132914,k,0,virginipar,dasar,
,,,,,
132915,k,0,virginitas,dasar,
132915.1,v,,<virgin> + -itas,bentukan,[205] [S] -itas + (<others>)
,,,,,
132916,k,0,virginitifobia,dasar,
132916.1,x,,<virginiti> + -fobia,bentukan,[107] [S] -fobia + (<all>)
,,,,,
132917,k,15,virgo,dasar,
,,,,,
132918,k,0,virilis,dasar,
132918.1,x,,<virili> + [-is:-s],bentukan,[177] [S] -is + (i)
132918.2,x,,<viril> + -is,bentukan,[178] [S] -is + (<others>)
,,,,,
132919,k,0,virilisme,dasar,
132919.1,x,,<viril> + -isme,bentukan,[89] [S] -isme + (<all>)
,,,,,
132920,k,2,virilitas,dasar,
132920.1,x,,<viril> + -itas,bentukan,[205] [S] -itas + (<others>)
,,,,,
132921,k,0,virilokal,dasar,
,,,,,
132922,k,0,virion,dasar,
,,,,,
132923,k,0,virisida,dasar,
,,,,,
132924,k,0,viristatik,dasar,
,,,,,
132925,k,0,virogen,dasar,
,,,,,
132926,k,3,viroid,dasar,
132926.1,x,,<vir> + -oid,bentukan,[209] [S] -oid + (<all>)
,,,,,
132927,v,5,virolog,dasar,
,,,,,
132928,k,24,virologi,dasar,
132928.1,x,,<virolog> + -i,bentukan,[28] [S] -i + (<all>)
132928.2,x,,<viro> + -logi,bentukan,[190] [S] -logi + (<all>)
,,,,,
132929,k,0,viropeksis,dasar,
132929.1,x,,<viropeksi> + [-is:-s],bentukan,[177] [S] -is + (i)
132929.2,x,,<viropeks> + -is,bentukan,[178] [S] -is + (<others>)
,,,,,
132930,k,0,virosis,dasar,
132930.1,x,,<virosi> + [-is:-s],bentukan,[177] [S] -is + (i)
132930.2,x,,<viros> + -is,bentukan,[178] [S] -is + (<others>)
,,,,,
132931,k,636,virtual,dasar,
,,,,,
132932,k,0,virtualisasi,dasar,
132932.1,x,,<virtualisas> + -i,bentukan,[28] [S] -i + (<all>)
132932.2,x,,<virtuali> + [-isasi:-sasi],bentukan,[166] [S] -isasi + (i)
132932.3,x,,<virtualis> + [-isasi:-asi],bentukan,[167] [S] -isasi + (is)
132932.4,v,,<virtual> + -isasi,bentukan,[169] [S] -isasi + (<others>)
,,,,,
132933,k,2,virtualitas,dasar,
132933.1,v,,<virtual> + -itas,bentukan,[205] [S] -itas + (<others>)
,,,,,
132934,k,3,virtuoso,dasar,
,,,,,
132935,k,8,virulen,dasar,
,,,,,
132936,k,25,virulensi,dasar,
132936.1,x,,<virulens> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
132937,v,2,virulensinya,dasar,
132937.1,v,,<virulensi> + -nya,bentukan,[34] [SFS] -nya + (<all>)
132937.2,x,,<virulens> + -i + -nya,bentukan,[28] [S] -i + (<all>) => [34] [SFS] -nya + (<all>)
,,,,,
132938,k,1665,virus,dasar,
,,,,,
132939,k,0,virus flu burung,dasar,
,,,,,
132940,k,0,virus korona,dasar,
,,,,,
132941,k,0,virus mosaik,dasar,
,,,,,
132942,k,0,virus utuh,dasar,
,,,,,
132943,v,21,virus-virus,dasar,
132943.1,v,,<virus> [-] <r>,bentukan,[23] [RD] |
,,,,,
132944,k,0,virusidal,dasar,
,,,,,
132945,v,35,virusnya,dasar,
132945.1,v,,<virus> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
132946,k,222,visa,dasar,
,,,,,
132947,k,0,visa dinas,dasar,
,,,,,
132948,k,0,visa diplomatik,dasar,
,,,,,
132949,k,0,visa ganda,dasar,
132949.1,x,,<visa ga> + [-anda:-nda],bentukan,[183] [S] -anda + (i;u;a;[k:])
132949.2,x,,<visa gan> + [-anda:-da],bentukan,[184] [S] -anda + (an)
132949.3,x,,<visa g> + -anda,bentukan,[185] [S] -anda + (<others>)
,,,,,
132950,k,0,visa kunjungan,dasar,
132950.1,x,,<visa kunjung> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
132951,k,0,visa masuk,dasar,
,,,,,
132952,k,0,visa tinggal terbatas,dasar,
,,,,,
132953,k,0,visa transit,dasar,
,,,,,
132954,k,0,visa turis,dasar,
132954.1,x,,<visa turi> + [-is:-s],bentukan,[177] [S] -is + (i)
132954.2,x,,<visa tur> + -is,bentukan,[178] [S] -is + (<others>)
,,,,,
132955,k,0,visa wisatawan,dasar,
132955.1,x,,<visa wisataw> + -an,bentukan,[38] [S] -an + (<all>)
132955.2,x,,<visa wisata> + -wan,bentukan,[180] [S] -wan + (<others>)
132955.3,x,,<visa wisat> + [-wan:-awan],bentukan,[18000001] [S] -wan + (<all>)
,,,,,
132956,v,14,visanya,dasar,
132956.1,v,,<visa> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
132957,k,0,visera,dasar,
,,,,,
132958,k,1078,visi,dasar,
132958.1,x,,<vis> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
