Nomor,KP,Jumlah,Entri,Tipe,Pembentukan,
28455,v,68,dipadamkan,dasar,,
28455.1,v,,di- + <padam> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
28455.2,x,,di- + <padamkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
28455.3,x,,<dipadam> + -kan,bentukan,[29] [S] -kan + (<all>),
28455.4,x,,<dipadamk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
28456,v,27,dipadankan,dasar,,
28456.1,v,,di- + <padan> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
28456.2,x,,di- + <padankan>,bentukan,[37] di- + (<all>) + (-i;-kan),
28456.3,x,,<dipadan> + -kan,bentukan,[29] [S] -kan + (<all>),
28456.4,x,,<dipadank> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
28457,v,90,dipadati,dasar,,
28457.1,v,,di- + <padat> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
28457.2,x,,di- + <padati>,bentukan,[37] di- + (<all>) + (-i;-kan),
28457.3,x,,<dipadat> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
28458,v,31,dipadatkan,dasar,,
28458.1,v,,di- + <padat> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
28458.2,x,,di- + <padatkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
28458.3,x,,<dipadat> + -kan,bentukan,[29] [S] -kan + (<all>),
28458.4,x,,<dipadatk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
28459,v,124,dipadu,dasar,,
28459.1,v,,di- + <padu>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
28460,t,3,dipadu-padankan,dasar,dipadupadankan,
,,,,,,
28461,v,240,dipadukan,dasar,,
28461.1,v,,di- + <padu> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
28461.2,x,,di- + <padukan>,bentukan,[37] di- + (<all>) + (-i;-kan),
28461.3,x,,<dipadu> + -kan,bentukan,[29] [S] -kan + (<all>),
28461.4,x,,<dipaduk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
28462,v,2,dipadukannya,dasar,,
28462.1,x,,di- + <padukannya>,bentukan,[37] di- + (<all>) + (-i;-kan),
28462.2,x,,<dipadukan> + -nya,bentukan,[34] [SFS] -nya + (<all>),
28462.3,v,,di- + <padu> + -kan + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
28462.4,x,,di- + <padukan> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
28462.5,x,,<dipadu> + -kan + -nya,bentukan,[29] [S] -kan + (<all>) => [34] [SFS] -nya + (<all>),
28462.6,x,,<dipaduk> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>),
,,,,,,
28463,v,16,dipadupadankan,dasar,,
28463.1,v,,di- + <padupadan> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
28463.2,x,,di- + <padupadankan>,bentukan,[37] di- + (<all>) + (-i;-kan),
28463.3,x,,<dipadupadan> + -kan,bentukan,[29] [S] -kan + (<all>),
28463.4,x,,<dipadupadank> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
28464,v,4,dipagar,dasar,,
28464.1,v,,di- + <pagar>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
28465,v,42,dipagari,dasar,,
28465.1,v,,di- + <pagar> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
28465.2,x,,di- + <pagari>,bentukan,[37] di- + (<all>) + (-i;-kan),
28465.3,x,,<dipagar> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
28466,v,3,dipagut,dasar,,
