Nomor,KP,Jumlah,Entri,Tipe,Pembentukan,
27010.1,x,,di- + <isapnya>,bentukan,[37] di- + (<all>) + (-i;-kan),
27010.2,x,,<diisap> + -nya,bentukan,[34] [SFS] -nya + (<all>),
27010.3,v,,di- + <isap> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
,,,,,,
27011,v,1288,diisi,dasar,,
27011.1,x,,di- + <is> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
27011.2,v,,di- + <isi>,bentukan,[37] di- + (<all>) + (-i;-kan),
27011.3,x,,<diis> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
27012,v,37,diisikan,dasar,,
27012.1,v,,di- + <isi> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27012.2,x,,di- + <isikan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27012.3,x,,<diisi> + -kan,bentukan,[29] [S] -kan + (<all>),
27012.4,x,,<diisik> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27013,v,8,diisinya,dasar,,
27013.1,x,,di- + <isinya>,bentukan,[37] di- + (<all>) + (-i;-kan),
27013.2,x,,<diisi> + -nya,bentukan,[34] [SFS] -nya + (<all>),
27013.3,x,,di- + <is> + -i + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
27013.4,v,,di- + <isi> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
27013.5,x,,<diis> + -i + -nya,bentukan,[28] [S] -i + (<all>) => [34] [SFS] -nya + (<all>),
,,,,,,
27014,v,8,diislamkan,dasar,,
27014.1,v,,di- + <islam> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27014.2,x,,di- + <islamkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27014.3,x,,<diislam> + -kan,bentukan,[29] [S] -kan + (<all>),
27014.4,x,,<diislamk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27015,v,148,diisolasi,dasar,,
27015.1,x,,di- + <isolas> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
27015.2,v,,di- + <isolasi>,bentukan,[37] di- + (<all>) + (-i;-kan),
27015.3,x,,<diisolas> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
27016,t,4,diisolir,dasar,diisolasi,
27016.1,x,,di- + <isolir>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
27017,v,2,diistikmalkan,dasar,,
27017.1,v,,di- + <istikmal> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27017.2,x,,di- + <istikmalkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27017.3,x,,<diistikmal> + -kan,bentukan,[29] [S] -kan + (<all>),
27017.4,x,,<diistikmalk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27018,v,80,diistilahkan,dasar,,
27018.1,v,,di- + <istilah> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27018.2,x,,di- + <istilahkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27018.3,x,,<diistilah> + -kan,bentukan,[29] [S] -kan + (<all>),
27018.4,x,,<diistilahk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27019,v,18,diistimewakan,dasar,,
27019.1,v,,di- + <istimewa> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27019.2,x,,di- + <istimewakan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27019.3,x,,<diistimewa> + -kan,bentukan,[29] [S] -kan + (<all>),
27019.4,x,,<diistimewak> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27020,v,25,diistirahatkan,dasar,,
27020.1,v,,di- + <istirahat> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27020.2,x,,di- + <istirahatkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27020.3,x,,<diistirahat> + -kan,bentukan,[29] [S] -kan + (<all>),
27020.4,x,,<diistirahatk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27021,v,26,diisukan,dasar,,
27021.1,v,,di- + <isu> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27021.2,x,,di- + <isukan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27021.3,x,,<diisu> + -kan,bentukan,[29] [S] -kan + (<all>),
27021.4,x,,<diisuk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27022,v,26,diisyaratkan,dasar,,
27022.1,v,,di- + <isyarat> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27022.2,x,,di- + <isyaratkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27022.3,x,,<diisyarat> + -kan,bentukan,[29] [S] -kan + (<all>),
27022.4,x,,<diisyaratk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27023,v,2,diisyaratkannya,dasar,,
27023.1,x,,di- + <isyaratkannya>,bentukan,[37] di- + (<all>) + (-i;-kan),
27023.2,x,,<diisyaratkan> + -nya,bentukan,[34] [SFS] -nya + (<all>),
27023.3,v,,di- + <isyarat> + -kan + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
27023.4,x,,di- + <isyaratkan> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
27023.5,x,,<diisyarat> + -kan + -nya,bentukan,[29] [S] -kan + (<all>) => [34] [SFS] -nya + (<all>),
27023.6,x,,<diisyaratk> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>),
,,,,,,
27024,t,3,diitung,dasar,dihitung,
27024.1,x,,di- + <itung>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
27025,v,17,diiyakan,dasar,,
27025.1,v,,di- + <iya> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27025.2,x,,di- + <iyakan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27025.3,x,,<diiya> + -kan,bentukan,[29] [S] -kan + (<all>),
27025.4,x,,<diiyak> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27026,d,0,diizin,dasar,,
27026.1,v,,di- + <izin>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
27027,v,509,diizinkan,dasar,,
27027.1,v,,di- + <izin> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27027.2,x,,di- + <izinkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27027.3,x,,<diizin> + -kan,bentukan,[29] [S] -kan + (<all>),
27027.4,x,,<diizink> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27028,v,12,diizinkannya,dasar,,
27028.1,x,,di- + <izinkannya>,bentukan,[37] di- + (<all>) + (-i;-kan),
27028.2,x,,<diizinkan> + -nya,bentukan,[34] [SFS] -nya + (<all>),
27028.3,v,,di- + <izin> + -kan + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
27028.4,x,,di- + <izinkan> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
