Nomor,KP,Jumlah,Entri,Tipe,Pembentukan
14808,k,0,berlena,dasar,
14808.1,v,,ber- + <lena>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
14809,k,0,berlena-lena,dasar,
14809.1,v,,ber- + <lena> [-] <r>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya) => [27] [RD] ber-|
,,,,,
14810,k,12,berlendir,dasar,
14810.1,v,,ber- + <lendir>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
14811,k,0,berlengah-lengah,dasar,
14811.1,v,,ber- + <lengah> [-] <r>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya) => [27] [RD] ber-|
,,,,,
14812,k,33,berlengan,dasar,
14812.1,x,,ber- + <leng> + -an,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
14812.2,v,,ber- + <lengan>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
14812.3,x,,<berleng> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
14813,k,14,berlenggak-lenggok,dasar,
14813.1,x,,<[lenggok:berlenggak-lenggok]>,bentukan,[Reduplication-Others]
14813.2,v,,ber- + <[lenggok:lenggak-lenggok]>,bentukan,[Reduplication-Rhyming] => [16] ber- + (<others>) + (-kan;-i;-an;-nya) => [27] [RD] ber-|
,,,,,
14814,k,5,berlenggang,dasar,
14814.1,v,,ber- + <lenggang>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
14815,k,0,berlenggek,dasar,
14815.1,v,,ber- + <lenggek>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
14816,k,0,berlenggek-lenggek,dasar,
14816.1,v,,ber- + <lenggek> [-] <r>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya) => [27] [RD] ber-|
,,,,,
14817,v,2,berlenggok-lenggok,dasar,
14817.1,v,,ber- + <lenggok> [-] <r>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya) => [27] [RD] ber-|
,,,,,
14818,k,0,berlengkap,dasar,
14818.1,v,,ber- + <lengkap>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
14819,k,0,berlengkapkan,dasar,
14819.1,v,,ber- + <lengkap> + -kan,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
14819.2,x,,ber- + <lengkapk> + -an,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
14819.3,x,,ber- + <lengkapkan>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
14819.4,x,,<berlengkap> + -kan,bentukan,[29] [S] -kan + (<all>)
14819.5,x,,<berlengkapk> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
14820,k,0,berlengkesa,dasar,
14820.1,v,,ber- + <lengkesa>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
14821,k,0,berlengket,dasar,
14821.1,v,,ber- + <lengket>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
14822,k,0,berlengkok,dasar,
14822.1,v,,ber- + <lengkok>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
14823,k,0,berlengkokan,dasar,
14823.1,x,,ber- + <lengko> + -kan,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
14823.2,v,,ber- + <lengkok> + -an,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
14823.3,x,,ber- + <lengkokan>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
14823.4,x,,<berlengko> + -kan,bentukan,[29] [S] -kan + (<all>)
14823.5,x,,<berlengkok> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
14824,k,0,berlenong,dasar,
14824.1,v,,ber- + <lenong>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
14825,k,4,berlensa,dasar,
14825.1,v,,ber- + <lensa>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
14826,k,0,berlenso,dasar,
14826.1,v,,ber- + <lenso>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
14827,k,0,berlenting,dasar,
14827.1,v,,ber- + <lenting>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
14828,k,12,berlepas,dasar,
14828.1,v,,ber- + <lepas>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
14829,k,0,berlepas diri,dasar,
14829.1,x,,ber- + <lepas dir> + -i,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
14829.2,x,,ber- + <lepas diri>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
14829.3,x,,<berlepas dir> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
14830,k,0,berlepas hati,dasar,
14830.1,x,,ber- + <lepas hat> + -i,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
