Nomor,KP,Jumlah,Entri,Tipe,Pembentukan
118766,k,0,strata satu,dasar,
,,,,,
118767,k,0,strata tiga,dasar,
,,,,,
118768,k,0,strategem,dasar,
,,,,,
118769,k,2647,strategi,dasar,
118769.1,x,,<strateg> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
118770,k,0,strategi gurita,dasar,
,,,,,
118771,k,0,strategi investasi seimbang,dasar,
,,,,,
118772,k,0,strategi kebudayaan,dasar,
118772.1,x,,<strategi kebudaya> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
118773,k,0,strategi komunikasi,dasar,
118773.1,x,,<strategi komunikas> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
118774,k,0,strategi nasional,dasar,
,,,,,
118775,k,0,strategi pemasaran,dasar,
118775.1,x,,<strategi pemasar> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
118776,k,0,strategi pencitraan,dasar,
118776.1,x,,<strategi pencitra> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
118777,k,0,strategi perusahaan,dasar,
118777.1,x,,<strategi perusaha> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
118778,k,0,strategi produk,dasar,
,,,,,
118779,k,0,strategi waktu-nyata,dasar,
,,,,,
118780,v,50,strategi-strategi,dasar,
118780.1,v,,<strategi> [-] <r>,bentukan,[23] [RD] |
118780.2,x,,<strateg> + -i [-] <r> + -i,bentukan,[28] [S] -i + (<all>) => [23] [RD] |
,,,,,
118781,v,6,strategiku,dasar,
118781.1,v,,<strategi> + -ku,bentukan,[32] [SFS] -ku + (<all>)
118781.2,x,,<strateg> + -i + -ku,bentukan,[28] [S] -i + (<all>) => [32] [SFS] -ku + (<all>)
,,,,,
118782,v,83,strateginya,dasar,
118782.1,v,,<strategi> + -nya,bentukan,[34] [SFS] -nya + (<all>)
118782.2,x,,<strateg> + -i + -nya,bentukan,[28] [S] -i + (<all>) => [34] [SFS] -nya + (<all>)
,,,,,
118783,k,2435,strategis,dasar,
118783.1,x,,<strategi> + [-is:-s],bentukan,[177] [S] -is + (i)
118783.2,x,,<strateg> + -is,bentukan,[178] [S] -is + (<others>)
,,,,,
118784,k,46,stratifikasi,dasar,
118784.1,x,,<stratifikas> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
118785,k,0,stratifikasi sosial,dasar,
,,,,,
118786,k,0,stratiformis,dasar,
118786.1,x,,<stratiformi> + [-is:-s],bentukan,[177] [S] -is + (i)
118786.2,x,,<stratiform> + -is,bentukan,[178] [S] -is + (<others>)
,,,,,
118787,k,5,stratigrafi,dasar,
118787.1,x,,<stratigraf> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
118788,k,3,strato,dasar,
,,,,,
118789,k,0,stratokumulus,dasar,
,,,,,
118790,k,0,stratopause,dasar,
118790.1,x,,<strato> + -pause,bentukan,[203] [S] -pause + (<all>)
,,,,,
118791,k,3,stratosfer,dasar,
,,,,,
118792,k,0,stratovolkano,dasar,
,,,,,
118793,k,7,stratum,dasar,
,,,,,
118794,k,0,stratus,dasar,
,,,,,
118795,k,2,streng,dasar,
,,,,,
118796,d,0,streptavisin,dasar,
,,,,,
118797,d,0,streptokinase,dasar,
118797.1,x,,<streptokin> + -ase,bentukan,[210] [S] -ase + (<all>)
,,,,,
118798,k,0,streptokokus,dasar,
,,,,,
118799,k,10,streptomisin,dasar,
,,,,,
118800,d,0,streptozotosin,dasar,
,,,,,
118801,v,2,strerilisasi,dasar,
118801.1,x,,<strerilisas> + -i,bentukan,[28] [S] -i + (<all>)
118801.2,x,,<strerili> + [-isasi:-sasi],bentukan,[166] [S] -isasi + (i)
118801.3,x,,<strerilis> + [-isasi:-asi],bentukan,[167] [S] -isasi + (is)
118801.4,v,,<streril> + -isasi,bentukan,[169] [S] -isasi + (<others>)
,,,,,
118802,k,589,stres,dasar,
,,,,,
118803,k,0,stres air,dasar,
,,,,,
118804,k,0,stres fraktur,dasar,
,,,,,
118805,k,0,stres negatif,dasar,
,,,,,
118806,k,0,stres oksidatif,dasar,
,,,,,
118807,k,0,stres osmotik,dasar,
,,,,,
118808,v,11,stresnya,dasar,
118808.1,v,,<stres> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
118809,k,9,stresor,dasar,
,,,,,
118810,k,0,stresor psikosial,dasar,
,,,,,
118811,k,0,stress,dasar,
,,,,,
118812,k,0,striasi,dasar,
118812.1,x,,<strias> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
118813,k,135,striker,dasar,
,,,,,
118814,k,0,strimin,dasar,
,,,,,
118815,c,52,strip,dasar,setrip
,,,,,
118816,k,0,striptis,dasar,
118816.1,x,,<stripti> + [-is:-s],bentukan,[177] [S] -is + (i)
118816.2,x,,<stript> + -is,bentukan,[178] [S] -is + (<others>)
,,,,,
118817,k,37,stroberi,dasar,
118817.1,x,,<strober> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
118818,v,2,stroberinya,dasar,
118818.1,v,,<stroberi> + -nya,bentukan,[34] [SFS] -nya + (<all>)
118818.2,x,,<strober> + -i + -nya,bentukan,[28] [S] -i + (<all>) => [34] [SFS] -nya + (<all>)
,,,,,
118819,k,0,strobila,dasar,
,,,,,
118820,k,0,strobo,dasar,
,,,,,
118821,k,0,stroboskop,dasar,
,,,,,
118822,k,0,stroboskopik,dasar,
,,,,,
118823,k,9,strok,dasar,
,,,,,
118824,k,0,strok embolik,dasar,
,,,,,
118825,k,0,strok hemoragik,dasar,
,,,,,
118826,k,0,strok ringan,dasar,
118826.1,x,,<strok ring> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
118827,k,0,strok trombotik,dasar,
,,,,,
118828,k,0,stromking,dasar,
,,,,,
118829,k,0,strongking,dasar,
,,,,,
118830,k,0,strontium,dasar,
,,,,,
118831,k,0,strudel,dasar,
,,,,,
118832,c,34,struk,dasar,setruk
,,,,,
118833,k,2320,struktur,dasar,
,,,,,
118834,k,0,struktur batin,dasar,
,,,,,
118835,k,0,struktur fonemis,dasar,
118835.1,x,,<struktur fonemi> + [-is:-s],bentukan,[177] [S] -is + (i)
118835.2,x,,<struktur fonem> + -is,bentukan,[178] [S] -is + (<others>)
,,,,,
118836,k,0,struktur frase,dasar,
118836.1,x,,<struktur fr> + -ase,bentukan,[210] [S] -ase + (<all>)
,,,,,
118837,k,0,struktur koordinatif,dasar,
,,,,,
118838,k,0,struktur lahir,dasar,
,,,,,
118839,k,0,struktur mengetupat,dasar,
,,,,,
118840,k,0,struktur modal,dasar,
,,,,,
118841,k,0,struktur organisasi,dasar,
118841.1,x,,<struktur organisas> + -i,bentukan,[28] [S] -i + (<all>)
118841.2,x,,<struktur organi> + [-isasi:-sasi],bentukan,[166] [S] -isasi + (i)
118841.3,x,,<struktur organis> + [-isasi:-asi],bentukan,[167] [S] -isasi + (is)
118841.4,x,,<struktur orga> + [-isasi:-nisasi],bentukan,[168] [S] -isasi + (a;e;u;o)
118841.5,x,,<struktur organ> + -isasi,bentukan,[169] [S] -isasi + (<others>)
,,,,,
118842,k,0,struktur organisasi berdivisi,dasar,
118842.1,x,,<struktur organisasi berdivis> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
118843,k,0,struktur organisasi fungsional,dasar,
,,,,,
118844,k,0,struktur organisme karangan,dasar,
118844.1,x,,<struktur organisme karang> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
118845,k,0,struktur pasar,dasar,
,,,,,
118846,k,0,struktur semantis,dasar,
118846.1,x,,<struktur semanti> + [-is:-s],bentukan,[177] [S] -is + (i)
118846.2,x,,<struktur semant> + -is,bentukan,[178] [S] -is + (<others>)
,,,,,
118847,k,0,struktur sintaksis,dasar,
118847.1,x,,<struktur sintaksi> + [-is:-s],bentukan,[177] [S] -is + (i)
118847.2,x,,<struktur sintaks> + -is,bentukan,[178] [S] -is + (<others>)
,,,,,
118848,k,0,struktur sosial,dasar,
,,,,,
118849,k,0,struktur tematis,dasar,
118849.1,x,,<struktur temati> + [-is:-s],bentukan,[177] [S] -is + (i)
118849.2,x,,<struktur temat> + -is,bentukan,[178] [S] -is + (<others>)
,,,,,
118850,k,0,struktur tiang,dasar,
,,,,,
118851,k,0,struktur tulang,dasar,
,,,,,
118852,k,0,struktur usia,dasar,
,,,,,
118853,v,32,struktur-struktur,dasar,
118853.1,v,,<struktur> [-] <r>,bentukan,[23] [RD] |
,,,,,
118854,k,729,struktural,dasar,
,,,,,
118855,v,7,strukturalis,dasar,
118855.1,x,,<strukturali> + [-is:-s],bentukan,[177] [S] -is + (i)
118855.2,x,,<struktural> + -is,bentukan,[178] [S] -is + (<others>)
,,,,,
118856,k,0,strukturalisasi,dasar,
118856.1,x,,<strukturalisas> + -i,bentukan,[28] [S] -i + (<all>)
118856.2,x,,<strukturali> + [-isasi:-sasi],bentukan,[166] [S] -isasi + (i)
118856.3,x,,<strukturalis> + [-isasi:-asi],bentukan,[167] [S] -isasi + (is)
118856.4,v,,<struktural> + -isasi,bentukan,[169] [S] -isasi + (<others>)
,,,,,
118857,k,7,strukturalisme,dasar,
118857.1,v,,<struktural> + -isme,bentukan,[89] [S] -isme + (<all>)
,,,,,
118858,d,0,strukturasi,dasar,
118858.1,x,,<strukturas> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
118859,d,0,strukturisasi,dasar,
118859.1,x,,<strukturisas> + -i,bentukan,[28] [S] -i + (<all>)
118859.2,x,,<strukturi> + [-isasi:-sasi],bentukan,[166] [S] -isasi + (i)
118859.3,x,,<strukturis> + [-isasi:-asi],bentukan,[167] [S] -isasi + (is)
118859.4,v,,<struktur> + -isasi,bentukan,[169] [S] -isasi + (<others>)
,,,,,
118860,v,86,strukturnya,dasar,
118860.1,v,,<struktur> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
118861,k,0,struma,dasar,
,,,,,
118862,k,0,studen,dasar,
,,,,,
118863,k,2657,studi,dasar,
118863.1,x,,<stud> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
118864,k,0,studi anak kembar,dasar,
,,,,,
118865,k,0,studi banding,dasar,
,,,,,
118866,k,0,studi kasus,dasar,
,,,,,
118867,k,0,studi kelayakan,dasar,
118867.1,x,,<studi kelaya> + -kan,bentukan,[29] [S] -kan + (<all>)
118867.2,x,,<studi kelayak> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
118868,k,0,studi longitudinal,dasar,
,,,,,
118869,v,40,studi-studi,dasar,
118869.1,v,,<studi> [-] <r>,bentukan,[23] [RD] |
118869.2,x,,<stud> + -i [-] <r> + -i,bentukan,[28] [S] -i + (<all>) => [23] [RD] |
,,,,,
118870,v,4,studiku,dasar,
118870.1,v,,<studi> + -ku,bentukan,[32] [SFS] -ku + (<all>)
118870.2,x,,<stud> + -i + -ku,bentukan,[28] [S] -i + (<all>) => [32] [SFS] -ku + (<all>)
,,,,,
118871,v,3,studimu,dasar,
118871.1,v,,<studi> + -mu,bentukan,[33] [SFS] -mu + (<all>)
118871.2,x,,<stud> + -i + -mu,bentukan,[28] [S] -i + (<all>) => [33] [SFS] -mu + (<all>)
,,,,,
118872,v,180,studinya,dasar,
118872.1,v,,<studi> + -nya,bentukan,[34] [SFS] -nya + (<all>)
118872.2,x,,<stud> + -i + -nya,bentukan,[28] [S] -i + (<all>) => [34] [SFS] -nya + (<all>)
,,,,,
118873,k,271,studio,dasar,
,,,,,
118874,k,0,studio animasi,dasar,
118874.1,x,,<studio animas> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
118875,k,0,studio mobil,dasar,
,,,,,
118876,k,0,studio musik,dasar,
,,,,,
118877,v,12,studio-studio,dasar,
118877.1,v,,<studio> [-] <r>,bentukan,[23] [RD] |
,,,,,
118878,v,3,studioku,dasar,
118878.1,v,,<studio> + -ku,bentukan,[32] [SFS] -ku + (<all>)
,,,,,
118879,v,7,studionya,dasar,
118879.1,v,,<studio> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
118880,k,0,stuko,dasar,
,,,,,
118881,k,11,stupa,dasar,
,,,,,
118882,k,0,stupika,dasar,
,,,,,
118883,k,0,stupor,dasar,
,,,,,
118884,k,0,stuwador,dasar,
,,,,,
118885,k,17,sua,dasar,
,,,,,
