Nomor,KP,Jumlah,Entri,Tipe,Pembentukan
18705,k,0,blongkak,dasar,
,,,,,
18706,k,0,blonyoh,dasar,
,,,,,
18707,k,0,bloon,dasar,
,,,,,
18708,k,77,blora,dasar,
,,,,,
18709,k,2,blorok,dasar,
,,,,,
18710,k,0,bloter,dasar,
,,,,,
18711,k,3,blotong,dasar,
,,,,,
18712,k,53,blower,dasar,
,,,,,
18713,v,81,blu,dasar,
,,,,,
18714,k,0,bluang,dasar,
,,,,,
18715,k,2,bluberi,dasar,
18715.1,x,,<bluber> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
18716,k,0,blubuh,dasar,
,,,,,
18717,k,0,bluburan,dasar,
18717.1,x,,<blubur> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
18718,t,0,bludak,dasar,beludak
,,,,,
18719,k,0,bludrek,dasar,
,,,,,
18720,k,0,bludusan,dasar,
18720.1,x,,<bludus> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
18721,k,78,blues,dasar,
,,,,,
18722,k,0,blukang,dasar,
,,,,,
18723,k,0,blumkol,dasar,
,,,,,
18724,k,53,blunder,dasar,
,,,,,
18725,k,0,blung,dasar,
,,,,,
18726,t,3,bluntas,dasar,beluntas
,,,,,
18727,k,40,blur,dasar,
,,,,,
18728,k,40,blus,dasar,
,,,,,
18729,k,0,blus tani,dasar,
18729.1,x,,<blus tan> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
18730,k,0,blus tunik,dasar,
,,,,,
18731,v,3,blusnya,dasar,
18731.1,v,,<blus> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
18732,k,0,blustru,dasar,
,,,,,
18733,k,0,blusuk,dasar,
,,,,,
18734,k,65,blusukan,dasar,
18734.1,x,,<blusu> + -kan,bentukan,[29] [S] -kan + (<all>)
18734.2,v,,<blusuk> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
18735,v,3,blusukannya,dasar,
18735.1,x,,<blusukan> + -nya,bentukan,[34] [SFS] -nya + (<all>)
18735.2,x,,<blusu> + -kan + -nya,bentukan,[29] [S] -kan + (<all>) => [34] [SFS] -nya + (<all>)
18735.3,v,,<blusuk> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>)
,,,,,
18736,k,80,bo,dasar,
,,,,,
18737,k,6,boa,dasar,
,,,,,
18738,k,0,boano,dasar,
,,,,,
18739,k,107,bob,dasar,
,,,,,
18740,k,3,boba,dasar,
,,,,,
18741,k,0,bobak,dasar,
,,,,,
18742,k,0,bobaka,dasar,
,,,,,
18743,k,0,bobaku,dasar,
18743.1,x,,<boba> + -ku,bentukan,[32] [SFS] -ku + (<all>)
,,,,,
18744,k,0,bobale,dasar,
,,,,,
18745,k,0,bobar,dasar,
,,,,,
18746,k,2,bobara,dasar,
,,,,,
18747,k,0,bobaso,dasar,
,,,,,
18748,k,0,bobat,dasar,
,,,,,
18749,k,0,bobato,dasar,
,,,,,
18750,k,0,bobengka,dasar,
,,,,,
18751,k,0,bobili,dasar,
18751.1,x,,<bobil> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
18752,k,0,bobin,dasar,
,,,,,
18753,k,24,bobo,dasar,
,,,,,
18754,k,10,bobok,dasar,
,,,,,
18755,k,0,bobokan,dasar,
18755.1,x,,<bobo> + -kan,bentukan,[29] [S] -kan + (<all>)
18755.2,v,,<bobok> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
18756,k,2,boboko,dasar,
,,,,,
18757,k,0,bobokor,dasar,
,,,,,
18758,k,18,bobol,dasar,
,,,,,
18759,k,0,bobolan,dasar,
18759.1,v,,<bobol> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
18760,k,0,bobongko,dasar,
,,,,,
18761,v,2,bobonya,dasar,
18761.1,v,,<bobo> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
18762,k,3,bobor,dasar,
,,,,,
18763,k,0,bobos,dasar,
,,,,,
18764,k,756,bobot,dasar,
,,,,,
18765,k,0,bobot atom,dasar,
,,,,,
18766,k,0,bobot isi,dasar,
18766.1,x,,<bobot is> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
18767,k,0,bobot isi tanah,dasar,
,,,,,
18768,k,0,bobot jenis,dasar,
18768.1,x,,<bobot jeni> + [-is:-s],bentukan,[177] [S] -is + (i)
18768.2,x,,<bobot jen> + -is,bentukan,[178] [S] -is + (<others>)
,,,,,
18769,k,0,bobot lebih,dasar,
,,,,,
18770,k,0,bobot luah,dasar,
,,,,,
18771,k,0,bobot mati,dasar,
18771.1,x,,<bobot mat> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
18772,v,3,bobot-bobot,dasar,
18772.1,v,,<bobot> [-] <r>,bentukan,[23] [RD] |
,,,,,
18773,k,0,bobotara,dasar,
,,,,,
18774,k,0,boboto,dasar,
,,,,,
18775,k,9,bobotoh,dasar,
,,,,,
18776,k,0,bobotok,dasar,
,,,,,
18777,k,33,bobrok,dasar,
,,,,,
18778,k,435,bocah,dasar,
,,,,,
18779,k,0,bocah angon,dasar,
,,,,,
18780,v,58,bocah-bocah,dasar,
18780.1,v,,<bocah> [-] <r>,bentukan,[23] [RD] |
,,,,,
18781,v,5,bocahnya,dasar,
18781.1,v,,<bocah> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
18782,k,0,bocil,dasar,
,,,,,
18783,k,0,bocok,dasar,
,,,,,
18784,k,0,bocokok,dasar,
,,,,,
18785,k,0,bocong,dasar,
,,,,,
18786,k,228,bocor,dasar,
,,,,,
18787,k,0,bocor mulut,dasar,
,,,,,
18788,k,83,bocoran,dasar,
18788.1,v,,<bocor> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
18789,v,3,bocorannya,dasar,
18789.1,x,,<bocoran> + -nya,bentukan,[34] [SFS] -nya + (<all>)
18789.2,v,,<bocor> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>)
,,,,,
18790,v,15,bocorkan,dasar,
18790.1,v,,<bocor> + -kan,bentukan,[29] [S] -kan + (<all>)
18790.2,x,,<bocork> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
18791,v,34,bocornya,dasar,
18791.1,v,,<bocor> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
18792,k,0,boda,dasar,
,,,,,
18793,k,0,bodar,dasar,
,,,,,
18794,v,3,bodebek,dasar,
,,,,,
18795,v,5,bodetabek,dasar,
,,,,,
18796,k,0,bodhisatwa,dasar,
,,,,,
18797,k,404,bodi,dasar,
18797.1,x,,<bod> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
18798,v,2,bodi-bodi,dasar,
18798.1,v,,<bodi> [-] <r>,bentukan,[23] [RD] |
18798.2,x,,<bod> + -i [-] <r> + -i,bentukan,[28] [S] -i + (<all>) => [23] [RD] |
,,,,,
18799,v,52,bodinya,dasar,
18799.1,v,,<bodi> + -nya,bentukan,[34] [SFS] -nya + (<all>)
18799.2,x,,<bod> + -i + -nya,bentukan,[28] [S] -i + (<all>) => [34] [SFS] -nya + (<all>)
,,,,,
18800,c,23,bodo,dasar,bodoh
,,,,,
18801,k,428,bodoh,dasar,
,,,,,
18802,k,0,bodoh amat,dasar,
,,,,,
18803,v,2,bodoh-bodoh,dasar,
18803.1,v,,<bodoh> [-] <r>,bentukan,[23] [RD] |
,,,,,
18804,v,2,bodohlah,dasar,
18804.1,v,,<bodoh> + -lah,bentukan,[31] [FS] -lah + (<all>)
,,,,,
18805,v,52,bodohnya,dasar,
18805.1,v,,<bodoh> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
18806,k,0,bodok,dasar,
,,,,,
18807,k,0,bodolan,dasar,
18807.1,x,,<bodol> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
18808,k,38,bodong,dasar,
,,,,,
18809,k,2,bodor,dasar,
,,,,,
18810,k,0,bodoran,dasar,
18810.1,v,,<bodor> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
18811,k,0,bofot,dasar,
,,,,,
18812,k,0,bog,dasar,
,,,,,
18813,k,65,boga,dasar,
,,,,,
18814,k,0,boga bahari,dasar,
18814.1,x,,<boga bahar> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
18815,k,0,boga-boga,dasar,
18815.1,v,,<boga> [-] <r>,bentukan,[23] [RD] |
,,,,,
18816,k,0,bogam,dasar,
,,,,,
18817,k,0,bogas,dasar,
,,,,,
18818,k,2,bogel,dasar,
,,,,,
18819,k,13,bogem,dasar,
,,,,,
18820,k,0,bogem mentah,dasar,
,,,,,
18821,k,2,bogi,dasar,
18821.1,x,,<bog> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
18822,k,2,bogo,dasar,
,,,,,
18823,k,0,bogok,dasar,
,,,,,
18824,k,0,bogol,dasar,
,,,,,
18825,k,1391,bogor,dasar,
,,,,,
18826,k,0,bogot,dasar,
,,,,,
18827,k,0,boh leping,dasar,
,,,,,
18828,k,0,boh pong,dasar,
,,,,,
18829,k,0,boha,dasar,
,,,,,
18830,k,6,bohai,dasar,
18830.1,x,,<boha> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
18831,k,0,bohana,dasar,
,,,,,
18832,k,18,bohemian,dasar,
18832.1,x,,<bohemi> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
18833,k,46,bohlam,dasar,
,,,,,
18834,k,3,boho,dasar,
,,,,,
18835,k,0,bohok,dasar,
,,,,,
18836,k,318,bohong,dasar,
,,,,,
18837,k,5,bohong-bohongan,dasar,
18837.1,v,,<bohong> [-] <r> + -an,bentukan,[23] [RD] |
,,,,,
18838,k,11,bohongan,dasar,
18838.1,v,,<bohong> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
18839,v,6,bohongi,dasar,
18839.1,v,,<bohong> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
18840,x,4,bohongin,dasar,
,,,,,
18841,v,5,bohongnya,dasar,
18841.1,v,,<bohong> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
18842,k,0,bohorok,dasar,
,,,,,
18843,k,0,bohrium,dasar,
,,,,,
18844,k,0,bohsia,dasar,
,,,,,
18845,k,0,bohu,dasar,
,,,,,
18846,k,8,boi,dasar,
18846.1,x,,<bo> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
18847,k,60,boikot,dasar,
,,,,,
18848,k,0,boikot massal,dasar,
,,,,,
18849,k,0,boikot primer,dasar,
,,,,,
18850,k,4,bois,dasar,
18850.1,x,,<boi> + [-is:-s],bentukan,[177] [S] -is + (i)
18850.2,x,,<bo> + -is,bentukan,[178] [S] -is + (<others>)
,,,,,
18851,k,5,boja,dasar,
,,,,,
18852,k,5,bojo,dasar,
,,,,,
18853,v,2,bojoku,dasar,
18853.1,v,,<bojo> + -ku,bentukan,[32] [SFS] -ku + (<all>)
,,,,,
18854,v,2,bojomu,dasar,
18854.1,v,,<bojo> + -mu,bentukan,[33] [SFS] -mu + (<all>)
,,,,,
18855,k,0,boka,dasar,
,,,,,
18856,k,6,bokap,dasar,
,,,,,
18857,v,4,bokapnya,dasar,
18857.1,v,,<bokap> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
18858,k,0,bokar,dasar,
,,,,,
18859,k,0,bokca,dasar,
,,,,,
18860,k,15,bokeh,dasar,
,,,,,
18861,k,11,bokek,dasar,
,,,,,
18862,k,0,bokeo,dasar,
,,,,,
18863,k,2,bokep,dasar,
,,,,,
18864,k,2,boki,dasar,
18864.1,x,,<bok> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
18865,k,28,boko,dasar,
,,,,,
18866,k,0,bokoh,dasar,
,,,,,
18867,k,0,bokol,dasar,
,,,,,
18868,v,3,bokondini,dasar,
18868.1,x,,<bokondin> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
18869,k,65,bokong,dasar,
,,,,,
18870,v,11,bokongku,dasar,
18870.1,v,,<bokong> + -ku,bentukan,[32] [SFS] -ku + (<all>)
,,,,,
18871,v,4,bokongmu,dasar,
18871.1,v,,<bokong> + -mu,bentukan,[33] [SFS] -mu + (<all>)
,,,,,
18872,v,22,bokongnya,dasar,
18872.1,v,,<bokong> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
18873,k,0,bokop,dasar,
,,,,,
18874,k,9,bokor,dasar,
,,,,,
18875,k,0,bokot,dasar,
,,,,,
18876,k,82,boks,dasar,
,,,,,
18877,k,0,boks neon,dasar,
,,,,,
18878,v,4,boks-boks,dasar,
18878.1,v,,<boks> [-] <r>,bentukan,[23] [RD] |
,,,,,
18879,k,0,boksen,dasar,
,,,,,
18880,k,0,bokser,dasar,
,,,,,
18881,k,0,bokset,dasar,
,,,,,
18882,k,0,boksu,dasar,
,,,,,
18883,k,4,boku,dasar,
18883.1,x,,<bo> + -ku,bentukan,[32] [SFS] -ku + (<all>)
,,,,,
18884,k,0,bokungo,dasar,
,,,,,
18885,k,8,bol,dasar,
,,,,,
18886,k,1591,bola,dasar,
,,,,,
18887,k,0,bola air,dasar,
,,,,,
18888,k,0,bola api,dasar,
18888.1,x,,<bola ap> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
18889,k,0,bola bakar,dasar,
,,,,,
18890,k,0,bola basket,dasar,
,,,,,
18891,k,0,bola biliar,dasar,
,,,,,
18892,k,0,bola bisbol,dasar,
,,,,,
18893,k,0,bola boling,dasar,
,,,,,
18894,k,0,bola dunia,dasar,
,,,,,
18895,k,0,bola gelinding,dasar,
,,,,,
18896,k,0,bola golf,dasar,
,,,,,
18897,k,0,bola hidro,dasar,
,,,,,
18898,k,0,bola jangkar,dasar,
,,,,,
18899,k,0,bola kaki,dasar,
18899.1,x,,<bola kak> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
18900,k,0,bola karet,dasar,
,,,,,
18901,k,0,bola keju,dasar,
,,,,,
18902,k,0,bola keranjang,dasar,
,,,,,
18903,k,0,bola kristal,dasar,
,,,,,
18904,k,0,bola lampu,dasar,
,,,,,
18905,k,0,bola mandi,dasar,
18905.1,x,,<bola mand> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
18906,k,0,bola mata,dasar,
,,,,,
18907,k,0,bola muntah,dasar,
,,,,,
18908,k,0,bola panas,dasar,
,,,,,
18909,k,0,bola pingpong,dasar,
,,,,,
18910,k,0,bola rotan,dasar,
18910.1,x,,<bola rot> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
18911,k,0,bola salju,dasar,
,,,,,
18912,k,0,bola sepak,dasar,
,,,,,
18913,k,0,bola sodok,dasar,
,,,,,
18914,k,0,bola sodokan,dasar,
18914.1,x,,<bola sodo> + -kan,bentukan,[29] [S] -kan + (<all>)
18914.2,x,,<bola sodok> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
18915,k,0,bola sudut,dasar,
,,,,,
18916,k,0,bola tampel,dasar,
,,,,,
18917,k,0,bola tangan,dasar,
18917.1,x,,<bola tang> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
18918,k,0,bola tangkas,dasar,
,,,,,
18919,k,0,bola tenis,dasar,
18919.1,x,,<bola teni> + [-is:-s],bentukan,[177] [S] -is + (i)
18919.2,x,,<bola ten> + -is,bentukan,[178] [S] -is + (<others>)
,,,,,
18920,k,0,bola tongkat,dasar,
,,,,,
