Nomor,KP,Jumlah,Entri,Tipe,Pembentukan
91888,k,0,peferensi,dasar,
91888.1,x,,pe- + <ferensi>,bentukan,[96] pe- + (<all>) + (-an)
91888.2,x,,<peferens> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
91889,k,0,pegadai,dasar,
91889.1,v,,pe- + <gadai>,bentukan,[96] pe- + (<all>) + (-an)
91889.2,x,,<pegada> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
91890,k,63,pegadaian,dasar,
91890.1,v,,pe- + <gadai> + -an,bentukan,[96] pe- + (<all>) + (-an)
91890.2,x,,pe- + <gadaian>,bentukan,[96] pe- + (<all>) + (-an)
91890.3,x,,<pegadai> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
91891,x,3,pegadilan,dasar,pengadilan
91891.1,x,,pe- + <gadil> + -an,bentukan,[96] pe- + (<all>) + (-an)
91891.2,x,,pe- + <gadilan>,bentukan,[96] pe- + (<all>) + (-an)
91891.3,x,,<pegadil> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
91892,d,0,pegadungan,dasar,
91892.1,x,,pe- + <gadung> + -an,bentukan,[96] pe- + (<all>) + (-an)
91892.2,x,,pe- + <gadungan>,bentukan,[96] pe- + (<all>) + (-an)
91892.3,x,,<pegadung> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
91893,c,12,pegagan,dasar,pegagang
91893.1,x,,pe- + <gag> + -an,bentukan,[96] pe- + (<all>) + (-an)
91893.2,x,,pe- + <gagan>,bentukan,[96] pe- + (<all>) + (-an)
91893.3,x,,<pegag> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
91894,k,0,pegah,dasar,
91894.1,x,,pe- + <gah>,bentukan,[96] pe- + (<all>) + (-an)
,,,,,
91895,k,86,pegal,dasar,
91895.1,x,,pe- + <gal>,bentukan,[96] pe- + (<all>) + (-an)
,,,,,
91896,v,38,pegal-pegal,dasar,
91896.1,v,,<pegal> [-] <r>,bentukan,[23] [RD] |
91896.2,x,,pe- + <gal> [-] pe- + <r>,bentukan,[96] pe- + (<all>) + (-an) => [23] [RD] |
,,,,,
