Nomor,KP,Jumlah,Entri,Tipe,Pembentukan,,,,
124526.5,x,,<terabras> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124527,k,0,terabsen,dasar,,,,,
124527.1,x,,[ter-:te-] + <rabsen>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124527.2,v,,ter- + <absen>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124528,k,3,terabsorpsi,dasar,,,,,
124528.1,x,,[ter-:te-] + <rabsorps> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124528.2,x,,[ter-:te-] + <rabsorpsi>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124528.3,x,,ter- + <absorps> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124528.4,v,,ter- + <absorpsi>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124528.5,x,,<terabsorps> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124529,k,0,terabsurd,dasar,,,,,
124529.1,x,,[ter-:te-] + <rabsurd>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124529.2,v,,ter- + <absurd>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124530,k,22,teracak,dasar,,,,,
124530.1,x,,[ter-:te-] + <racak>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124530.2,v,,ter- + <acak>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124531,v,18,teracung,dasar,,,,,
124531.1,x,,[ter-:te-] + <racung>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124531.2,v,,ter- + <acung>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124532,v,11,teracuni,dasar,,,,,
124532.1,v,,[ter-:te-] + <racun> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124532.2,x,,[ter-:te-] + <racuni>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124532.3,x,,ter- + <acun> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124532.4,x,,ter- + <acuni>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124532.5,x,,<teracun> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124533,k,2,terada,dasar,,,,,
124533.1,x,,[ter-:te-] + <rada>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124533.2,x,,ter- + <ada>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124534,k,6,teradaptasi,dasar,,,,,
124534.1,x,,[ter-:te-] + <radaptas> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124534.2,x,,[ter-:te-] + <radaptasi>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124534.3,x,,ter- + <adaptas> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124534.4,v,,ter- + <adaptasi>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124534.5,x,,<teradaptas> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124535,k,0,teradat,dasar,,,,,
124535.1,x,,[ter-:te-] + <radat>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124535.2,v,,ter- + <adat>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124536,k,0,teradem,dasar,,,,,
124536.1,x,,[ter-:te-] + <radem>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124536.2,v,,ter- + <adem>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124537,k,0,teradil,dasar,,,,,
124537.1,x,,[ter-:te-] + <radil>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124537.2,v,,ter- + <adil>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124538,k,0,teradili,dasar,,,,,
124538.1,x,,[ter-:te-] + <radil> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124538.2,x,,[ter-:te-] + <radili>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124538.3,v,,ter- + <adil> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124538.4,x,,ter- + <adili>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124538.5,x,,<teradil> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124539,v,3,teradministrasi,dasar,,,,,
124539.1,x,,[ter-:te-] + <radministras> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124539.2,x,,[ter-:te-] + <radministrasi>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
