Nomor,KP,Jumlah,Entri,Tipe,Pembentukan,,,,
124574.6,x,,ter- + <akan>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124574.7,x,,<tera> + -kan,bentukan,[29] [S] -kan + (<all>),,,,
124574.8,x,,<terak> + -an,bentukan,[38] [S] -an + (<all>),,,,
,,,,,,,,,
124575,k,7675,terakhir,dasar,,,,,
124575.1,x,,[ter-:te-] + <rakhir>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124575.2,v,,ter- + <akhir>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124576,v,35,terakhirku,dasar,,,,,
124576.1,x,,[ter-:te-] + <rakhirku>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124576.2,x,,ter- + <akhirku>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124576.3,x,,<terakhir> + -ku,bentukan,[32] [SFS] -ku + (<all>),,,,
124576.4,x,,[ter-:te-] + <rakhir> + -ku,bentukan,[20] ter- + (r) + (-kan;-i;-an) => [32] [SFS] -ku + (<all>),,,,
124576.5,v,,ter- + <akhir> + -ku,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [32] [SFS] -ku + (<all>),,,,
,,,,,,,,,
124577,v,4,terakhirlah,dasar,,,,,
124577.1,x,,[ter-:te-] + <rakhirlah>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124577.2,x,,ter- + <akhirlah>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124577.3,x,,<terakhir> + -lah,bentukan,[31] [FS] -lah + (<all>),,,,
124577.4,x,,[ter-:te-] + <rakhir> + -lah,bentukan,[20] ter- + (r) + (-kan;-i;-an) => [31] [FS] -lah + (<all>),,,,
124577.5,v,,ter- + <akhir> + -lah,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [31] [FS] -lah + (<all>),,,,
,,,,,,,,,
124578,v,15,terakhirmu,dasar,,,,,
124578.1,x,,[ter-:te-] + <rakhirmu>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124578.2,x,,ter- + <akhirmu>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124578.3,x,,<terakhir> + -mu,bentukan,[33] [SFS] -mu + (<all>),,,,
124578.4,x,,[ter-:te-] + <rakhir> + -mu,bentukan,[20] ter- + (r) + (-kan;-i;-an) => [33] [SFS] -mu + (<all>),,,,
124578.5,v,,ter- + <akhir> + -mu,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [33] [SFS] -mu + (<all>),,,,
,,,,,,,,,
124579,v,234,terakhirnya,dasar,,,,,
124579.1,x,,[ter-:te-] + <rakhirnya>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124579.2,x,,ter- + <akhirnya>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124579.3,x,,<terakhir> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,
124579.4,x,,[ter-:te-] + <rakhir> + -nya,bentukan,[20] ter- + (r) + (-kan;-i;-an) => [34] [SFS] -nya + (<all>),,,,
124579.5,v,,ter- + <akhir> + -nya,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [34] [SFS] -nya + (<all>),,,,
,,,,,,,,,
124580,v,4,terakit,dasar,,,,,
124580.1,v,,[ter-:te-] + <rakit>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124580.2,x,,ter- + <akit>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124581,k,38,terakomodasi,dasar,,,,,
124581.1,x,,[ter-:te-] + <rakomodas> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124581.2,x,,[ter-:te-] + <rakomodasi>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124581.3,x,,ter- + <akomodas> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124581.4,v,,ter- + <akomodasi>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124581.5,x,,<terakomodas> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124582,k,0,terakomodasikan,dasar,,,,,
124582.1,x,,[ter-:te-] + <rakomodasi> + -kan,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124582.2,x,,[ter-:te-] + <rakomodasik> + -an,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124582.3,x,,[ter-:te-] + <rakomodasikan>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124582.4,v,,ter- + <akomodasi> + -kan,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124582.5,x,,ter- + <akomodasik> + -an,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124582.6,x,,ter- + <akomodasikan>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124582.7,x,,<terakomodasi> + -kan,bentukan,[29] [S] -kan + (<all>),,,,
124582.8,x,,<terakomodasik> + -an,bentukan,[38] [S] -an + (<all>),,,,
,,,,,,,,,
124583,v,6,terakomodasinya,dasar,,,,,
124583.1,x,,[ter-:te-] + <rakomodasinya>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124583.2,x,,ter- + <akomodasinya>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124583.3,x,,<terakomodasi> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,
124583.4,x,,[ter-:te-] + <rakomodas> + -i + -nya,bentukan,[20] ter- + (r) + (-kan;-i;-an) => [34] [SFS] -nya + (<all>),,,,
124583.5,x,,[ter-:te-] + <rakomodasi> + -nya,bentukan,[20] ter- + (r) + (-kan;-i;-an) => [34] [SFS] -nya + (<all>),,,,
124583.6,x,,ter- + <akomodas> + -i + -nya,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [34] [SFS] -nya + (<all>),,,,
124583.7,v,,ter- + <akomodasi> + -nya,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [34] [SFS] -nya + (<all>),,,,
124583.8,x,,<terakomodas> + -i + -nya,bentukan,[28] [S] -i + (<all>) => [34] [SFS] -nya + (<all>),,,,
,,,,,,,,,
124584,k,17,terakomodir,dasar,,,,,
124584.1,x,,[ter-:te-] + <rakomodir>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124584.2,v,,ter- + <akomodir>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124585,k,6,terakota,dasar,,,,,
124585.1,x,,[ter-:te-] + <rakota>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124585.2,x,,ter- + <akota>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124586,k,159,terakreditasi,dasar,,,,,
124586.1,x,,[ter-:te-] + <rakreditas> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124586.2,x,,[ter-:te-] + <rakreditasi>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124586.3,x,,ter- + <akreditas> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124586.4,v,,ter- + <akreditasi>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124586.5,x,,<terakreditas> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124587,k,10,terakselerasi,dasar,,,,,
124587.1,x,,[ter-:te-] + <rakseleras> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124587.2,x,,[ter-:te-] + <rakselerasi>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124587.3,x,,ter- + <akseleras> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124587.4,v,,ter- + <akselerasi>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124587.5,x,,<terakseleras> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124588,k,13,terakses,dasar,,,,,
124588.1,x,,[ter-:te-] + <rakses>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124588.2,v,,ter- + <akses>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124589,k,8,teraktif,dasar,,,,,
124589.1,x,,[ter-:te-] + <raktif>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124589.2,v,,ter- + <aktif>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124590,v,2,teraktifkan,dasar,,,,,
124590.1,x,,[ter-:te-] + <raktif> + -kan,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124590.2,x,,[ter-:te-] + <raktifk> + -an,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124590.3,x,,[ter-:te-] + <raktifkan>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124590.4,v,,ter- + <aktif> + -kan,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124590.5,x,,ter- + <aktifk> + -an,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124590.6,x,,ter- + <aktifkan>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124590.7,x,,<teraktif> + -kan,bentukan,[29] [S] -kan + (<all>),,,,
124590.8,x,,<teraktifk> + -an,bentukan,[38] [S] -an + (<all>),,,,
,,,,,,,,,
124591,v,28,teraktivasi,dasar,,,,,
124591.1,x,,[ter-:te-] + <raktivas> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124591.2,x,,[ter-:te-] + <raktivasi>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124591.3,x,,ter- + <aktivas> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124591.4,v,,ter- + <aktivasi>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124591.5,x,,<teraktivas> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124592,k,2,teraktual,dasar,,,,,
124592.1,x,,[ter-:te-] + <raktual>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124592.2,v,,ter- + <aktual>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124593,k,8,teraktualisasi,dasar,,,,,
124593.1,x,,[ter-:te-] + <raktualisas> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124593.2,x,,[ter-:te-] + <raktualisasi>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124593.3,x,,ter- + <aktualisas> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124593.4,v,,ter- + <aktualisasi>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124593.5,x,,<teraktualisas> + -i,bentukan,[28] [S] -i + (<all>),,,,
124593.6,x,,<teraktuali> + [-isasi:-sasi],bentukan,[166] [S] -isasi + (i),,,,
124593.7,x,,<teraktualis> + [-isasi:-asi],bentukan,[167] [S] -isasi + (is),,,,
124593.8,x,,<teraktual> + -isasi,bentukan,[169] [S] -isasi + (<others>),,,,
,,,,,,,,,
124594,k,0,teraktualisasikan,dasar,,,,,
124594.1,x,,[ter-:te-] + <raktualisasi> + -kan,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124594.2,x,,[ter-:te-] + <raktualisasik> + -an,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124594.3,x,,[ter-:te-] + <raktualisasikan>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124594.4,v,,ter- + <aktualisasi> + -kan,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124594.5,x,,ter- + <aktualisasik> + -an,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124594.6,x,,ter- + <aktualisasikan>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124594.7,x,,<teraktualisasi> + -kan,bentukan,[29] [S] -kan + (<all>),,,,
124594.8,x,,<teraktualisasik> + -an,bentukan,[38] [S] -an + (<all>),,,,
,,,,,,,,,
124595,v,2,teraktualkan,dasar,,,,,
124595.1,x,,[ter-:te-] + <raktual> + -kan,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124595.2,x,,[ter-:te-] + <raktualk> + -an,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124595.3,x,,[ter-:te-] + <raktualkan>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124595.4,v,,ter- + <aktual> + -kan,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124595.5,x,,ter- + <aktualk> + -an,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124595.6,x,,ter- + <aktualkan>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124595.7,x,,<teraktual> + -kan,bentukan,[29] [S] -kan + (<all>),,,,
124595.8,x,,<teraktualk> + -an,bentukan,[38] [S] -an + (<all>),,,,
,,,,,,,,,
124596,k,0,terakuisisi,dasar,,,,,
124596.1,x,,[ter-:te-] + <rakuisis> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124596.2,x,,[ter-:te-] + <rakuisisi>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124596.3,x,,ter- + <akuisis> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124596.4,v,,ter- + <akuisisi>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124596.5,x,,<terakuisis> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124597,k,0,terakuk,dasar,,,,,
124597.1,x,,[ter-:te-] + <rakuk>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124597.2,v,,ter- + <akuk>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124598,v,2,terakulturasi,dasar,,,,,
124598.1,x,,[ter-:te-] + <rakulturas> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124598.2,x,,[ter-:te-] + <rakulturasi>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124598.3,x,,ter- + <akulturas> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124598.4,v,,ter- + <akulturasi>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124598.5,x,,<terakulturas> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124599,k,67,terakumulasi,dasar,,,,,
124599.1,x,,[ter-:te-] + <rakumulas> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124599.2,x,,[ter-:te-] + <rakumulasi>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124599.3,x,,ter- + <akumulas> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124599.4,v,,ter- + <akumulasi>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124599.5,x,,<terakumulas> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124600,v,4,terakumulasinya,dasar,,,,,
124600.1,x,,[ter-:te-] + <rakumulasinya>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124600.2,x,,ter- + <akumulasinya>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124600.3,x,,<terakumulasi> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,
124600.4,x,,[ter-:te-] + <rakumulas> + -i + -nya,bentukan,[20] ter- + (r) + (-kan;-i;-an) => [34] [SFS] -nya + (<all>),,,,
124600.5,x,,[ter-:te-] + <rakumulasi> + -nya,bentukan,[20] ter- + (r) + (-kan;-i;-an) => [34] [SFS] -nya + (<all>),,,,
124600.6,x,,ter- + <akumulas> + -i + -nya,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [34] [SFS] -nya + (<all>),,,,
124600.7,v,,ter- + <akumulasi> + -nya,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [34] [SFS] -nya + (<all>),,,,
124600.8,x,,<terakumulas> + -i + -nya,bentukan,[28] [S] -i + (<all>) => [34] [SFS] -nya + (<all>),,,,
,,,,,,,,,
124601,k,0,terakup,dasar,,,,,
124601.1,x,,[ter-:te-] + <rakup>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124601.2,x,,ter- + <akup>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124602,k,0,terakurat,dasar,,,,,
124602.1,x,,[ter-:te-] + <rakurat>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124602.2,v,,ter- + <akurat>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124603,k,0,teral,dasar,,,,,
124603.1,x,,[ter-:te-] + <ral>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124603.2,x,,ter- + <al>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124604,k,0,terala,dasar,,,,,
124604.1,x,,[ter-:te-] + <rala>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124604.2,v,,ter- + <ala>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124605,k,0,teralahkan,dasar,,,,,
124605.1,x,,[ter-:te-] + <ralah> + -kan,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124605.2,x,,[ter-:te-] + <ralahk> + -an,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124605.3,x,,[ter-:te-] + <ralahkan>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124605.4,v,,ter- + <alah> + -kan,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124605.5,x,,ter- + <alahk> + -an,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124605.6,x,,ter- + <alahkan>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124605.7,x,,<teralah> + -kan,bentukan,[29] [S] -kan + (<all>),,,,
124605.8,x,,<teralahk> + -an,bentukan,[38] [S] -an + (<all>),,,,
,,,,,,,,,
124606,k,0,teralan,dasar,,,,,
124606.1,x,,[ter-:te-] + <ral> + -an,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124606.2,x,,[ter-:te-] + <ralan>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124606.3,x,,ter- + <al> + -an,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124606.4,x,,ter- + <alan>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124606.5,v,,<teral> + -an,bentukan,[38] [S] -an + (<all>),,,,
,,,,,,,,,
124607,k,0,teralang,dasar,,,,,
124607.1,x,,[ter-:te-] + <ralang>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124607.2,v,,ter- + <alang>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124608,k,0,teralang-alang,dasar,,,,,
124608.1,v,,ter- + <alang> [-] <r>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [49] [RD] ter-|,,,,
,,,,,,,,,
124609,k,29,terali,dasar,,,,,
124609.1,x,,[ter-:te-] + <ral> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124609.2,x,,[ter-:te-] + <rali>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124609.3,x,,ter- + <al> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124609.4,x,,ter- + <ali>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124609.5,x,,<teral> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124610,k,0,terali besi,dasar,,,,,
124610.1,x,,[ter-:te-] + <rali bes> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124610.2,x,,[ter-:te-] + <rali besi>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124610.3,x,,ter- + <ali bes> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124610.4,x,,ter- + <ali besi>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124610.5,x,,<terali bes> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124611,k,13,teralienasi,dasar,,,,,
124611.1,x,,[ter-:te-] + <ralienas> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124611.2,x,,[ter-:te-] + <ralienasi>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124611.3,x,,ter- + <alienas> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124611.4,v,,ter- + <alienasi>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124611.5,x,,<teralienas> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124612,k,10,teralih,dasar,,,,,
124612.1,x,,[ter-:te-] + <ralih>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124612.2,v,,ter- + <alih>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124613,v,29,teralihkan,dasar,,,,,
124613.1,x,,[ter-:te-] + <ralih> + -kan,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124613.2,x,,[ter-:te-] + <ralihk> + -an,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124613.3,x,,[ter-:te-] + <ralihkan>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124613.4,v,,ter- + <alih> + -kan,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124613.5,x,,ter- + <alihk> + -an,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124613.6,x,,ter- + <alihkan>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124613.7,x,,<teralih> + -kan,bentukan,[29] [S] -kan + (<all>),,,,
124613.8,x,,<teralihk> + -an,bentukan,[38] [S] -an + (<all>),,,,
,,,,,,,,,
124614,k,0,teraling,dasar,,,,,
124614.1,x,,[ter-:te-] + <raling>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124614.2,v,,ter- + <aling>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124615,v,14,teraliri,dasar,,,,,
124615.1,x,,[ter-:te-] + <ralir> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124615.2,x,,[ter-:te-] + <raliri>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124615.3,v,,ter- + <alir> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124615.4,x,,ter- + <aliri>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124615.5,x,,<teralir> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124616,c,18,teralis,dasar,terali,,,,
124616.1,x,,[ter-:te-] + <ralis>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124616.2,x,,ter- + <alis>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124616.3,x,,<terali> + [-is:-s],bentukan,[177] [S] -is + (i),,,,
124616.4,x,,<teral> + -is,bentukan,[178] [S] -is + (<others>),,,,
,,,,,,,,,
124617,k,6,teralokasi,dasar,,,,,
124617.1,x,,[ter-:te-] + <ralokas> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124617.2,x,,[ter-:te-] + <ralokasi>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124617.3,x,,ter- + <alokas> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124617.4,v,,ter- + <alokasi>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124617.5,x,,<teralokas> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124618,v,3,teralokasikan,dasar,,,,,
124618.1,x,,[ter-:te-] + <ralokasi> + -kan,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124618.2,x,,[ter-:te-] + <ralokasik> + -an,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124618.3,x,,[ter-:te-] + <ralokasikan>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124618.4,v,,ter- + <alokasi> + -kan,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124618.5,x,,ter- + <alokasik> + -an,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124618.6,x,,ter- + <alokasikan>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124618.7,x,,<teralokasi> + -kan,bentukan,[29] [S] -kan + (<all>),,,,
124618.8,x,,<teralokasik> + -an,bentukan,[38] [S] -an + (<all>),,,,
,,,,,,,,,
124619,k,0,teralpa,dasar,,,,,
124619.1,x,,[ter-:te-] + <ralpa>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124619.2,v,,ter- + <alpa>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124620,k,0,teralun,dasar,,,,,
124620.1,x,,[ter-:te-] + <ralun>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124620.2,v,,ter- + <alun>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124621,k,0,teram,dasar,,,,,
124621.1,x,,[ter-:te-] + <ram>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124621.2,x,,ter- + <am>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124622,k,0,teramah,dasar,,,,,
124622.1,v,,[ter-:te-] + <ramah>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124622.2,x,,ter- + <amah>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124623,k,5,teramai,dasar,,,,,
124623.1,x,,[ter-:te-] + <rama> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124623.2,v,,[ter-:te-] + <ramai>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124623.3,x,,ter- + <ama> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124623.4,x,,ter- + <amai>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124623.5,x,,<terama> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124624,k,10,teraman,dasar,,,,,
124624.1,x,,[ter-:te-] + <ram> + -an,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124624.2,x,,[ter-:te-] + <raman>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124624.3,x,,ter- + <am> + -an,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124624.4,v,,ter- + <aman>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124624.5,x,,<teram> + -an,bentukan,[38] [S] -an + (<all>),,,,
,,,,,,,,,
124625,k,0,teramankan,dasar,,,,,
124625.1,x,,[ter-:te-] + <raman> + -kan,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124625.2,x,,[ter-:te-] + <ramank> + -an,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124625.3,x,,[ter-:te-] + <ramankan>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124625.4,v,,ter- + <aman> + -kan,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124625.5,x,,ter- + <amank> + -an,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124625.6,x,,ter- + <amankan>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124625.7,x,,<teraman> + -kan,bentukan,[29] [S] -kan + (<all>),,,,
124625.8,x,,<teramank> + -an,bentukan,[38] [S] -an + (<all>),,,,
