Nomor,KP,Jumlah,Entri,Tipe,Pembentukan
100689,t,3,perkecamatan,dasar,per kecamatan
100689.1,x,,per- + <kecamat> + -an,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100689.2,x,,per- + <kecamatan>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100689.3,x,,<perkecamat> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
100690,k,31,perkecambahan,dasar,
100690.1,v,,per- + <kecambah> + -an,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100690.2,x,,per- + <kecambahan>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100690.3,x,,<perkecambah> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
100691,v,5,perkecil,dasar,
100691.1,v,,per- + <kecil>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
,,,,,
100692,k,32,perkecualian,dasar,
100692.1,v,,per- + <kecuali> + -an,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100692.2,x,,per- + <kecualian>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100692.3,x,,<perkecuali> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
100693,k,0,perkedaian,dasar,
100693.1,v,,per- + <kedai> + -an,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100693.2,x,,per- + <kedaian>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100693.3,x,,<perkedai> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
100694,k,12,perkedel,dasar,
100694.1,x,,per- + <kedel>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
,,,,,
100695,k,0,perkedel jagung,dasar,
100695.1,x,,per- + <kedel jagung>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
,,,,,
100696,k,0,perkedel tahu,dasar,
100696.1,x,,per- + <kedel tahu>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
,,,,,
100697,k,157,perkelahian,dasar,
100697.1,v,,per- + <kelahi> + -an,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100697.2,x,,per- + <kelahian>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100697.3,x,,<perkelahi> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
100698,k,0,perkelahian seorang lawan seorang,dasar,
100698.1,x,,per- + <kelahian seorang lawan seorang>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
,,,,,
100699,v,2,perkelahianku,dasar,
100699.1,x,,per- + <kelahianku>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100699.2,x,,<perkelahian> + -ku,bentukan,[32] [SFS] -ku + (<all>)
100699.3,v,,per- + <kelahi> + -an + -ku,bentukan,[19] per- + (<others>) + (-i;-an;-kan) => [32] [SFS] -ku + (<all>)
100699.4,x,,per- + <kelahian> + -ku,bentukan,[19] per- + (<others>) + (-i;-an;-kan) => [32] [SFS] -ku + (<all>)
100699.5,x,,<perkelahi> + -an + -ku,bentukan,[38] [S] -an + (<all>) => [32] [SFS] -ku + (<all>)
,,,,,
100700,v,2,perkelahiannya,dasar,
100700.1,x,,per- + <kelahiannya>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100700.2,x,,<perkelahian> + -nya,bentukan,[34] [SFS] -nya + (<all>)
100700.3,v,,per- + <kelahi> + -an + -nya,bentukan,[19] per- + (<others>) + (-i;-an;-kan) => [34] [SFS] -nya + (<all>)
100700.4,x,,per- + <kelahian> + -nya,bentukan,[19] per- + (<others>) + (-i;-an;-kan) => [34] [SFS] -nya + (<all>)
100700.5,x,,<perkelahi> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>)
,,,,,
100701,k,0,perkelang,dasar,
100701.1,x,,per- + <kelang>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
,,,,,
100702,t,2,perkelas,dasar,per kelas
100702.1,x,,per- + <kelas>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
,,,,,
100703,t,5,perkelompok,dasar,per kelompok
100703.1,x,,per- + <kelompok>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
,,,,,
100704,k,0,perkeluargaan,dasar,
100704.1,v,,per- + <keluarga> + -an,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100704.2,x,,per- + <keluargaan>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100704.3,x,,<perkeluarga> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
100705,k,56,perkemahan,dasar,
100705.1,v,,per- + <kemah> + -an,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100705.2,x,,per- + <kemahan>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100705.3,x,,<perkemah> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
100706,k,3,perkemasan,dasar,
100706.1,v,,per- + <kemas> + -an,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100706.2,x,,per- + <kemasan>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100706.3,x,,<perkemas> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
100707,k,4249,perkembangan,dasar,
100707.1,v,,per- + <kembang> + -an,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100707.2,x,,per- + <kembangan>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
100707.3,x,,<perkembang> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
100708,k,0,perkembangan abnormal,dasar,
100708.1,x,,per- + <kembangan abnormal>,bentukan,[19] per- + (<others>) + (-i;-an;-kan)
,,,,,
100709,k,0,perkembangan gerak,dasar,
