Nomor,KP,Jumlah,Entri,Tipe,Pembentukan
75946,k,0,mengepah,dasar,
75946.1,x,,[meng-:me-] + <ngepah>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
75946.2,v,,[meng-:me-] + <kepah>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
75946.3,x,,meng- + <epah>,bentukan,[5] [VD] meng- + (<all>)
75946.4,x,,[meng-:menge-] + <pah>,bentukan,[7] [SS] meng- + (<all>)
75946.5,x,,[meng-+ke-:me-+nge-] + <pah>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya) => [82] [MP] meng-+ke- + (<all>) + (-kan;-i)
,,,,,
75947,k,39,mengepak,dasar,
75947.1,x,,[meng-:me-] + <ngepak>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
75947.2,v,,[meng-:me-] + <kepak>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
75947.3,x,,meng- + <epak>,bentukan,[5] [VD] meng- + (<all>)
75947.4,x,,[meng-:menge-] + <pak>,bentukan,[7] [SS] meng- + (<all>)
75947.5,x,,[meng-+ke-:me-+nge-] + <pak>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya) => [82] [MP] meng-+ke- + (<all>) + (-kan;-i)
,,,,,
75948,v,6,mengepak-ngepak,dasar,
75948.1,x,,[meng-:me-] + <ngepak> [-] <r>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan) => [25] [RD] meng-|
75948.2,v,,[meng-:me-] + <kepak> [-] <r>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan) => [25] [RD] meng-|
,,,,,
75949,k,9,mengepak-ngepakkan,dasar,
75949.1,x,,[meng-:me-] + <ngepak> [-] <r> + -kan,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan) => [25] [RD] meng-|
75949.2,v,,[meng-:me-] + <kepak> [-] <r> + -kan,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan) => [25] [RD] meng-|
,,,,,
75950,k,26,mengepakkan,dasar,
75950.1,x,,[meng-:me-] + <ngepak> + -kan,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
75950.2,v,,[meng-:me-] + <kepak> + -kan,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
75950.3,x,,[meng-:me-] + <ngepakkan>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
75950.4,x,,[meng-:me-] + <kepakkan>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
75950.5,x,,meng- + <epak> + -kan,bentukan,[5] [VD] meng- + (<all>)
75950.6,x,,meng- + <epakkan>,bentukan,[5] [VD] meng- + (<all>)
75950.7,x,,[meng-:menge-] + <pak> + -kan,bentukan,[7] [SS] meng- + (<all>)
75950.8,x,,[meng-+ke-:me-+nge-] + <pak> + -kan,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya) => [82] [MP] meng-+ke- + (<all>) + (-kan;-i)
75950.9,x,,[meng-+ke-:me-+nge-] + <pakkan>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya) => [82] [MP] meng-+ke- + (<all>) + (-kan;-i)
75950.1,x,,<mengepak> + -kan,bentukan,[29] [S] -kan + (<all>)
75950.11,x,,<mengepakk> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
75951,k,0,mengepakkan sayap,dasar,
75951.1,x,,[meng-:me-] + <ngepakkan sayap>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
75951.2,x,,[meng-:me-] + <kepakkan sayap>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
75951.3,x,,meng- + <epakkan sayap>,bentukan,[5] [VD] meng- + (<all>)
75951.4,x,,[meng-+ke-:me-+nge-] + <pakkan sayap>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya) => [82] [MP] meng-+ke- + (<all>) + (-kan;-i)
,,,,,
75952,v,3,mengepaknya,dasar,
75952.1,x,,[meng-:me-] + <ngepaknya>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
75952.2,x,,[meng-:me-] + <kepaknya>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
75952.3,x,,meng- + <epaknya>,bentukan,[5] [VD] meng- + (<all>)
75952.4,x,,[meng-+ke-:me-+nge-] + <paknya>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya) => [82] [MP] meng-+ke- + (<all>) + (-kan;-i)
75952.5,x,,<mengepak> + -nya,bentukan,[34] [SFS] -nya + (<all>)
75952.6,x,,[meng-:me-] + <ngepak> + -nya,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan) => [34] [SFS] -nya + (<all>)
75952.7,v,,[meng-:me-] + <kepak> + -nya,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan) => [34] [SFS] -nya + (<all>)
75952.8,x,,meng- + <epak> + -nya,bentukan,[5] [VD] meng- + (<all>) => [34] [SFS] -nya + (<all>)
75952.9,x,,[meng-:menge-] + <pak> + -nya,bentukan,[7] [SS] meng- + (<all>) => [34] [SFS] -nya + (<all>)
75952.1,x,,[meng-+ke-:me-+nge-] + <pak> + -nya,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya) => [82] [MP] meng-+ke- + (<all>) + (-kan;-i) => [34] [SFS] -nya + (<all>)
,,,,,
75953,k,37,mengepal,dasar,
75953.1,x,,[meng-:me-] + <ngepal>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
75953.2,v,,[meng-:me-] + <kepal>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
75953.3,x,,meng- + <epal>,bentukan,[5] [VD] meng- + (<all>)
75953.4,x,,[meng-:menge-] + <pal>,bentukan,[7] [SS] meng- + (<all>)
75953.5,x,,[meng-+ke-:me-+nge-] + <pal>,bentukan,[79] ke- + (<all>) + (-an;-kan;-nya) => [82] [MP] meng-+ke- + (<all>) + (-kan;-i)
,,,,,
75954,k,2,mengepal-ngepalkan,dasar,
75954.1,x,,[meng-:me-] + <ngepal> [-] <r> + -kan,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan) => [25] [RD] meng-|
75954.2,v,,[meng-:me-] + <kepal> [-] <r> + -kan,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan) => [25] [RD] meng-|
,,,,,
75955,k,43,mengepalai,dasar,
