Nomor,KP,Jumlah,Entri,Tipe,Pembentukan
22838,k,5,cukil,dasar,
,,,,,
22839,k,6,cukilan,dasar,
22839.1,v,,<cukil> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
22840,k,0,cukimai,dasar,
22840.1,x,,<cukima> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
22841,k,0,cukin,dasar,
,,,,,
22842,c,3,cukir,dasar,cungkil
,,,,,
22843,k,0,cukit,dasar,
,,,,,
22844,k,21,cukong,dasar,
,,,,,
22845,v,4,cukong-cukong,dasar,
22845.1,v,,<cukong> [-] <r>,bentukan,[23] [RD] |
,,,,,
22846,k,4,cuku,dasar,
22846.1,x,,<cu> + -ku,bentukan,[32] [SFS] -ku + (<all>)
,,,,,
22847,k,9901,cukup,dasar,
,,,,,
22848,k,0,cukup umur,dasar,
,,,,,
22849,k,6,cukupan,dasar,
22849.1,v,,<cukup> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
22850,v,8,cukupi,dasar,
22850.1,v,,<cukup> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
22851,v,23,cukupkah,dasar,
22851.1,v,,<cukup> + -kah,bentukan,[30] [FS] -kah + (<all>)
,,,,,
22852,v,7,cukupkan,dasar,
22852.1,v,,<cukup> + -kan,bentukan,[29] [S] -kan + (<all>)
22852.2,x,,<cukupk> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
22853,v,98,cukuplah,dasar,
22853.1,v,,<cukup> + -lah,bentukan,[31] [FS] -lah + (<all>)
,,,,,
22854,v,15,cukupnya,dasar,
22854.1,v,,<cukup> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
22855,k,68,cukur,dasar,
,,,,,
22856,k,11,cula,dasar,
,,,,,
22857,k,0,culak,dasar,
,,,,,
22858,k,0,culambacu,dasar,
,,,,,
22859,k,2,culan,dasar,
22859.1,x,,<cul> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
22860,k,40,culas,dasar,
,,,,,
22861,k,0,culi,dasar,
22861.1,x,,<cul> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
22862,k,0,culiah,dasar,
22862.1,x,,<cul> + -iah,bentukan,[175] [S] -iah + (<others>)
,,,,,
22863,k,17,culik,dasar,
,,,,,
22864,k,0,culik-culik,dasar,
22864.1,v,,<culik> [-] <r>,bentukan,[23] [RD] |
,,,,,
22865,k,0,culika,dasar,
,,,,,
22866,k,0,culikan,dasar,
22866.1,x,,<culi> + -kan,bentukan,[29] [S] -kan + (<all>)
22866.2,v,,<culik> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
22867,k,0,culim,dasar,
,,,,,
22868,k,14,culun,dasar,
,,,,,
22869,k,27,cum,dasar,
,,,,,
