Nomor,KP,Jumlah,Entri,Tipe,Pembentukan
77313,v,3,menghenyakkan,dasar,
77313.1,v,,meng- + <henyak> + -kan,bentukan,[4] meng- + (g;h;x;kl;kr;kh;kw) + (-i;-kan)
77313.2,x,,meng- + <henyakkan>,bentukan,[4] meng- + (g;h;x;kl;kr;kh;kw) + (-i;-kan)
77313.3,x,,<menghenyak> + -kan,bentukan,[29] [S] -kan + (<all>)
77313.4,x,,<menghenyakk> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
77314,k,2,mengherani,dasar,
77314.1,v,,meng- + <heran> + -i,bentukan,[4] meng- + (g;h;x;kl;kr;kh;kw) + (-i;-kan)
77314.2,x,,meng- + <herani>,bentukan,[4] meng- + (g;h;x;kl;kr;kh;kw) + (-i;-kan)
77314.3,x,,<mengheran> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
77315,k,422,mengherankan,dasar,
77315.1,v,,meng- + <heran> + -kan,bentukan,[4] meng- + (g;h;x;kl;kr;kh;kw) + (-i;-kan)
77315.2,x,,meng- + <herankan>,bentukan,[4] meng- + (g;h;x;kl;kr;kh;kw) + (-i;-kan)
77315.3,x,,<mengheran> + -kan,bentukan,[29] [S] -kan + (<all>)
77315.4,x,,<mengherank> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
77316,k,0,menghewankan,dasar,
77316.1,v,,meng- + <hewan> + -kan,bentukan,[4] meng- + (g;h;x;kl;kr;kh;kw) + (-i;-kan)
77316.2,x,,meng- + <hewankan>,bentukan,[4] meng- + (g;h;x;kl;kr;kh;kw) + (-i;-kan)
77316.3,x,,<menghewan> + -kan,bentukan,[29] [S] -kan + (<all>)
77316.4,x,,<menghewank> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
77317,k,75,menghias,dasar,
77317.1,v,,meng- + <hias>,bentukan,[4] meng- + (g;h;x;kl;kr;kh;kw) + (-i;-kan)
,,,,,
77318,k,228,menghiasi,dasar,
77318.1,v,,meng- + <hias> + -i,bentukan,[4] meng- + (g;h;x;kl;kr;kh;kw) + (-i;-kan)
77318.2,x,,meng- + <hiasi>,bentukan,[4] meng- + (g;h;x;kl;kr;kh;kw) + (-i;-kan)
77318.3,x,,<menghias> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
77319,v,10,menghiasinya,dasar,
77319.1,x,,meng- + <hiasinya>,bentukan,[4] meng- + (g;h;x;kl;kr;kh;kw) + (-i;-kan)
77319.2,x,,<menghiasi> + -nya,bentukan,[34] [SFS] -nya + (<all>)
77319.3,v,,meng- + <hias> + -i + -nya,bentukan,[4] meng- + (g;h;x;kl;kr;kh;kw) + (-i;-kan) => [34] [SFS] -nya + (<all>)
77319.4,x,,meng- + <hiasi> + -nya,bentukan,[4] meng- + (g;h;x;kl;kr;kh;kw) + (-i;-kan) => [34] [SFS] -nya + (<all>)
77319.5,x,,<menghias> + -i + -nya,bentukan,[28] [S] -i + (<all>) => [34] [SFS] -nya + (<all>)
,,,,,
77320,v,2,menghiasnya,dasar,
77320.1,x,,meng- + <hiasnya>,bentukan,[4] meng- + (g;h;x;kl;kr;kh;kw) + (-i;-kan)
77320.2,x,,<menghias> + -nya,bentukan,[34] [SFS] -nya + (<all>)
77320.3,v,,meng- + <hias> + -nya,bentukan,[4] meng- + (g;h;x;kl;kr;kh;kw) + (-i;-kan) => [34] [SFS] -nya + (<all>)
,,,,,
77321,t,5,menghiba,dasar,mengiba
77321.1,x,,meng- + <hiba>,bentukan,[4] meng- + (g;h;x;kl;kr;kh;kw) + (-i;-kan)
,,,,,
77322,t,2,menghiba-hiba,dasar,mengiba-iba
