Nomor,KP,Jumlah,Entri,Tipe,Pembentukan
125646,v,2,terhapusnya,dasar,
125646.1,x,,ter- + <hapusnya>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
125646.2,x,,<terhapus> + -nya,bentukan,[34] [SFS] -nya + (<all>)
125646.3,v,,ter- + <hapus> + -nya,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [34] [SFS] -nya + (<all>)
,,,,,
125647,k,0,terharak-harak,dasar,
125647.1,v,,ter- + <harak> [-] <r>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [49] [RD] ter-|
,,,,,
125648,k,0,terharap-harap,dasar,
125648.1,v,,ter- + <harap> [-] <r>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [49] [RD] ter-|
,,,,,
125649,k,0,terharap-harap saja,dasar,
125649.1,x,,ter- + <harap> [-] <r> + - saja,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [49] [RD] ter-|
,,,,,
125650,k,165,terharu,dasar,
125650.1,v,,ter- + <haru>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
125651,k,0,terharu biru,dasar,
125651.1,v,,ter- + <haru biru>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
125652,k,0,terharum,dasar,
125652.1,v,,ter- + <harum>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
125653,v,2,terharunya,dasar,
125653.1,x,,ter- + <harunya>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
125653.2,x,,<terharu> + -nya,bentukan,[34] [SFS] -nya + (<all>)
125653.3,v,,ter- + <haru> + -nya,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [34] [SFS] -nya + (<all>)
,,,,,
125654,k,0,terhasrat,dasar,
125654.1,v,,ter- + <hasrat>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
125655,k,11,terhasut,dasar,
125655.1,v,,ter- + <hasut>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
125656,k,45,terhebat,dasar,
125656.1,v,,ter- + <hebat>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
125657,v,3,terhebatnya,dasar,
125657.1,x,,ter- + <hebatnya>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
125657.2,x,,<terhebat> + -nya,bentukan,[34] [SFS] -nya + (<all>)
125657.3,v,,ter- + <hebat> + -nya,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [34] [SFS] -nya + (<all>)
,,,,,
125658,v,6,terheboh,dasar,
125658.1,v,,ter- + <heboh>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
125659,v,6,terhegemoni,dasar,
125659.1,x,,ter- + <hegemon> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
125659.2,v,,ter- + <hegemoni>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
125659.3,x,,<terhegemon> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
125660,v,3,terhela,dasar,
125660.1,v,,ter- + <hela>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
125661,k,0,terhembalang,dasar,
125661.1,v,,ter- + <hembalang>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
125662,v,2,terhembus,dasar,
125662.1,v,,ter- + <hembus>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
125663,k,0,terhempap,dasar,
125663.1,v,,ter- + <hempap>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
125664,k,40,terhempas,dasar,
125664.1,v,,ter- + <hempas>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
125665,v,2,terhendus,dasar,
125665.1,v,,ter- + <hendus>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
125666,k,0,terhengit-hengit,dasar,
125666.1,v,,ter- + <hengit> [-] <r>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [49] [RD] ter-|
,,,,,
125667,v,3,terhentak,dasar,
125667.1,v,,ter- + <hentak>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
125668,k,459,terhenti,dasar,
125668.1,x,,ter- + <hent> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
125668.2,v,,ter- + <henti>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
125668.3,x,,<terhent> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
125669,k,0,terhenti-henti,dasar,
125669.1,x,,ter- + <hent> [-] <r> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [49] [RD] ter-|
125669.2,v,,ter- + <henti> [-] <r>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [49] [RD] ter-|
,,,,,
125670,k,3,terhentikan,dasar,
125670.1,v,,ter- + <henti> + -kan,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
125670.2,x,,ter- + <hentik> + -an,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
125670.3,x,,ter- + <hentikan>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
125670.4,x,,<terhenti> + -kan,bentukan,[29] [S] -kan + (<all>)
125670.5,x,,<terhentik> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
125671,v,5,terhentilah,dasar,
125671.1,x,,ter- + <hentilah>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
125671.2,x,,<terhenti> + -lah,bentukan,[31] [FS] -lah + (<all>)
125671.3,x,,ter- + <hent> + -i + -lah,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [31] [FS] -lah + (<all>)
125671.4,v,,ter- + <henti> + -lah,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [31] [FS] -lah + (<all>)
125671.5,x,,<terhent> + -i + -lah,bentukan,[28] [S] -i + (<all>) => [31] [FS] -lah + (<all>)
,,,,,
125672,v,34,terhentinya,dasar,
125672.1,x,,ter- + <hentinya>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
125672.2,x,,<terhenti> + -nya,bentukan,[34] [SFS] -nya + (<all>)
125672.3,x,,ter- + <hent> + -i + -nya,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [34] [SFS] -nya + (<all>)
125672.4,v,,ter- + <henti> + -nya,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [34] [SFS] -nya + (<all>)
125672.5,x,,<terhent> + -i + -nya,bentukan,[28] [S] -i + (<all>) => [34] [SFS] -nya + (<all>)
,,,,,
125673,k,83,terhenyak,dasar,
125673.1,v,,ter- + <henyak>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
125674,k,93,terheran-heran,dasar,
125674.1,x,,ter- + <her> [-] <r> + -an,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [49] [RD] ter-|
125674.2,v,,ter- + <heran> [-] <r>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [49] [RD] ter-|
,,,,,
125675,v,2,terheran-herannya,dasar,
125675.1,x,,ter- + <her> [-] <r> + -annya,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [49] [RD] ter-|
125675.2,x,,ter- + <heran> [-] <r> + -nya,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [49] [RD] ter-|
125675.3,x,,ter- + <her> [-] <r> + -an + -nya,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [49] [RD] ter-| => [34] [SFS] -nya + (<all>)
125675.4,v,,ter- + <heran> [-] <r> + -nya,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [49] [RD] ter-| => [34] [SFS] -nya + (<all>)
,,,,,
125676,k,2,terhias,dasar,
125676.1,v,,ter- + <hias>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
125677,k,80,terhibur,dasar,
125677.1,v,,ter- + <hibur>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
125678,k,50,terhidang,dasar,
125678.1,v,,ter- + <hidang>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
125679,k,26,terhidrasi,dasar,
125679.1,x,,ter- + <hidras> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
125679.2,v,,ter- + <hidrasi>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
125679.3,x,,<terhidras> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
125680,v,3,terhidrat,dasar,
125680.1,v,,ter- + <hidrat>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
,,,,,
125681,k,3,terhidrogenasi,dasar,
125681.1,x,,ter- + <hidrogenas> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
125681.2,v,,ter- + <hidrogenasi>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
125681.3,x,,<terhidrogenas> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
125682,k,0,terhidroksilasi,dasar,
125682.1,x,,ter- + <hidroksilas> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
125682.2,v,,ter- + <hidroksilasi>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
125682.3,x,,<terhidroksilas> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
125683,v,11,terhidrolisis,dasar,
125683.1,v,,ter- + <hidrolisis>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
125683.2,x,,<terhidrolisi> + [-is:-s],bentukan,[177] [S] -is + (i)
125683.3,x,,<terhidrolis> + -is,bentukan,[178] [S] -is + (<others>)
,,,,,
125684,v,2,terhilirisasi,dasar,
125684.1,x,,ter- + <hilirisas> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
125684.2,v,,ter- + <hilirisasi>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an)
125684.3,x,,<terhilirisas> + -i,bentukan,[28] [S] -i + (<all>)
