Nomor,KP,Jumlah,Entri,Tipe,Pembentukan,
27958,v,281,dilontarkan,dasar,,
27958.1,v,,di- + <lontar> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27958.2,x,,di- + <lontarkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27958.3,x,,<dilontar> + -kan,bentukan,[29] [S] -kan + (<all>),
27958.4,x,,<dilontark> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27959,v,15,dilontarkannya,dasar,,
27959.1,x,,di- + <lontarkannya>,bentukan,[37] di- + (<all>) + (-i;-kan),
27959.2,x,,<dilontarkan> + -nya,bentukan,[34] [SFS] -nya + (<all>),
27959.3,v,,di- + <lontar> + -kan + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
27959.4,x,,di- + <lontarkan> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
27959.5,x,,<dilontar> + -kan + -nya,bentukan,[29] [S] -kan + (<all>) => [34] [SFS] -nya + (<all>),
27959.6,x,,<dilontark> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>),
,,,,,,
27960,v,6,diluangkan,dasar,,
27960.1,v,,di- + <luang> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27960.2,x,,di- + <luangkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27960.3,x,,<diluang> + -kan,bentukan,[29] [S] -kan + (<all>),
27960.4,x,,<diluangk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27961,v,3,diluapi,dasar,,
27961.1,v,,di- + <luap> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
27961.2,x,,di- + <luapi>,bentukan,[37] di- + (<all>) + (-i;-kan),
27961.3,x,,<diluap> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
27962,v,6,diluapkan,dasar,,
27962.1,v,,di- + <luap> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27962.2,x,,di- + <luapkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27962.3,x,,<diluap> + -kan,bentukan,[29] [S] -kan + (<all>),
27962.4,x,,<diluapk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27963,v,2,diluaskan,dasar,,
27963.1,v,,di- + <luas> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27963.2,x,,di- + <luaskan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27963.3,x,,<diluas> + -kan,bentukan,[29] [S] -kan + (<all>),
27963.4,x,,<diluask> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27964,v,17,dilubangi,dasar,,
27964.1,v,,di- + <lubang> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
27964.2,x,,di- + <lubangi>,bentukan,[37] di- + (<all>) + (-i;-kan),
27964.3,x,,<dilubang> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
27965,v,2,dilubanginya,dasar,,
27965.1,x,,di- + <lubanginya>,bentukan,[37] di- + (<all>) + (-i;-kan),
27965.2,x,,<dilubangi> + -nya,bentukan,[34] [SFS] -nya + (<all>),
27965.3,v,,di- + <lubang> + -i + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
27965.4,x,,di- + <lubangi> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
27965.5,x,,<dilubang> + -i + -nya,bentukan,[28] [S] -i + (<all>) => [34] [SFS] -nya + (<all>),
,,,,,,
27966,v,37,dilucuti,dasar,,
27966.1,v,,di- + <lucut> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
27966.2,x,,di- + <lucuti>,bentukan,[37] di- + (<all>) + (-i;-kan),
27966.3,x,,<dilucut> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
27967,v,3,dilucutinya,dasar,,
27967.1,x,,di- + <lucutinya>,bentukan,[37] di- + (<all>) + (-i;-kan),
27967.2,x,,<dilucuti> + -nya,bentukan,[34] [SFS] -nya + (<all>),
27967.3,v,,di- + <lucut> + -i + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
27967.4,x,,di- + <lucuti> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
27967.5,x,,<dilucut> + -i + -nya,bentukan,[28] [S] -i + (<all>) => [34] [SFS] -nya + (<all>),
,,,,,,
27968,v,8,diludahi,dasar,,
27968.1,v,,di- + <ludah> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
27968.2,x,,di- + <ludahi>,bentukan,[37] di- + (<all>) + (-i;-kan),
27968.3,x,,<diludah> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
27969,k,0,diluen,dasar,,
27969.1,x,,di- + <luen>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
27970,v,5,dilugaskan,dasar,,
27970.1,v,,di- + <lugas> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27970.2,x,,di- + <lugaskan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27970.3,x,,<dilugas> + -kan,bentukan,[29] [S] -kan + (<all>),
27970.4,x,,<dilugask> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27971,v,30,dilukai,dasar,,
27971.1,v,,di- + <luka> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
27971.2,x,,di- + <lukai>,bentukan,[37] di- + (<all>) + (-i;-kan),
27971.3,x,,<diluka> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
27972,v,40,dilukis,dasar,,
27972.1,v,,di- + <lukis>,bentukan,[37] di- + (<all>) + (-i;-kan),
27972.2,x,,<diluki> + [-is:-s],bentukan,[177] [S] -is + (i),
27972.3,x,,<diluk> + -is,bentukan,[178] [S] -is + (<others>),
,,,,,,
27973,v,2,dilukisi,dasar,,
27973.1,v,,di- + <lukis> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
27973.2,x,,di- + <lukisi>,bentukan,[37] di- + (<all>) + (-i;-kan),
27973.3,x,,<dilukis> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
27974,v,63,dilukiskan,dasar,,
27974.1,v,,di- + <lukis> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27974.2,x,,di- + <lukiskan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27974.3,x,,<dilukis> + -kan,bentukan,[29] [S] -kan + (<all>),
27974.4,x,,<dilukisk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27975,v,8,dilukiskannya,dasar,,
27975.1,x,,di- + <lukiskannya>,bentukan,[37] di- + (<all>) + (-i;-kan),
27975.2,x,,<dilukiskan> + -nya,bentukan,[34] [SFS] -nya + (<all>),
27975.3,v,,di- + <lukis> + -kan + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
27975.4,x,,di- + <lukiskan> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
27975.5,x,,<dilukis> + -kan + -nya,bentukan,[29] [S] -kan + (<all>) => [34] [SFS] -nya + (<all>),
27975.6,x,,<dilukisk> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>),
,,,,,,
27976,v,8,dilukisnya,dasar,,
27976.1,x,,di- + <lukisnya>,bentukan,[37] di- + (<all>) + (-i;-kan),
27976.2,x,,<dilukis> + -nya,bentukan,[34] [SFS] -nya + (<all>),
27976.3,v,,di- + <lukis> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
27976.4,x,,<diluki> + [-is:-s] + -nya,bentukan,[177] [S] -is + (i) => [34] [SFS] -nya + (<all>),
27976.5,x,,<diluk> + -is + -nya,bentukan,[178] [S] -is + (<others>) => [34] [SFS] -nya + (<all>),
,,,,,,
27977,v,2,diluluhkan,dasar,,
27977.1,v,,di- + <luluh> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27977.2,x,,di- + <luluhkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27977.3,x,,<diluluh> + -kan,bentukan,[29] [S] -kan + (<all>),
27977.4,x,,<diluluhk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27978,v,12,diluluskan,dasar,,
27978.1,v,,di- + <lulus> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27978.2,x,,di- + <luluskan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27978.3,x,,<dilulus> + -kan,bentukan,[29] [S] -kan + (<all>),
27978.4,x,,<dilulusk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27979,v,3,dilumasi,dasar,,
27979.1,v,,di- + <lumas> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
27979.2,x,,di- + <lumasi>,bentukan,[37] di- + (<all>) + (-i;-kan),
27979.3,x,,<dilumas> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
27980,v,9,dilumat,dasar,,
27980.1,v,,di- + <lumat>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
27981,v,4,dilumatkan,dasar,,
27981.1,v,,di- + <lumat> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27981.2,x,,di- + <lumatkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27981.3,x,,<dilumat> + -kan,bentukan,[29] [S] -kan + (<all>),
27981.4,x,,<dilumatk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27982,v,38,dilumpuhkan,dasar,,
27982.1,v,,di- + <lumpuh> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27982.2,x,,di- + <lumpuhkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27982.3,x,,<dilumpuh> + -kan,bentukan,[29] [S] -kan + (<all>),
27982.4,x,,<dilumpuhk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27983,v,30,dilumuri,dasar,,
27983.1,v,,di- + <lumur> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
27983.2,x,,di- + <lumuri>,bentukan,[37] di- + (<all>) + (-i;-kan),
27983.3,x,,<dilumur> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
27984,v,2,dilumurkan,dasar,,
27984.1,v,,di- + <lumur> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27984.2,x,,di- + <lumurkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27984.3,x,,<dilumur> + -kan,bentukan,[29] [S] -kan + (<all>),
27984.4,x,,<dilumurk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27985,v,6,dilunakkan,dasar,,
27985.1,v,,di- + <lunak> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27985.2,x,,di- + <lunakkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27985.3,x,,<dilunak> + -kan,bentukan,[29] [S] -kan + (<all>),
27985.4,x,,<dilunakk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27986,v,128,dilunasi,dasar,,
27986.1,v,,di- + <lunas> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
27986.2,x,,di- + <lunasi>,bentukan,[37] di- + (<all>) + (-i;-kan),
27986.3,x,,<dilunas> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
27987,v,5,dilunasinya,dasar,,
27987.1,x,,di- + <lunasinya>,bentukan,[37] di- + (<all>) + (-i;-kan),
27987.2,x,,<dilunasi> + -nya,bentukan,[34] [SFS] -nya + (<all>),
27987.3,v,,di- + <lunas> + -i + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
27987.4,x,,di- + <lunasi> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
27987.5,x,,<dilunas> + -i + -nya,bentukan,[28] [S] -i + (<all>) => [34] [SFS] -nya + (<all>),
,,,,,,
27988,v,3,dilunaskan,dasar,,
27988.1,v,,di- + <lunas> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27988.2,x,,di- + <lunaskan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27988.3,x,,<dilunas> + -kan,bentukan,[29] [S] -kan + (<all>),
27988.4,x,,<dilunask> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27989,v,2,dilunaskannya,dasar,,
27989.1,x,,di- + <lunaskannya>,bentukan,[37] di- + (<all>) + (-i;-kan),
27989.2,x,,<dilunaskan> + -nya,bentukan,[34] [SFS] -nya + (<all>),
27989.3,v,,di- + <lunas> + -kan + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
27989.4,x,,di- + <lunaskan> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
27989.5,x,,<dilunas> + -kan + -nya,bentukan,[29] [S] -kan + (<all>) => [34] [SFS] -nya + (<all>),
27989.6,x,,<dilunask> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>),
,,,,,,
27990,v,734,diluncurkan,dasar,,
27990.1,v,,di- + <luncur> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27990.2,x,,di- + <luncurkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27990.3,x,,<diluncur> + -kan,bentukan,[29] [S] -kan + (<all>),
27990.4,x,,<diluncurk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27991,v,35,diluncurkannya,dasar,,
27991.1,x,,di- + <luncurkannya>,bentukan,[37] di- + (<all>) + (-i;-kan),
27991.2,x,,<diluncurkan> + -nya,bentukan,[34] [SFS] -nya + (<all>),
27991.3,v,,di- + <luncur> + -kan + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
27991.4,x,,di- + <luncurkan> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
27991.5,x,,<diluncur> + -kan + -nya,bentukan,[29] [S] -kan + (<all>) => [34] [SFS] -nya + (<all>),
27991.6,x,,<diluncurk> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>),
,,,,,,
27992,v,3,dilungsurkan,dasar,,
27992.1,v,,di- + <lungsur> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27992.2,x,,di- + <lungsurkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27992.3,x,,<dilungsur> + -kan,bentukan,[29] [S] -kan + (<all>),
27992.4,x,,<dilungsurk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27993,v,2,dilunturkan,dasar,,
27993.1,v,,di- + <luntur> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27993.2,x,,di- + <lunturkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27993.3,x,,<diluntur> + -kan,bentukan,[29] [S] -kan + (<all>),
27993.4,x,,<dilunturk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27994,v,289,dilupakan,dasar,,
27994.1,v,,di- + <lupa> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27994.2,x,,di- + <lupakan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27994.3,x,,<dilupa> + -kan,bentukan,[29] [S] -kan + (<all>),
27994.4,x,,<dilupak> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27995,v,18,dilupakannya,dasar,,
27995.1,x,,di- + <lupakannya>,bentukan,[37] di- + (<all>) + (-i;-kan),
27995.2,x,,<dilupakan> + -nya,bentukan,[34] [SFS] -nya + (<all>),
