Nomor,KP,Jumlah,Entri,Tipe,Pembentukan
111138,k,56,sarasehan,dasar,
111138.1,x,,<saraseh> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
111139,v,30,saraswati,dasar,
111139.1,x,,<saraswat> + -i,bentukan,[28] [S] -i + (<all>)
111139.2,x,,<saras> + -wati,bentukan,[181] [S] -wati + (<all>)
,,,,,
111140,c,386,sarat,dasar,syarat
,,,,,
111141,k,0,sarat bertepas,dasar,
,,,,,
111142,k,0,sarau,dasar,
,,,,,
111143,k,0,saravon,dasar,
,,,,,
111144,k,0,sarawedi,dasar,
111144.1,x,,<sarawed> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
111145,k,0,sarbas,dasar,
,,,,,
111146,k,27,sarden,dasar,
,,,,,
111147,k,0,sardencis,dasar,
111147.1,x,,<sardenci> + [-is:-s],bentukan,[177] [S] -is + (i)
111147.2,x,,<sardenc> + -is,bentukan,[178] [S] -is + (<others>)
,,,,,
111148,k,0,sardonik,dasar,
,,,,,
111149,k,9,sare,dasar,
,,,,,
111150,k,0,sarean,dasar,
111150.1,x,,<sare> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
111151,k,3,sareh,dasar,
,,,,,
111152,c,42,sarekat,dasar,serikat
,,,,,
111153,k,5,saren,dasar,
,,,,,
111154,c,2,sarengat,dasar,syariat
,,,,,
111155,k,0,sarenkima,dasar,
,,,,,
111156,t,4,saresehan,dasar,sarasehan
111156.1,x,,<sareseh> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
111157,k,0,sarhad,dasar,
,,,,,
111158,k,477,sari,dasar,
111158.1,x,,<sar> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
111159,k,0,sari berita,dasar,
,,,,,
111160,k,0,sari buah,dasar,
,,,,,
111161,k,0,sari pati,dasar,
111161.1,x,,<sari pat> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
111162,k,7,sari-sari,dasar,
111162.1,v,,<sari> [-] <r>,bentukan,[23] [RD] |
