Nomor,KP,Jumlah,Entri,Tipe,Pembentukan,,,,,,,
121961.1,x,,<tanda siar> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
121962,k,0,tanda silang,dasar,,,,,,,,
,,,,,,,,,,,,
121963,k,0,tanda tambah,dasar,,,,,,,,
,,,,,,,,,,,,
121964,k,0,tanda tangan,dasar,,,,,,,,
121964.1,x,,<tanda tang> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
121965,k,0,tanda tangan digital,dasar,,,,,,,,
,,,,,,,,,,,,
121966,k,0,tanda tangan elektronik,dasar,,,,,,,,
,,,,,,,,,,,,
121967,k,0,tanda tanya,dasar,,,,,,,,
121967.1,x,,<tanda ta> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,,,,
,,,,,,,,,,,,
121968,k,0,tanda terima,dasar,,,,,,,,
,,,,,,,,,,,,
121969,k,0,tanda titik,dasar,,,,,,,,
,,,,,,,,,,,,
121970,k,0,tanda titik dua,dasar,,,,,,,,
,,,,,,,,,,,,
121971,k,0,tanda topan,dasar,,,,,,,,
121971.1,x,,<tanda top> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
121972,k,0,tanda usaha,dasar,,,,,,,,
,,,,,,,,,,,,
121973,k,0,tanda video,dasar,,,,,,,,
,,,,,,,,,,,,
121974,v,636,tanda-tanda,dasar,,,,,,,,
121974.1,v,,<tanda> [-] <r>,bentukan,[23] [RD] |,,,,,,,
121974.2,x,,<ta> + [-anda:-nda] [-] <r> + [-anda:-nda],bentukan,[183] [S] -anda + (i;u;a;[k:]) => [23] [RD] |,,,,,,,
121974.3,x,,<tan> + [-anda:-da] [-] <r> + [-anda:-da],bentukan,[184] [S] -anda + (an) => [23] [RD] |,,,,,,,
121974.4,x,,<t> + -anda [-] <r> + -anda,bentukan,[185] [S] -anda + (<others>) => [23] [RD] |,,,,,,,
,,,,,,,,,,,,
121975,k,0,tanda-tanda khusus,dasar,,,,,,,,
,,,,,,,,,,,,
121976,v,22,tanda-tandanya,dasar,,,,,,,,
121976.1,x,,<tanda> [-] <r> + -nya,bentukan,[23] [RD] |,,,,,,,
121976.2,x,,<ta> + [-anda:-nda] [-] <r> + [-anda:-nda] + -nya,bentukan,[183] [S] -anda + (i;u;a;[k:]) => [23] [RD] |,,,,,,,
121976.3,x,,<tan> + [-anda:-da] [-] <r> + [-anda:-da] + -nya,bentukan,[184] [S] -anda + (an) => [23] [RD] |,,,,,,,
121976.4,x,,<t> + -anda [-] <r> + -anda + -nya,bentukan,[185] [S] -anda + (<others>) => [23] [RD] |,,,,,,,
121976.5,v,,<tanda> [-] <r> + -nya,bentukan,[23] [RD] | => [34] [SFS] -nya + (<all>),,,,,,,
121976.6,x,,<ta> + [-anda:-nda] [-] <r> + [-anda:-nda] + -nya,bentukan,[183] [S] -anda + (i;u;a;[k:]) => [23] [RD] | => [34] [SFS] -nya + (<all>),,,,,,,
121976.7,x,,<tan> + [-anda:-da] [-] <r> + [-anda:-da] + -nya,bentukan,[184] [S] -anda + (an) => [23] [RD] | => [34] [SFS] -nya + (<all>),,,,,,,
121976.8,x,,<t> + -anda [-] <r> + -anda + -nya,bentukan,[185] [S] -anda + (<others>) => [23] [RD] | => [34] [SFS] -nya + (<all>),,,,,,,
,,,,,,,,,,,,
121977,v,34,tandai,dasar,,,,,,,,
121977.1,v,,<tanda> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
121978,v,4,tandailah,dasar,,,,,,,,
121978.1,x,,<tandai> + -lah,bentukan,[31] [FS] -lah + (<all>),,,,,,,
121978.2,v,,<tanda> + -i + -lah,bentukan,[28] [S] -i + (<all>) => [31] [FS] -lah + (<all>),,,,,,,
,,,,,,,,,,,,
121979,k,4,tandak,dasar,,,,,,,,
,,,,,,,,,,,,
121980,v,38,tandan,dasar,,,,,,,,
121980.1,x,,<tand> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
121981,k,0,tandan bunga,dasar,,,,,,,,
,,,,,,,,,,,,
121982,k,0,tandan ekor,dasar,,,,,,,,
,,,,,,,,,,,,
121983,k,0,tandan segar,dasar,,,,,,,,
,,,,,,,,,,,,
121984,v,2,tandan-tandan,dasar,,,,,,,,
121984.1,v,,<tandan> [-] <r>,bentukan,[23] [RD] |,,,,,,,
121984.2,x,,<tand> + -an [-] <r> + -an,bentukan,[38] [S] -an + (<all>) => [23] [RD] |,,,,,,,
,,,,,,,,,,,,
121985,k,82,tandang,dasar,,,,,,,,
,,,,,,,,,,,,
121986,v,70,tandanya,dasar,,,,,,,,
121986.1,v,,<tanda> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,,,,
121986.2,x,,<ta> + [-anda:-nda] + -nya,bentukan,[183] [S] -anda + (i;u;a;[k:]) => [34] [SFS] -nya + (<all>),,,,,,,
121986.3,x,,<tan> + [-anda:-da] + -nya,bentukan,[184] [S] -anda + (an) => [34] [SFS] -nya + (<all>),,,,,,,
121986.4,x,,<t> + -anda + -nya,bentukan,[185] [S] -anda + (<others>) => [34] [SFS] -nya + (<all>),,,,,,,
,,,,,,,,,,,,
121987,k,253,tandas,dasar,,,,,,,,
,,,,,,,,,,,,
121988,v,5,tandasku,dasar,,,,,,,,
121988.1,v,,<tandas> + -ku,bentukan,[32] [SFS] -ku + (<all>),,,,,,,
,,,,,,,,,,,,
121989,v,201,tandasnya,dasar,,,,,,,,
121989.1,v,,<tandas> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,,,,
,,,,,,,,,,,,
121990,c,53,tandatangan,dasar,tanda tangan,,,,,,,
121990.1,x,,<tandatang> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
121991,k,0,tandaya,dasar,,,,,,,,
,,,,,,,,,,,,
121992,k,27,tandem,dasar,,,,,,,,
,,,,,,,,,,,,
121993,k,0,tandia,dasar,,,,,,,,
,,,,,,,,,,,,
121994,k,0,tandik,dasar,,,,,,,,
,,,,,,,,,,,,
121995,k,4,tandikat,dasar,,,,,,,,
,,,,,,,,,,,,
121996,k,0,tandil,dasar,,,,,,,,
,,,,,,,,,,,,
121997,k,103,tanding,dasar,,,,,,,,
,,,,,,,,,,,,
121998,k,0,tanding ganda,dasar,,,,,,,,
121998.1,x,,<tanding ga> + [-anda:-nda],bentukan,[183] [S] -anda + (i;u;a;[k:]),,,,,,,
121998.2,x,,<tanding gan> + [-anda:-da],bentukan,[184] [S] -anda + (an),,,,,,,
121998.3,x,,<tanding g> + -anda,bentukan,[185] [S] -anda + (<others>),,,,,,,
,,,,,,,,,,,,
121999,k,106,tandingan,dasar,,,,,,,,
121999.1,v,,<tanding> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122000,v,2,tandinganku,dasar,,,,,,,,
122000.1,x,,<tandingan> + -ku,bentukan,[32] [SFS] -ku + (<all>),,,,,,,
122000.2,v,,<tanding> + -an + -ku,bentukan,[38] [S] -an + (<all>) => [32] [SFS] -ku + (<all>),,,,,,,
,,,,,,,,,,,,
122001,v,24,tandingannya,dasar,,,,,,,,
122001.1,x,,<tandingan> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,,,,
122001.2,v,,<tanding> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>),,,,,,,
,,,,,,,,,,,,
122002,v,2,tandingkan,dasar,,,,,,,,
122002.1,v,,<tanding> + -kan,bentukan,[29] [S] -kan + (<all>),,,,,,,
122002.2,x,,<tandingk> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122003,v,8,tandingnya,dasar,,,,,,,,
122003.1,v,,<tanding> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,,,,
,,,,,,,,,,,,
122004,k,4,tando,dasar,,,,,,,,
,,,,,,,,,,,,
122005,k,15,tandon,dasar,,,,,,,,
,,,,,,,,,,,,
122006,k,0,tandon air,dasar,,,,,,,,
,,,,,,,,,,,,
122007,k,0,tandon darah,dasar,,,,,,,,
,,,,,,,,,,,,
122008,k,0,tandor,dasar,,,,,,,,
,,,,,,,,,,,,
122009,k,32,tandu,dasar,,,,,,,,
,,,,,,,,,,,,
122010,k,135,tanduk,dasar,,,,,,,,
,,,,,,,,,,,,
122011,k,0,tanduk belakang,dasar,,,,,,,,
,,,,,,,,,,,,
122012,k,0,tanduk lok,dasar,,,,,,,,
,,,,,,,,,,,,
122013,k,23,tandukan,dasar,,,,,,,,
122013.1,x,,<tandu> + -kan,bentukan,[29] [S] -kan + (<all>),,,,,,,
122013.2,v,,<tanduk> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122014,v,3,tandukannya,dasar,,,,,,,,
122014.1,x,,<tandukan> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,,,,
122014.2,x,,<tandu> + -kan + -nya,bentukan,[29] [S] -kan + (<all>) => [34] [SFS] -nya + (<all>),,,,,,,
122014.3,v,,<tanduk> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>),,,,,,,
,,,,,,,,,,,,
122015,k,0,tandun,dasar,,,,,,,,
,,,,,,,,,,,,
122016,k,8,tandur,dasar,,,,,,,,
,,,,,,,,,,,,
122017,k,0,tandur alih,dasar,,,,,,,,
,,,,,,,,,,,,
122018,k,0,tandur kulit,dasar,,,,,,,,
,,,,,,,,,,,,
122019,k,0,tandur-menandur,dasar,,,,,,,,
122019.1,v,,<tandur> [-] [meng-:me-] + <r>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan) => [24] [RD] |meng-,,,,,,,
,,,,,,,,,,,,
122020,k,53,tandus,dasar,,,,,,,,
,,,,,,,,,,,,
122021,k,0,taneyan lanjang,dasar,,,,,,,,
,,,,,,,,,,,,
122022,k,0,tanfiziah,dasar,,,,,,,,
122022.1,v,,<tanfiz> + -iah,bentukan,[175] [S] -iah + (<others>),,,,,,,
,,,,,,,,,,,,
122023,c,144,tang,dasar,tank,,,,,,,
,,,,,,,,,,,,
122024,k,0,tang cucut,dasar,,,,,,,,
,,,,,,,,,,,,
122025,k,0,tang kombinasi,dasar,,,,,,,,
122025.1,x,,<tang kombinas> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122026,k,0,tang pengupas kabel,dasar,,,,,,,,
,,,,,,,,,,,,
122027,k,4739,tangan,dasar,,,,,,,,
122027.1,x,,<tang> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122028,k,0,tangan bagian dalam,dasar,,,,,,,,
,,,,,,,,,,,,
122029,k,0,tangan baju,dasar,,,,,,,,
,,,,,,,,,,,,
122030,k,0,tangan bebas,dasar,,,,,,,,
,,,,,,,,,,,,
122031,k,0,tangan berulas,dasar,,,,,,,,
,,,,,,,,,,,,
122032,k,0,tangan besi,dasar,,,,,,,,
122032.1,x,,<tangan bes> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122033,k,0,tangan di atas,dasar,,,,,,,,
,,,,,,,,,,,,
122034,k,0,tangan di bawah,dasar,,,,,,,,
,,,,,,,,,,,,
122035,k,0,tangan dingin,dasar,,,,,,,,
,,,,,,,,,,,,
122036,k,0,tangan gatal,dasar,,,,,,,,
,,,,,,,,,,,,
122037,k,0,tangan hampa,dasar,,,,,,,,
,,,,,,,,,,,,
122038,k,0,tangan jahat,dasar,,,,,,,,
,,,,,,,,,,,,
122039,k,0,tangan jahil,dasar,,,,,,,,
,,,,,,,,,,,,
122040,k,0,tangan kanan,dasar,,,,,,,,
122040.1,x,,<tangan kan> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122041,k,0,tangan kemudi,dasar,,,,,,,,
122041.1,x,,<tangan kemud> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122042,k,0,tangan kosong,dasar,,,,,,,,
,,,,,,,,,,,,
122043,k,0,tangan kotor,dasar,,,,,,,,
,,,,,,,,,,,,
122044,k,0,tangan naik,dasar,,,,,,,,
,,,,,,,,,,,,
