Nomor,KP,Jumlah,Entri,Tipe,Pembentukan,,,,,,,
122115.1,x,,<tanggapan> [-] <r>,bentukan,[23] [RD] |,,,,,,,
122115.2,v,,<tanggap> + -an [-] <r> + -an,bentukan,[38] [S] -an + (<all>) => [23] [RD] |,,,,,,,
,,,,,,,,,,,,
122116,v,2,tanggapanku,dasar,,,,,,,,
122116.1,x,,<tanggapan> + -ku,bentukan,[32] [SFS] -ku + (<all>),,,,,,,
122116.2,v,,<tanggap> + -an + -ku,bentukan,[38] [S] -an + (<all>) => [32] [SFS] -ku + (<all>),,,,,,,
,,,,,,,,,,,,
122117,v,3,tanggapanmu,dasar,,,,,,,,
122117.1,x,,<tanggapan> + -mu,bentukan,[33] [SFS] -mu + (<all>),,,,,,,
122117.2,v,,<tanggap> + -an + -mu,bentukan,[38] [S] -an + (<all>) => [33] [SFS] -mu + (<all>),,,,,,,
,,,,,,,,,,,,
122118,v,51,tanggapannya,dasar,,,,,,,,
122118.1,x,,<tanggapan> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,,,,
122118.2,v,,<tanggap> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>),,,,,,,
,,,,,,,,,,,,
122119,v,49,tanggapi,dasar,,,,,,,,
122119.1,v,,<tanggap> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122120,k,0,tanggar,dasar,,,,,,,,
,,,,,,,,,,,,
122121,k,0,tanggetong,dasar,,,,,,,,
,,,,,,,,,,,,
122122,k,0,tanggi,dasar,,,,,,,,
122122.1,x,,<tangg> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122123,k,3,tanggon,dasar,,,,,,,,
,,,,,,,,,,,,
122124,k,556,tangguh,dasar,,,,,,,,
,,,,,,,,,,,,
122125,v,8,tangguhkan,dasar,,,,,,,,
122125.1,v,,<tangguh> + -kan,bentukan,[29] [S] -kan + (<all>),,,,,,,
122125.2,x,,<tangguhk> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122126,v,5,tangguhnya,dasar,,,,,,,,
122126.1,v,,<tangguh> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,,,,
,,,,,,,,,,,,
122127,k,2,tanggui,dasar,,,,,,,,
122127.1,x,,<tanggu> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122128,k,2,tangguk,dasar,,,,,,,,
,,,,,,,,,,,,
122129,k,121,tanggul,dasar,,,,,,,,
,,,,,,,,,,,,
122130,k,0,tanggul alam,dasar,,,,,,,,
,,,,,,,,,,,,
122131,v,2,tanggul-tanggul,dasar,,,,,,,,
122131.1,v,,<tanggul> [-] <r>,bentukan,[23] [RD] |,,,,,,,
,,,,,,,,,,,,
122132,k,0,tanggulang,dasar,,,,,,,,
,,,,,,,,,,,,
122133,v,5,tanggulangi,dasar,,,,,,,,
122133.1,x,,<tanggulang> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122134,v,7,tanggulangin,dasar,,,,,,,,
,,,,,,,,,,,,
122135,v,3,tanggulnya,dasar,,,,,,,,
122135.1,v,,<tanggul> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,,,,
,,,,,,,,,,,,
122136,k,2583,tanggung,dasar,,,,,,,,
,,,,,,,,,,,,
122137,k,0,tanggung bulan,dasar,,,,,,,,
122137.1,x,,<tanggung bul> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122138,k,0,tanggung gugat,dasar,,,,,,,,
,,,,,,,,,,,,
122139,k,0,tanggung jawab,dasar,,,,,,,,
,,,,,,,,,,,,
122140,k,0,tanggung jawab mutlak,dasar,,,,,,,,
,,,,,,,,,,,,
122141,k,0,tanggung jawab sosial perusahaan,dasar,,,,,,,,
122141.1,x,,<tanggung jawab sosial perusaha> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122142,k,0,tanggung jawab wajib pajak,dasar,,,,,,,,
,,,,,,,,,,,,
122143,k,0,tanggung renteng,dasar,,,,,,,,
,,,,,,,,,,,,
122144,k,0,tanggung-menanggung,dasar,,,,,,,,
122144.1,v,,<tanggung> [-] [meng-:me-] + <r>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan) => [24] [RD] |meng-,,,,,,,
,,,,,,,,,,,,
122145,k,163,tanggung-tanggung,dasar,,,,,,,,
122145.1,v,,<tanggung> [-] <r>,bentukan,[23] [RD] |,,,,,,,
,,,,,,,,,,,,
122146,k,215,tanggungan,dasar,,,,,,,,
122146.1,v,,<tanggung> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122147,v,15,tanggungannya,dasar,,,,,,,,
122147.1,x,,<tanggungan> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,,,,
122147.2,v,,<tanggung> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>),,,,,,,
,,,,,,,,,,,,
122148,c,382,tanggungjawab,dasar,tanggung jawab,,,,,,,
,,,,,,,,,,,,
122149,k,300,tangis,dasar,,,,,,,,
122149.1,x,,<tangi> + [-is:-s],bentukan,[177] [S] -is + (i),,,,,,,
122149.2,x,,<tang> + -is,bentukan,[178] [S] -is + (<others>),,,,,,,
,,,,,,,,,,,,
122150,k,156,tangisan,dasar,,,,,,,,
122150.1,v,,<tangis> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122151,v,3,tangisan-tangisan,dasar,,,,,,,,
122151.1,x,,<tangisan> [-] <r>,bentukan,[23] [RD] |,,,,,,,
122151.2,v,,<tangis> + -an [-] <r> + -an,bentukan,[38] [S] -an + (<all>) => [23] [RD] |,,,,,,,
,,,,,,,,,,,,
122152,v,10,tangisanku,dasar,,,,,,,,
122152.1,x,,<tangisan> + -ku,bentukan,[32] [SFS] -ku + (<all>),,,,,,,
122152.2,v,,<tangis> + -an + -ku,bentukan,[38] [S] -an + (<all>) => [32] [SFS] -ku + (<all>),,,,,,,
,,,,,,,,,,,,
122153,v,7,tangisanmu,dasar,,,,,,,,
122153.1,x,,<tangisan> + -mu,bentukan,[33] [SFS] -mu + (<all>),,,,,,,
122153.2,v,,<tangis> + -an + -mu,bentukan,[38] [S] -an + (<all>) => [33] [SFS] -mu + (<all>),,,,,,,
,,,,,,,,,,,,
122154,v,23,tangisannya,dasar,,,,,,,,
122154.1,x,,<tangisan> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,,,,
122154.2,v,,<tangis> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>),,,,,,,
,,,,,,,,,,,,
122155,v,5,tangisi,dasar,,,,,,,,
122155.1,x,,<tangis> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122156,v,22,tangisku,dasar,,,,,,,,
122156.1,v,,<tangis> + -ku,bentukan,[32] [SFS] -ku + (<all>),,,,,,,
122156.2,x,,<tangi> + [-is:-s] + -ku,bentukan,[177] [S] -is + (i) => [32] [SFS] -ku + (<all>),,,,,,,
122156.3,x,,<tang> + -is + -ku,bentukan,[178] [S] -is + (<others>) => [32] [SFS] -ku + (<all>),,,,,,,
,,,,,,,,,,,,
122157,v,10,tangismu,dasar,,,,,,,,
122157.1,v,,<tangis> + -mu,bentukan,[33] [SFS] -mu + (<all>),,,,,,,
122157.2,x,,<tangi> + [-is:-s] + -mu,bentukan,[177] [S] -is + (i) => [33] [SFS] -mu + (<all>),,,,,,,
122157.3,x,,<tang> + -is + -mu,bentukan,[178] [S] -is + (<others>) => [33] [SFS] -mu + (<all>),,,,,,,
,,,,,,,,,,,,
122158,v,105,tangisnya,dasar,,,,,,,,
122158.1,v,,<tangis> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,,,,
122158.2,x,,<tangi> + [-is:-s] + -nya,bentukan,[177] [S] -is + (i) => [34] [SFS] -nya + (<all>),,,,,,,
122158.3,x,,<tang> + -is + -nya,bentukan,[178] [S] -is + (<others>) => [34] [SFS] -nya + (<all>),,,,,,,
,,,,,,,,,,,,
122159,k,0,tangkah,dasar,,,,,,,,
122159.1,x,,<tang> + -kah,bentukan,[30] [FS] -kah + (<all>),,,,,,,
,,,,,,,,,,,,
122160,k,3,tangkahan,dasar,,,,,,,,
122160.1,v,,<tangkah> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122161,k,111,tangkai,dasar,,,,,,,,
122161.1,x,,<tangka> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122162,k,0,tangkai anak,dasar,,,,,,,,
,,,,,,,,,,,,
122163,k,0,tangkai bedil,dasar,,,,,,,,
,,,,,,,,,,,,
122164,k,0,tangkai cerek,dasar,,,,,,,,
,,,,,,,,,,,,
122165,k,0,tangkai dayung,dasar,,,,,,,,
,,,,,,,,,,,,
122166,k,0,tangkai hati,dasar,,,,,,,,
122166.1,x,,<tangkai hat> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122167,k,0,tangkai kering,dasar,,,,,,,,
,,,,,,,,,,,,
122168,k,0,tangkai not,dasar,,,,,,,,
,,,,,,,,,,,,
122169,k,0,tangkai pena,dasar,,,,,,,,
,,,,,,,,,,,,
122170,k,0,tangkai putik,dasar,,,,,,,,
,,,,,,,,,,,,
122171,k,0,tangkai sari,dasar,,,,,,,,
122171.1,x,,<tangkai sar> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122172,k,0,tangkai sendok,dasar,,,,,,,,
,,,,,,,,,,,,
122173,k,0,tangkai sibur,dasar,,,,,,,,
,,,,,,,,,,,,
122174,k,0,tangkai tombak,dasar,,,,,,,,
,,,,,,,,,,,,
122175,v,6,tangkai-tangkai,dasar,,,,,,,,
122175.1,v,,<tangkai> [-] <r>,bentukan,[23] [RD] |,,,,,,,
122175.2,x,,<tangka> + -i [-] <r> + -i,bentukan,[28] [S] -i + (<all>) => [23] [RD] |,,,,,,,
,,,,,,,,,,,,
122176,k,0,tangkaian,dasar,,,,,,,,
122176.1,v,,<tangkai> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122177,v,30,tangkainya,dasar,,,,,,,,
122177.1,v,,<tangkai> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,,,,
122177.2,x,,<tangka> + -i + -nya,bentukan,[28] [S] -i + (<all>) => [34] [SFS] -nya + (<all>),,,,,,,
,,,,,,,,,,,,
122178,k,35,tangkal,dasar,,,,,,,,
,,,,,,,,,,,,
122179,k,395,tangkap,dasar,,,,,,,,
,,,,,,,,,,,,
122180,k,0,tangkap bola,dasar,,,,,,,,
,,,,,,,,,,,,
122181,d,0,tangkap tangan,dasar,,,,,,,,
122181.1,x,,<tangkap tang> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122182,v,2,tangkap-menangkap,dasar,,,,,,,,
122182.1,v,,<tangkap> [-] [meng-:me-] + <r>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan) => [24] [RD] |meng-,,,,,,,
,,,,,,,,,,,,
122183,k,197,tangkapan,dasar,,,,,,,,
122183.1,v,,<tangkap> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122184,k,0,tangkapan suara,dasar,,,,,,,,
,,,,,,,,,,,,
122185,v,3,tangkapan-tangkapan,dasar,,,,,,,,
122185.1,x,,<tangkapan> [-] <r>,bentukan,[23] [RD] |,,,,,,,
122185.2,v,,<tangkap> + -an [-] <r> + -an,bentukan,[38] [S] -an + (<all>) => [23] [RD] |,,,,,,,
,,,,,,,,,,,,
122186,v,3,tangkapanmu,dasar,,,,,,,,
122186.1,x,,<tangkapan> + -mu,bentukan,[33] [SFS] -mu + (<all>),,,,,,,
122186.2,v,,<tangkap> + -an + -mu,bentukan,[38] [S] -an + (<all>) => [33] [SFS] -mu + (<all>),,,,,,,
,,,,,,,,,,,,
122187,v,27,tangkapannya,dasar,,,,,,,,
122187.1,x,,<tangkapan> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,,,,
122187.2,v,,<tangkap> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>),,,,,,,
,,,,,,,,,,,,
122188,v,6,tangkaplah,dasar,,,,,,,,
122188.1,v,,<tangkap> + -lah,bentukan,[31] [FS] -lah + (<all>),,,,,,,
,,,,,,,,,,,,
122189,k,0,tangkar,dasar,,,,,,,,
,,,,,,,,,,,,
122190,k,0,tangkaran,dasar,,,,,,,,
122190.1,v,,<tangkar> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122191,k,107,tangkas,dasar,,,,,,,,
,,,,,,,,,,,,
122192,v,5,tangkasnya,dasar,,,,,,,,
122192.1,v,,<tangkas> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,,,,
,,,,,,,,,,,,
122193,k,0,tangkeb,dasar,,,,,,,,
,,,,,,,,,,,,
122194,k,0,tangker,dasar,,,,,,,,
,,,,,,,,,,,,
122195,k,0,tangkerean,dasar,,,,,,,,
122195.1,x,,<tangkere> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122196,k,242,tangki,dasar,,,,,,,,
122196.1,x,,<tangk> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122197,k,0,tangki air,dasar,,,,,,,,
,,,,,,,,,,,,
122198,k,0,tangki apung,dasar,,,,,,,,
,,,,,,,,,,,,
122199,k,0,tangki biolitik,dasar,,,,,,,,
,,,,,,,,,,,,
122200,k,0,tangki gas,dasar,,,,,,,,
,,,,,,,,,,,,
122201,k,0,tangki oli,dasar,,,,,,,,
122201.1,x,,<tangki ol> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122202,k,0,tangki pemanas air,dasar,,,,,,,,
,,,,,,,,,,,,
122203,k,0,tangki reservoir,dasar,,,,,,,,
,,,,,,,,,,,,
122204,k,0,tangki sedimentasi,dasar,,,,,,,,
122204.1,x,,<tangki sedimentas> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122205,k,0,tangki septik,dasar,,,,,,,,
,,,,,,,,,,,,
122206,k,0,tangki tampung,dasar,,,,,,,,
,,,,,,,,,,,,
122207,k,0,tangki timbun,dasar,,,,,,,,
,,,,,,,,,,,,
122208,k,0,tangki udara,dasar,,,,,,,,
,,,,,,,,,,,,
122209,v,7,tangki-tangki,dasar,,,,,,,,
122209.1,v,,<tangki> [-] <r>,bentukan,[23] [RD] |,,,,,,,
122209.2,x,,<tangk> + -i [-] <r> + -i,bentukan,[28] [S] -i + (<all>) => [23] [RD] |,,,,,,,
,,,,,,,,,,,,
122210,k,4,tangkil,dasar,,,,,,,,
,,,,,,,,,,,,
122211,v,5,tangkinya,dasar,,,,,,,,
122211.1,v,,<tangki> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,,,,
122211.2,x,,<tangk> + -i + -nya,bentukan,[28] [S] -i + (<all>) => [34] [SFS] -nya + (<all>),,,,,,,
,,,,,,,,,,,,
122212,k,265,tangkis,dasar,,,,,,,,
122212.1,x,,<tangki> + [-is:-s],bentukan,[177] [S] -is + (i),,,,,,,
122212.2,x,,<tangk> + -is,bentukan,[178] [S] -is + (<others>),,,,,,,
,,,,,,,,,,,,
122213,v,2,tangkis-menangkis,dasar,,,,,,,,
122213.1,v,,<tangkis> [-] [meng-:me-] + <r>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan) => [24] [RD] |meng-,,,,,,,
,,,,,,,,,,,,
122214,k,14,tangkisan,dasar,,,,,,,,
122214.1,v,,<tangkis> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122215,k,0,tangkring,dasar,,,,,,,,
,,,,,,,,,,,,
122216,k,2,tangkringan,dasar,,,,,,,,
122216.1,v,,<tangkring> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122217,v,11,tangkuban,dasar,,,,,,,,
122217.1,x,,<tangkub> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122218,k,0,tangkue,dasar,,,,,,,,
,,,,,,,,,,,,
122219,k,0,tangkuk,dasar,,,,,,,,
,,,,,,,,,,,,
122220,k,0,tangkul,dasar,,,,,,,,
,,,,,,,,,,,,
122221,k,5,tangkup,dasar,,,,,,,,
,,,,,,,,,,,,
122222,k,0,tangkup telentang,dasar,,,,,,,,
,,,,,,,,,,,,
122223,v,2,tangkupkan,dasar,,,,,,,,
122223.1,v,,<tangkup> + -kan,bentukan,[29] [S] -kan + (<all>),,,,,,,
122223.2,x,,<tangkupk> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122224,k,0,tangkur,dasar,,,,,,,,
,,,,,,,,,,,,
122225,k,0,tangkut,dasar,,,,,,,,
,,,,,,,,,,,,
122226,k,0,tanglapui,dasar,,,,,,,,
122226.1,x,,<tanglapu> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122227,k,2,tanglung,dasar,,,,,,,,
,,,,,,,,,,,,
122228,k,16,tango,dasar,,,,,,,,
,,,,,,,,,,,,
122229,k,0,tangsa,dasar,,,,,,,,
,,,,,,,,,,,,
122230,k,22,tangsel,dasar,,,,,,,,
,,,,,,,,,,,,
122231,k,18,tangsi,dasar,,,,,,,,
122231.1,x,,<tangs> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122232,v,3,tangsi-tangsi,dasar,,,,,,,,
122232.1,v,,<tangsi> [-] <r>,bentukan,[23] [RD] |,,,,,,,
122232.2,x,,<tangs> + -i [-] <r> + -i,bentukan,[28] [S] -i + (<all>) => [23] [RD] |,,,,,,,
,,,,,,,,,,,,
122233,k,394,tani,dasar,,,,,,,,
122233.1,x,,<tan> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122234,k,13,tania,dasar,,,,,,,,
,,,,,,,,,,,,
122235,k,0,tanih,dasar,,,,,,,,
,,,,,,,,,,,,
122236,k,0,tanih jenuh,dasar,,,,,,,,
,,,,,,,,,,,,
122237,k,58,tanin,dasar,,,,,,,,
,,,,,,,,,,,,
122238,k,4,tanjak,dasar,,,,,,,,
,,,,,,,,,,,,
122239,k,81,tanjakan,dasar,,,,,,,,
122239.1,x,,<tanja> + -kan,bentukan,[29] [S] -kan + (<all>),,,,,,,
122239.2,v,,<tanjak> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122240,v,2,tanjakan-tanjakan,dasar,,,,,,,,
122240.1,x,,<tanjakan> [-] <r>,bentukan,[23] [RD] |,,,,,,,
122240.2,x,,<tanja> + -kan [-] <r> + -kan,bentukan,[29] [S] -kan + (<all>) => [23] [RD] |,,,,,,,
122240.3,v,,<tanjak> + -an [-] <r> + -an,bentukan,[38] [S] -an + (<all>) => [23] [RD] |,,,,,,,
,,,,,,,,,,,,
122241,v,2,tanjakannya,dasar,,,,,,,,
122241.1,x,,<tanjakan> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,,,,
122241.2,x,,<tanja> + -kan + -nya,bentukan,[29] [S] -kan + (<all>) => [34] [SFS] -nya + (<all>),,,,,,,
122241.3,v,,<tanjak> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>),,,,,,,
,,,,,,,,,,,,
122242,k,2,tanji,dasar,,,,,,,,
122242.1,x,,<tanj> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122243,k,11,tanjidor,dasar,,,,,,,,
,,,,,,,,,,,,
122244,k,0,tanjidur,dasar,,,,,,,,
,,,,,,,,,,,,
122245,t,10,tanjong,dasar,tanjung,,,,,,,
,,,,,,,,,,,,
122246,k,2,tanju,dasar,,,,,,,,
,,,,,,,,,,,,
122247,k,0,tanjul,dasar,,,,,,,,
,,,,,,,,,,,,
122248,k,700,tanjung,dasar,,,,,,,,
,,,,,,,,,,,,
122249,k,0,tanjung balai,dasar,,,,,,,,
122249.1,x,,<tanjung bala> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122250,v,10,tanjungbalai,dasar,,,,,,,,
122250.1,x,,<tanjungbala> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122251,v,2,tanjungjabung,dasar,,,,,,,,
,,,,,,,,,,,,
122252,v,6,tanjungkarang,dasar,,,,,,,,
,,,,,,,,,,,,
122253,v,2,tanjungkluwung,dasar,,,,,,,,
,,,,,,,,,,,,
122254,k,0,tanjungpinang,dasar,,,,,,,,
,,,,,,,,,,,,
122255,v,11,tanjungpura,dasar,,,,,,,,
,,,,,,,,,,,,
122256,v,12,tanjungsari,dasar,,,,,,,,
122256.1,x,,<tanjungsar> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122257,k,2,tanjungselor,dasar,,,,,,,,
,,,,,,,,,,,,
122258,k,0,tanjur,dasar,,,,,,,,
,,,,,,,,,,,,
122259,k,152,tank,dasar,,,,,,,,
,,,,,,,,,,,,
122260,v,17,tank-tank,dasar,,,,,,,,
122260.1,v,,<tank> [-] <r>,bentukan,[23] [RD] |,,,,,,,
,,,,,,,,,,,,
122261,k,55,tanker,dasar,,,,,,,,
,,,,,,,,,,,,
122262,k,0,tanker minyak bumi,dasar,,,,,,,,
122262.1,x,,<tanker minyak bum> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122263,v,2,tanker-tanker,dasar,,,,,,,,
122263.1,x,,<tanker> [-] <r>,bentukan,[23] [RD] |,,,,,,,
,,,,,,,,,,,,
122264,k,0,tankobon,dasar,,,,,,,,
,,,,,,,,,,,,
122265,k,0,tanoturan,dasar,,,,,,,,
122265.1,x,,<tanotur> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122266,k,9502,tanpa,dasar,,,,,,,,
,,,,,,,,,,,,
122267,k,0,tanpa daksa,dasar,,,,,,,,
,,,,,,,,,,,,
122268,k,0,tanpa tanding,dasar,,,,,,,,
,,,,,,,,,,,,
122269,k,0,tanpa topeng,dasar,,,,,,,,
,,,,,,,,,,,,
122270,v,4,tanpaku,dasar,,,,,,,,
122270.1,v,,<tanpa> + -ku,bentukan,[32] [SFS] -ku + (<all>),,,,,,,
,,,,,,,,,,,,
122271,v,8,tanpamu,dasar,,,,,,,,
122271.1,v,,<tanpa> + -mu,bentukan,[33] [SFS] -mu + (<all>),,,,,,,
,,,,,,,,,,,,
122272,v,20,tanpanya,dasar,,,,,,,,
122272.1,v,,<tanpa> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,,,,
,,,,,,,,,,,,
122273,k,0,tansi,dasar,,,,,,,,
122273.1,x,,<tans> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122274,k,0,tansuara,dasar,,,,,,,,
,,,,,,,,,,,,
122275,v,6,tantalum,dasar,,,,,,,,
,,,,,,,,,,,,
122276,c,79,tantang,dasar,tentang,,,,,,,
,,,,,,,,,,,,
122277,k,2285,tantangan,dasar,,,,,,,,
122277.1,v,,<tantang> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122278,v,74,tantangan-tantangan,dasar,,,,,,,,
122278.1,x,,<tantangan> [-] <r>,bentukan,[23] [RD] |,,,,,,,
122278.2,v,,<tantang> + -an [-] <r> + -an,bentukan,[38] [S] -an + (<all>) => [23] [RD] |,,,,,,,
,,,,,,,,,,,,
122279,v,3,tantanganku,dasar,,,,,,,,
122279.1,x,,<tantangan> + -ku,bentukan,[32] [SFS] -ku + (<all>),,,,,,,
122279.2,v,,<tantang> + -an + -ku,bentukan,[38] [S] -an + (<all>) => [32] [SFS] -ku + (<all>),,,,,,,
,,,,,,,,,,,,
122280,v,2,tantanganmu,dasar,,,,,,,,
122280.1,x,,<tantangan> + -mu,bentukan,[33] [SFS] -mu + (<all>),,,,,,,
122280.2,v,,<tantang> + -an + -mu,bentukan,[38] [S] -an + (<all>) => [33] [SFS] -mu + (<all>),,,,,,,
,,,,,,,,,,,,
122281,v,138,tantangannya,dasar,,,,,,,,
122281.1,x,,<tantangan> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,,,,
122281.2,v,,<tantang> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>),,,,,,,
,,,,,,,,,,,,
122282,k,100,tante,dasar,,,,,,,,
,,,,,,,,,,,,
122283,k,0,tante girang,dasar,,,,,,,,
,,,,,,,,,,,,
122284,v,12,tante-tante,dasar,,,,,,,,
122284.1,v,,<tante> [-] <r>,bentukan,[23] [RD] |,,,,,,,
,,,,,,,,,,,,
122285,v,7,tanteku,dasar,,,,,,,,
122285.1,v,,<tante> + -ku,bentukan,[32] [SFS] -ku + (<all>),,,,,,,
,,,,,,,,,,,,
122286,v,7,tantemu,dasar,,,,,,,,
122286.1,v,,<tante> + -mu,bentukan,[33] [SFS] -mu + (<all>),,,,,,,
,,,,,,,,,,,,
122287,v,27,tantenya,dasar,,,,,,,,
122287.1,v,,<tante> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,,,,
,,,,,,,,,,,,
122288,k,6,tanti,dasar,,,,,,,,
122288.1,x,,<tant> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122289,k,28,tantiem,dasar,,,,,,,,
,,,,,,,,,,,,
122290,k,0,tantra,dasar,,,,,,,,
,,,,,,,,,,,,
122291,k,0,tantrayana,dasar,,,,,,,,
,,,,,,,,,,,,
122292,k,12,tantri,dasar,,,,,,,,
122292.1,x,,<tantr> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122293,k,0,tantrisme,dasar,,,,,,,,
122293.1,x,,<tantr> + -isme,bentukan,[89] [S] -isme + (<all>),,,,,,,
,,,,,,,,,,,,
122294,k,8,tantrum,dasar,,,,,,,,
,,,,,,,,,,,,
122295,k,0,tantulak,dasar,,,,,,,,
,,,,,,,,,,,,
122296,k,0,tantulu,dasar,,,,,,,,
,,,,,,,,,,,,
122297,k,20,tanur,dasar,,,,,,,,
,,,,,,,,,,,,
122298,k,0,tanur tinggi,dasar,,,,,,,,
122298.1,x,,<tanur tingg> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122299,k,0,tanur tiup,dasar,,,,,,,,
,,,,,,,,,,,,
122300,k,0,tanwarna,dasar,,,,,,,,
,,,,,,,,,,,,
122301,k,0,tanwin,dasar,,,,,,,,
,,,,,,,,,,,,
122302,k,10,tanwir,dasar,,,,,,,,
,,,,,,,,,,,,
122303,k,0,tanwujud,dasar,,,,,,,,
,,,,,,,,,,,,
122304,k,1415,tanya,dasar,,,,,,,,
122304.1,x,,<ta> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,,,,
,,,,,,,,,,,,
122305,k,0,tanya jawab,dasar,,,,,,,,
,,,,,,,,,,,,
122306,k,3,tanyaan,dasar,,,,,,,,
122306.1,v,,<tanya> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122307,v,16,tanyai,dasar,,,,,,,,
