Nomor,KP,Jumlah,Entri,Tipe,Pembentukan,
27233,v,188,dikaruniai,dasar,,
27233.1,v,,di- + <karunia> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
27233.2,x,,di- + <karuniai>,bentukan,[37] di- + (<all>) + (-i;-kan),
27233.3,x,,<dikarunia> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
27234,v,11,dikaruniakan,dasar,,
27234.1,v,,di- + <karunia> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27234.2,x,,di- + <karuniakan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27234.3,x,,<dikarunia> + -kan,bentukan,[29] [S] -kan + (<all>),
27234.4,x,,<dikaruniak> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27235,v,12,dikaryakan,dasar,,
27235.1,v,,di- + <karya> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27235.2,x,,di- + <karyakan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27235.3,x,,<dikarya> + -kan,bentukan,[29] [S] -kan + (<all>),
27235.4,x,,<dikaryak> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27236,v,2,dikasari,dasar,,
27236.1,v,,di- + <kasar> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
27236.2,x,,di- + <kasari>,bentukan,[37] di- + (<all>) + (-i;-kan),
27236.3,x,,<dikasar> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
27237,t,189,dikasih,dasar,diberi,
27237.1,x,,di- + <kasih>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
27238,v,32,dikasihani,dasar,,
27238.1,v,,di- + <kasihan> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
27238.2,x,,di- + <kasihani>,bentukan,[37] di- + (<all>) + (-i;-kan),
27238.3,x,,<dikasihan> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
27239,v,31,dikasihi,dasar,,
27239.1,v,,di- + <kasih> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
