Nomor,KP,Jumlah,Entri,Tipe,Pembentukan,
28194,v,4,dimungkinkannya,dasar,,
28194.1,x,,di- + <mungkinkannya>,bentukan,[37] di- + (<all>) + (-i;-kan),
28194.2,x,,<dimungkinkan> + -nya,bentukan,[34] [SFS] -nya + (<all>),
28194.3,v,,di- + <mungkin> + -kan + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
28194.4,x,,di- + <mungkinkan> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
28194.5,x,,<dimungkin> + -kan + -nya,bentukan,[29] [S] -kan + (<all>) => [34] [SFS] -nya + (<all>),
28194.6,x,,<dimungkink> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>),
,,,,,,
28195,v,98,dimungkiri,dasar,,
28195.1,v,,di- + <mungkir> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
28195.2,x,,di- + <mungkiri>,bentukan,[37] di- + (<all>) + (-i;-kan),
28195.3,x,,<dimungkir> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
28196,k,24,dimuntahkan,dasar,,
28196.1,v,,di- + <muntah> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
28196.2,x,,di- + <muntahkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
28196.3,x,,<dimuntah> + -kan,bentukan,[29] [S] -kan + (<all>),
28196.4,x,,<dimuntahk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
28197,v,12,dimurkai,dasar,,
28197.1,v,,di- + <murka> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
28197.2,x,,di- + <murkai>,bentukan,[37] di- + (<all>) + (-i;-kan),
28197.3,x,,<dimurka> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
28198,v,37,dimurnikan,dasar,,
28198.1,v,,di- + <murni> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
28198.2,x,,di- + <murnikan>,bentukan,[37] di- + (<all>) + (-i;-kan),
28198.3,x,,<dimurni> + -kan,bentukan,[29] [S] -kan + (<all>),
28198.4,x,,<dimurnik> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
28199,v,2,dimuseumkan,dasar,,
28199.1,v,,di- + <museum> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
28199.2,x,,di- + <museumkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
28199.3,x,,<dimuseum> + -kan,bentukan,[29] [S] -kan + (<all>),
28199.4,x,,<dimuseumk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
28200,t,2,dimusnahin,dasar,dimusnahkan,
28200.1,x,,di- + <musnahin>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
28201,v,123,dimusnahkan,dasar,,
28201.1,v,,di- + <musnah> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
28201.2,x,,di- + <musnahkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
28201.3,x,,<dimusnah> + -kan,bentukan,[29] [S] -kan + (<all>),
28201.4,x,,<dimusnahk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
28202,v,47,dimusuhi,dasar,,
28202.1,v,,di- + <musuh> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
28202.2,x,,di- + <musuhi>,bentukan,[37] di- + (<all>) + (-i;-kan),
28202.3,x,,<dimusuh> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
28203,v,4,dimusuhinya,dasar,,
28203.1,x,,di- + <musuhinya>,bentukan,[37] di- + (<all>) + (-i;-kan),
28203.2,x,,<dimusuhi> + -nya,bentukan,[34] [SFS] -nya + (<all>),
28203.3,v,,di- + <musuh> + -i + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
28203.4,x,,di- + <musuhi> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
28203.5,x,,<dimusuh> + -i + -nya,bentukan,[28] [S] -i + (<all>) => [34] [SFS] -nya + (<all>),
,,,,,,
28204,v,27,dimusyawarahkan,dasar,,
28204.1,v,,di- + <musyawarah> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
28204.2,x,,di- + <musyawarahkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
28204.3,x,,<dimusyawarah> + -kan,bentukan,[29] [S] -kan + (<all>),
28204.4,x,,<dimusyawarahk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
28205,t,3,dimutahirkan,dasar,dimutakhirkan,
28205.1,x,,di- + <mutahir> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
28205.2,x,,di- + <mutahirkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
28205.3,x,,<dimutahir> + -kan,bentukan,[29] [S] -kan + (<all>),
28205.4,x,,<dimutahirk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
28206,v,21,dimutakhirkan,dasar,,
28206.1,v,,di- + <mutakhir> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
28206.2,x,,di- + <mutakhirkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
28206.3,x,,<dimutakhir> + -kan,bentukan,[29] [S] -kan + (<all>),
28206.4,x,,<dimutakhirk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
28207,v,35,dimutasi,dasar,,
28207.1,x,,di- + <mutas> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
28207.2,v,,di- + <mutasi>,bentukan,[37] di- + (<all>) + (-i;-kan),
28207.3,x,,<dimutas> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
28208,v,6,dimutasikan,dasar,,
28208.1,v,,di- + <mutasi> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
28208.2,x,,di- + <mutasikan>,bentukan,[37] di- + (<all>) + (-i;-kan),
28208.3,x,,<dimutasi> + -kan,bentukan,[29] [S] -kan + (<all>),
28208.4,x,,<dimutasik> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
28209,v,15,dimutilasi,dasar,,
28209.1,x,,di- + <mutilas> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
28209.2,v,,di- + <mutilasi>,bentukan,[37] di- + (<all>) + (-i;-kan),
28209.3,x,,<dimutilas> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
28210,v,2,dimutlakkan,dasar,,
28210.1,v,,di- + <mutlak> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
28210.2,x,,di- + <mutlakkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
28210.3,x,,<dimutlak> + -kan,bentukan,[29] [S] -kan + (<all>),
28210.4,x,,<dimutlakk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
28211,k,145,din,dasar,,
28211.1,x,,di- + <n>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
28212,k,0,dina hari,dasar,,
28212.1,x,,di- + <na har> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
28212.2,x,,di- + <na hari>,bentukan,[37] di- + (<all>) + (-i;-kan),
28212.3,x,,<dina har> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
28213,x,2,dinafikkan,dasar,dinafikan,
