Nomor,KP,Jumlah,Entri,Tipe,Pembentukan,
28213.1,x,,di- + <nafik> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
28213.2,x,,di- + <nafikkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
28213.3,x,,<dinafik> + -kan,bentukan,[29] [S] -kan + (<all>),
28213.4,x,,<dinafikk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
28214,v,3,dinafkahi,dasar,,
28214.1,v,,di- + <nafkah> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
28214.2,x,,di- + <nafkahi>,bentukan,[37] di- + (<all>) + (-i;-kan),
28214.3,x,,<dinafkah> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
28215,x,5,dinahkodai,dasar,dinakhodai,
28215.1,x,,di- + <nahkoda> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
28215.2,x,,di- + <nahkodai>,bentukan,[37] di- + (<all>) + (-i;-kan),
28215.3,x,,<dinahkoda> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
28216,v,40,dinaiki,dasar,,
28216.1,v,,di- + <naik> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
28216.2,x,,di- + <naiki>,bentukan,[37] di- + (<all>) + (-i;-kan),
28216.3,x,,<dinaik> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
28217,v,11,dinaikinya,dasar,,
28217.1,x,,di- + <naikinya>,bentukan,[37] di- + (<all>) + (-i;-kan),
28217.2,x,,<dinaiki> + -nya,bentukan,[34] [SFS] -nya + (<all>),
28217.3,v,,di- + <naik> + -i + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
28217.4,x,,di- + <naiki> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
28217.5,x,,<dinaik> + -i + -nya,bentukan,[28] [S] -i + (<all>) => [34] [SFS] -nya + (<all>),
,,,,,,
28218,v,241,dinaikkan,dasar,,
28218.1,v,,di- + <naik> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
28218.2,x,,di- + <naikkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
28218.3,x,,<dinaik> + -kan,bentukan,[29] [S] -kan + (<all>),
28218.4,x,,<dinaikk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
28219,v,2,dinaikkanlah,dasar,,
28219.1,x,,di- + <naikkanlah>,bentukan,[37] di- + (<all>) + (-i;-kan),
28219.2,x,,<dinaikkan> + -lah,bentukan,[31] [FS] -lah + (<all>),
28219.3,v,,di- + <naik> + -kan + -lah,bentukan,[37] di- + (<all>) + (-i;-kan) => [31] [FS] -lah + (<all>),
28219.4,x,,di- + <naikkan> + -lah,bentukan,[37] di- + (<all>) + (-i;-kan) => [31] [FS] -lah + (<all>),
28219.5,x,,<dinaik> + -kan + -lah,bentukan,[29] [S] -kan + (<all>) => [31] [FS] -lah + (<all>),
28219.6,x,,<dinaikk> + -an + -lah,bentukan,[38] [S] -an + (<all>) => [31] [FS] -lah + (<all>),
,,,,,,
28220,v,4,dinaikkannya,dasar,,
28220.1,x,,di- + <naikkannya>,bentukan,[37] di- + (<all>) + (-i;-kan),
28220.2,x,,<dinaikkan> + -nya,bentukan,[34] [SFS] -nya + (<all>),
28220.3,v,,di- + <naik> + -kan + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
28220.4,x,,di- + <naikkan> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
28220.5,x,,<dinaik> + -kan + -nya,bentukan,[29] [S] -kan + (<all>) => [34] [SFS] -nya + (<all>),
28220.6,x,,<dinaikk> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>),
,,,,,,
28221,k,0,dinaju,dasar,,
28221.1,x,,di- + <naju>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
28222,v,2,dinakali,dasar,,
28222.1,v,,di- + <nakal> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
28222.2,x,,di- + <nakali>,bentukan,[37] di- + (<all>) + (-i;-kan),
28222.3,x,,<dinakal> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
28223,v,12,dinakhodai,dasar,,
28223.1,v,,di- + <nakhoda> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
28223.2,x,,di- + <nakhodai>,bentukan,[37] di- + (<all>) + (-i;-kan),
28223.3,x,,<dinakhoda> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
28224,v,174,dinamai,dasar,,
28224.1,v,,di- + <nama> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
28224.2,x,,di- + <namai>,bentukan,[37] di- + (<all>) + (-i;-kan),
28224.3,x,,<dinama> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
28225,t,4,dinamain,dasar,dinamakan,dinamai
28225.1,x,,di- + <namain>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
28226,v,8,dinamainya,dasar,,
28226.1,x,,di- + <namainya>,bentukan,[37] di- + (<all>) + (-i;-kan),
28226.2,x,,<dinamai> + -nya,bentukan,[34] [SFS] -nya + (<all>),
28226.3,v,,di- + <nama> + -i + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
28226.4,x,,di- + <namai> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
28226.5,x,,<dinama> + -i + -nya,bentukan,[28] [S] -i + (<all>) => [34] [SFS] -nya + (<all>),
,,,,,,
28227,v,423,dinamakan,dasar,,
28227.1,v,,di- + <nama> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
28227.2,x,,di- + <namakan>,bentukan,[37] di- + (<all>) + (-i;-kan),
28227.3,x,,<dinama> + -kan,bentukan,[29] [S] -kan + (<all>),
28227.4,x,,<dinamak> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
28228,v,10,dinamakannya,dasar,,
28228.1,x,,di- + <namakannya>,bentukan,[37] di- + (<all>) + (-i;-kan),
28228.2,x,,<dinamakan> + -nya,bentukan,[34] [SFS] -nya + (<all>),
28228.3,v,,di- + <nama> + -kan + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
28228.4,x,,di- + <namakan> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
28228.5,x,,<dinama> + -kan + -nya,bentukan,[29] [S] -kan + (<all>) => [34] [SFS] -nya + (<all>),
28228.6,x,,<dinamak> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>),
,,,,,,
28229,k,62,dinamik,dasar,,
28229.1,x,,di- + <namik>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
28230,k,830,dinamika,dasar,,
28230.1,x,,di- + <namika>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
28231,k,0,dinamika balikan,dasar,,
28231.1,x,,di- + <namika bali> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
28231.2,x,,di- + <namika balikan>,bentukan,[37] di- + (<all>) + (-i;-kan),
28231.3,x,,<dinamika bali> + -kan,bentukan,[29] [S] -kan + (<all>),
28231.4,x,,<dinamika balik> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
28232,k,0,dinamika kelompok,dasar,,
28232.1,x,,di- + <namika kelompok>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
28233,k,0,dinamika langsung,dasar,,
28233.1,x,,di- + <namika langsung>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
28234,k,0,dinamika pembangunan,dasar,,
28234.1,x,,di- + <namika pembangunan>,bentukan,[37] di- + (<all>) + (-i;-kan),
28234.2,x,,<dinamika pembangun> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
28235,k,0,dinamika sosial,dasar,,
28235.1,x,,di- + <namika sosial>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
28236,v,2,dinamika-dinamika,dasar,,
28236.1,v,,<dinamika> [-] <r>,bentukan,[23] [RD] |,
28236.2,x,,di- + <namika> [-] di- + <r>,bentukan,[37] di- + (<all>) + (-i;-kan) => [23] [RD] |,
,,,,,,
28237,k,782,dinamis,dasar,,
28237.1,x,,di- + <namis>,bentukan,[37] di- + (<all>) + (-i;-kan),
28237.2,x,,<dinami> + [-is:-s],bentukan,[177] [S] -is + (i),
28237.3,x,,<dinam> + -is,bentukan,[178] [S] -is + (<others>),
,,,,,,
28238,v,15,dinamisasi,dasar,,
28238.1,x,,di- + <namisas> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
28238.2,x,,di- + <namisasi>,bentukan,[37] di- + (<all>) + (-i;-kan),
28238.3,x,,<dinamisas> + -i,bentukan,[28] [S] -i + (<all>),
28238.4,x,,<dinami> + [-isasi:-sasi],bentukan,[166] [S] -isasi + (i),
28238.5,v,,<dinamis> + [-isasi:-asi],bentukan,[167] [S] -isasi + (is),
28238.6,x,,<dinam> + -isasi,bentukan,[169] [S] -isasi + (<others>),
,,,,,,
28239,k,9,dinamisator,dasar,,
28239.1,x,,di- + <namisator>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
28240,k,26,dinamisme,dasar,,
28240.1,x,,di- + <namisme>,bentukan,[37] di- + (<all>) + (-i;-kan),
28240.2,x,,<dinam> + -isme,bentukan,[89] [S] -isme + (<all>),
,,,,,,
28241,k,0,dinamisme komunikatif,dasar,,
28241.1,x,,di- + <namisme komunikatif>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
28242,v,18,dinamisnya,dasar,,
28242.1,x,,di- + <namisnya>,bentukan,[37] di- + (<all>) + (-i;-kan),
28242.2,x,,<dinamis> + -nya,bentukan,[34] [SFS] -nya + (<all>),
28242.3,x,,di- + <namis> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
28242.4,x,,<dinami> + [-is:-s] + -nya,bentukan,[177] [S] -is + (i) => [34] [SFS] -nya + (<all>),
28242.5,x,,<dinam> + -is + -nya,bentukan,[178] [S] -is + (<others>) => [34] [SFS] -nya + (<all>),
,,,,,,
28243,k,15,dinamit,dasar,,
28243.1,x,,di- + <namit>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
28244,k,0,dinamit gelatin,dasar,,
28244.1,x,,di- + <namit gelatin>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
28245,k,31,dinamo,dasar,,
28245.1,x,,di- + <namo>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
28246,k,2,dinamometer,dasar,,
28246.1,x,,di- + <namometer>,bentukan,[37] di- + (<all>) + (-i;-kan),
28246.2,v,,<dinamo> + -meter,bentukan,[189] [S] -meter + (<all>),
,,,,,,
28247,k,0,dinamometri,dasar,,
28247.1,x,,di- + <namometr> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
28247.2,x,,di- + <namometri>,bentukan,[37] di- + (<all>) + (-i;-kan),
28247.3,x,,<dinamometr> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
28248,v,111,dinanti,dasar,,
28248.1,x,,di- + <nant> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
28248.2,v,,di- + <nanti>,bentukan,[37] di- + (<all>) + (-i;-kan),
28248.3,x,,<dinant> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
28249,v,27,dinanti-nanti,dasar,,
28249.1,x,,di- + <nant> [-] <r> + -i,bentukan,[37] di- + (<all>) + (-i;-kan) => [39] [RD] di-|,
28249.2,v,,di- + <nanti> [-] <r>,bentukan,[37] di- + (<all>) + (-i;-kan) => [39] [RD] di-|,
,,,,,,
28250,v,13,dinanti-nantikan,dasar,,
28250.1,x,,di- + <nant> [-] <r> + -ikan,bentukan,[37] di- + (<all>) + (-i;-kan) => [39] [RD] di-|,
28250.2,v,,di- + <nanti> [-] <r> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan) => [39] [RD] di-|,
,,,,,,
28251,v,2,dinanti-nantinya,dasar,,
28251.1,x,,di- + <nant> [-] <r> + -inya,bentukan,[37] di- + (<all>) + (-i;-kan) => [39] [RD] di-|,
28251.2,v,,di- + <nanti> [-] <r> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [39] [RD] di-|,
28251.3,x,,di- + <nant> [-] <r> + -i + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [39] [RD] di-| => [34] [SFS] -nya + (<all>),
28251.4,x,,di- + <nanti> [-] <r> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [39] [RD] di-| => [34] [SFS] -nya + (<all>),
,,,,,,
28252,v,72,dinantikan,dasar,,
28252.1,v,,di- + <nanti> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
28252.2,x,,di- + <nantikan>,bentukan,[37] di- + (<all>) + (-i;-kan),
28252.3,x,,<dinanti> + -kan,bentukan,[29] [S] -kan + (<all>),
28252.4,x,,<dinantik> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
28253,v,7,dinantikannya,dasar,,
28253.1,x,,di- + <nantikannya>,bentukan,[37] di- + (<all>) + (-i;-kan),
28253.2,x,,<dinantikan> + -nya,bentukan,[34] [SFS] -nya + (<all>),
28253.3,v,,di- + <nanti> + -kan + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
28253.4,x,,di- + <nantikan> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
28253.5,x,,<dinanti> + -kan + -nya,bentukan,[29] [S] -kan + (<all>) => [34] [SFS] -nya + (<all>),
28253.6,x,,<dinantik> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>),
,,,,,,
28254,v,3,dinantinya,dasar,,
28254.1,x,,di- + <nantinya>,bentukan,[37] di- + (<all>) + (-i;-kan),
28254.2,x,,<dinanti> + -nya,bentukan,[34] [SFS] -nya + (<all>),
28254.3,x,,di- + <nant> + -i + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
28254.4,v,,di- + <nanti> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
28254.5,x,,<dinant> + -i + -nya,bentukan,[28] [S] -i + (<all>) => [34] [SFS] -nya + (<all>),
,,,,,,
28255,k,42,dinar,dasar,,
28255.1,x,,di- + <nar>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
28256,v,23,dinarasikan,dasar,,
28256.1,v,,di- + <narasi> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
28256.2,x,,di- + <narasikan>,bentukan,[37] di- + (<all>) + (-i;-kan),
28256.3,x,,<dinarasi> + -kan,bentukan,[29] [S] -kan + (<all>),
28256.4,x,,<dinarasik> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
28257,k,2548,dinas,dasar,,
28257.1,x,,di- + <nas>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
28258,k,0,dinas (stasiun) meteorologi utama (kelas i),dasar,,
28258.1,x,,di- + <nas (stasiun) meteorologi utama (kelas i)>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
28259,k,0,dinas daerah,dasar,,
28259.1,x,,di- + <nas daerah>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
28260,k,0,dinas intelijen,dasar,,
28260.1,x,,di- + <nas intelijen>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
28261,k,0,dinas jaga meteorologi,dasar,,
28261.1,x,,di- + <nas jaga meteorolog> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
28261.2,x,,di- + <nas jaga meteorologi>,bentukan,[37] di- + (<all>) + (-i;-kan),
28261.3,x,,<dinas jaga meteorolog> + -i,bentukan,[28] [S] -i + (<all>),
28261.4,x,,<dinas jaga meteoro> + -logi,bentukan,[190] [S] -logi + (<all>),
,,,,,,
28262,k,0,dinas meteorologi,dasar,,
28262.1,x,,di- + <nas meteorolog> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
28262.2,x,,di- + <nas meteorologi>,bentukan,[37] di- + (<all>) + (-i;-kan),
28262.3,x,,<dinas meteorolog> + -i,bentukan,[28] [S] -i + (<all>),
28262.4,x,,<dinas meteoro> + -logi,bentukan,[190] [S] -logi + (<all>),
,,,,,,
28263,k,0,dinas meteorologi penerbangan,dasar,,
28263.1,x,,di- + <nas meteorologi penerbangan>,bentukan,[37] di- + (<all>) + (-i;-kan),
28263.2,x,,<dinas meteorologi penerbang> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
28264,k,0,dinas meteorologi wilayah,dasar,,
28264.1,x,,di- + <nas meteorologi wilayah>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
28265,k,0,dinas pabean,dasar,,
28265.1,x,,di- + <nas pabean>,bentukan,[37] di- + (<all>) + (-i;-kan),
28265.2,x,,<dinas pabe> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
28266,k,0,dinas peternakan daerah,dasar,,
28266.1,x,,di- + <nas peternakan daerah>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
28267,k,0,dinas rahasia,dasar,,
28267.1,x,,di- + <nas rahasia>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
28268,v,68,dinas-dinas,dasar,,
28268.1,v,,<dinas> [-] <r>,bentukan,[23] [RD] |,
28268.2,x,,di- + <nas> [-] di- + <r>,bentukan,[37] di- + (<all>) + (-i;-kan) => [23] [RD] |,
,,,,,,
28269,v,2,dinasabkan,dasar,,
28269.1,v,,di- + <nasab> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
28269.2,x,,di- + <nasabkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
28269.3,x,,<dinasab> + -kan,bentukan,[29] [S] -kan + (<all>),
28269.4,x,,<dinasabk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
28270,t,3,dinasehati,dasar,dinasihati,
28270.1,x,,di- + <nasehat> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
28270.2,x,,di- + <nasehati>,bentukan,[37] di- + (<all>) + (-i;-kan),
28270.3,x,,<dinasehat> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
28271,t,2,dinasehatin,dasar,dinasihati,
28271.1,x,,di- + <nasehatin>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
28272,v,27,dinasihati,dasar,,
28272.1,v,,di- + <nasihat> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
28272.2,x,,di- + <nasihati>,bentukan,[37] di- + (<all>) + (-i;-kan),
28272.3,x,,<dinasihat> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
28273,v,2,dinasihatinya,dasar,,
28273.1,x,,di- + <nasihatinya>,bentukan,[37] di- + (<all>) + (-i;-kan),
28273.2,x,,<dinasihati> + -nya,bentukan,[34] [SFS] -nya + (<all>),
28273.3,v,,di- + <nasihat> + -i + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
28273.4,x,,di- + <nasihati> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
28273.5,x,,<dinasihat> + -i + -nya,bentukan,[28] [S] -i + (<all>) => [34] [SFS] -nya + (<all>),
,,,,,,
28274,v,3,dinasihatkan,dasar,,
28274.1,v,,di- + <nasihat> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
28274.2,x,,di- + <nasihatkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
28274.3,x,,<dinasihat> + -kan,bentukan,[29] [S] -kan + (<all>),
28274.4,x,,<dinasihatk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
28275,v,4,dinasionalisasi,dasar,,
28275.1,x,,di- + <nasionalisas> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
28275.2,v,,di- + <nasionalisasi>,bentukan,[37] di- + (<all>) + (-i;-kan),
28275.3,x,,<dinasionalisas> + -i,bentukan,[28] [S] -i + (<all>),
28275.4,x,,<dinasionali> + [-isasi:-sasi],bentukan,[166] [S] -isasi + (i),
28275.5,x,,<dinasionalis> + [-isasi:-asi],bentukan,[167] [S] -isasi + (is),
28275.6,x,,<dinasional> + -isasi,bentukan,[169] [S] -isasi + (<others>),
,,,,,,
