Nomor,KP,Jumlah,Entri,Tipe,Pembentukan
82948,k,0,meruyupkan,dasar,
82948.1,v,,[meng-:me-] + <ruyup> + -kan,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
82948.2,x,,[meng-:me-] + <ruyupkan>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
82948.3,x,,<meruyup> + -kan,bentukan,[29] [S] -kan + (<all>)
82948.4,x,,<meruyupk> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
82949,k,0,merwatin,dasar,
,,,,,
82950,k,48,mes,dasar,
82950.1,x,,[meng-:me-] + <s>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
,,,,,
82951,k,2,mesa,dasar,
82951.1,x,,[meng-:me-] + <sa>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
,,,,,
82952,t,5,mesam-mesem,dasar,
,,,,,
82953,k,0,mesamba-samba ulu,dasar,
82953.1,x,,[meng-:me-] + <samba> [-] <r> + - ulu,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan) => [25] [RD] meng-|
,,,,,
82954,k,2,mesan,dasar,
82954.1,x,,[meng-:me-] + <san>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
82954.2,x,,<mes> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
82955,k,0,mesara,dasar,
82955.1,x,,[meng-:me-] + <sara>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
,,,,,
82956,k,13,mesem,dasar,
82956.1,x,,[meng-:me-] + <sem>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
,,,,,
82957,v,8,mesem-mesem,dasar,
82957.1,v,,<mesem> [-] <r>,bentukan,[23] [RD] |
82957.2,x,,[meng-:me-] + <sem> [-] [meng-:me-] + <r>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan) => [23] [RD] |
,,,,,
82958,k,0,meses,dasar,
82958.1,x,,[meng-:me-] + <ses>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
,,,,,
82959,v,2,mesianisme,dasar,
82959.1,x,,[meng-:me-] + <sianisme>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
82959.2,x,,<mesian> + -isme,bentukan,[89] [S] -isme + (<all>)
,,,,,
82960,k,11,mesias,dasar,
82960.1,x,,[meng-:me-] + <sias>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
,,,,,
82961,k,0,mesigit,dasar,
82961.1,x,,[meng-:me-] + <sigit>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
,,,,,
82962,k,0,mesik,dasar,
82962.1,x,,[meng-:me-] + <sik>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
,,,,,
82963,k,2417,mesin,dasar,
82963.1,x,,[meng-:me-] + <sin>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
,,,,,
82964,k,0,mesin akuntansi,dasar,
82964.1,x,,[meng-:me-] + <sin akuntans> + -i,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
82964.2,x,,[meng-:me-] + <sin akuntansi>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
82964.3,x,,<mesin akuntans> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
82965,k,0,mesin asap,dasar,
82965.1,x,,[meng-:me-] + <sin asap>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
,,,,,
82966,k,0,mesin bicara,dasar,
82966.1,x,,[meng-:me-] + <sin bicara>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
,,,,,
82967,k,0,mesin bor,dasar,
82967.1,x,,[meng-:me-] + <sin bor>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
,,,,,
82968,k,0,mesin bor jumbo,dasar,
82968.1,x,,[meng-:me-] + <sin bor jumbo>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
,,,,,
82969,k,0,mesin bubut,dasar,
82969.1,x,,[meng-:me-] + <sin bubut>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
,,,,,
82970,k,0,mesin cetak,dasar,
82970.1,x,,[meng-:me-] + <sin cetak>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
,,,,,
82971,k,0,mesin cetak gulungan,dasar,
82971.1,x,,[meng-:me-] + <sin cetak gulungan>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
82971.2,x,,<mesin cetak gulung> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
82972,k,0,mesin cetak kaki,dasar,
82972.1,x,,[meng-:me-] + <sin cetak kak> + -i,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
82972.2,x,,[meng-:me-] + <sin cetak kaki>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
82972.3,x,,<mesin cetak kak> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
82973,k,0,mesin cetak lembaran,dasar,
82973.1,x,,[meng-:me-] + <sin cetak lembaran>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
82973.2,x,,<mesin cetak lembar> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
82974,k,0,mesin cetak rotasi,dasar,
82974.1,x,,[meng-:me-] + <sin cetak rotas> + -i,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
82974.2,x,,[meng-:me-] + <sin cetak rotasi>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
82974.3,x,,<mesin cetak rotas> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
82975,k,0,mesin cetak tangan,dasar,
82975.1,x,,[meng-:me-] + <sin cetak tangan>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
82975.2,x,,<mesin cetak tang> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
82976,k,0,mesin cuci,dasar,
82976.1,x,,[meng-:me-] + <sin cuc> + -i,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
82976.2,x,,[meng-:me-] + <sin cuci>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan)
82976.3,x,,<mesin cuc> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
82977,k,0,mesin cuci piring,dasar,
