Nomor,KP,Jumlah,Entri,Tipe,Pembentukan
88219,v,2,olahrasa,dasar,
,,,,,
88220,k,9,olak,dasar,
,,,,,
88221,k,0,olak-alik,dasar,
88221.1,v,,<[olak:olak-alik]>,bentukan,[Reduplication-Rhyming]
,,,,,
88222,k,0,olak-olak,dasar,
88222.1,x,,<olak> [-] <r>,bentukan,[23] [RD] |
,,,,,
88223,k,0,olakan,dasar,
88223.1,x,,<ola> + -kan,bentukan,[29] [S] -kan + (<all>)
88223.2,v,,<olak> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
88224,k,0,olakan air,dasar,
,,,,,
88225,k,0,olakan angin,dasar,
,,,,,
88226,k,3,olanda,dasar,
88226.1,x,,<ola> + [-anda:-nda],bentukan,[183] [S] -anda + (i;u;a;[k:])
88226.2,x,,<olan> + [-anda:-da],bentukan,[184] [S] -anda + (an)
88226.3,x,,<ol> + -anda,bentukan,[185] [S] -anda + (<others>)
,,,,,
88227,k,0,olang-aling,dasar,
88227.1,v,,<olang-aling>,bentukan,[Reduplication-Rhyming]
,,,,,
88228,k,0,olang-alingan,dasar,
88228.1,v,,<olang-aling> + -an,bentukan,[Reduplication-Rhyming] => [38] [S] -an + (<all>)
,,,,,
88229,k,2,ole-ole,dasar,
88229.1,v,,<ole> [-] <r>,bentukan,[23] [RD] |
,,,,,
88230,k,0,oleagin,dasar,
,,,,,
88231,k,0,oleander,dasar,
,,,,,
88232,k,12,olefin,dasar,
,,,,,
88233,k,23167,oleh,dasar,
,,,,,
88234,k,0,oleh karena itu,dasar,
,,,,,
88235,k,0,oleh sebab itu,dasar,
,,,,,
88236,k,153,oleh-oleh,dasar,
88236.1,v,,<oleh> [-] <r>,bentukan,[23] [RD] |
,,,,,
88237,k,3,olek,dasar,
,,,,,
88238,k,53,oleng,dasar,
,,,,,
88239,k,0,oleng naik turun,dasar,
,,,,,
88240,k,0,olengan,dasar,
88240.1,v,,<oleng> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
88241,k,0,oleografi,dasar,
88241.1,x,,<oleograf> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
88242,k,8,oleokimia,dasar,
,,,,,
88243,k,0,oleometer,dasar,
88243.1,x,,<oleo> + -meter,bentukan,[189] [S] -meter + (<all>)
,,,,,
88244,k,2,oleoresin,dasar,
,,,,,
88245,k,0,oleovitamin,dasar,
,,,,,
88246,k,13,oles,dasar,
,,,,,
88247,k,10,olesan,dasar,
88247.1,v,,<oles> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
88248,v,6,olesi,dasar,
88248.1,v,,<oles> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
88249,v,34,oleskan,dasar,
88249.1,v,,<oles> + -kan,bentukan,[29] [S] -kan + (<all>)
88249.2,x,,<olesk> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
88250,k,0,olet,dasar,
,,,,,
88251,k,0,oleum,dasar,
,,,,,
88252,k,0,olfaktofobia,dasar,
88252.1,x,,<olfakto> + -fobia,bentukan,[107] [S] -fobia + (<all>)
,,,,,
88253,k,4,olfaktori,dasar,
88253.1,x,,<olfaktor> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
88254,k,96,oli,dasar,
88254.1,x,,<ol> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
88255,k,0,olia,dasar,
,,,,,
88256,k,6,oligark,dasar,
,,,,,
88257,k,47,oligarki,dasar,
88257.1,x,,<oligark> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
88258,k,0,oligarki kapital,dasar,
,,,,,
88259,k,0,oligofagus,dasar,
,,,,,
88260,k,0,oligofili,dasar,
88260.1,x,,<oligofil> + -i,bentukan,[28] [S] -i + (<all>)
88260.2,x,,<oligo> + -fili,bentukan,[193] [S] -fili + (<all>)
,,,,,
88261,k,0,oligofrenia,dasar,
,,,,,
88262,k,0,oligohalin,dasar,
,,,,,
