Nomor,KP,Jumlah,Entri,Tipe,Pembentukan
119401,k,1163,sulawesi,dasar,
119401.1,x,,<sulawes> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
119402,k,0,sulawesi barat,dasar,
,,,,,
119403,k,0,sulawesi selatan,dasar,
119403.1,x,,<sulawesi selat> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
119404,k,0,sulawesi tengah,dasar,
,,,,,
119405,k,0,sulawesi utara,dasar,
,,,,,
119406,k,4,sulbi,dasar,
119406.1,x,,<sulb> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
119407,k,0,sulfanasi,dasar,
119407.1,x,,<sulfanas> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
119408,k,0,sulfanilamida,dasar,
,,,,,
119409,k,93,sulfat,dasar,
,,,,,
119410,k,0,sulfhidril,dasar,
,,,,,
119411,k,26,sulfida,dasar,
,,,,,
119412,v,3,sulfoksida,dasar,
,,,,,
119413,k,0,sulfolipid,dasar,
,,,,,
119414,k,0,sulfonamida,dasar,
,,,,,
119415,v,4,sulfonat,dasar,
,,,,,
119416,k,0,sulforafan,dasar,
119416.1,x,,<sulforaf> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
119417,k,61,sulfur,dasar,
,,,,,
119418,k,0,sulfurasi,dasar,
119418.1,x,,<sulfuras> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
119419,v,3,sulfurnya,dasar,
119419.1,v,,<sulfur> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
119420,c,11,suli,dasar,gandasuli
119420.1,x,,<sul> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
119421,k,0,suligar,dasar,
,,,,,
119422,k,10,sulih,dasar,
,,,,,
119423,k,0,sulih mata,dasar,
,,,,,
119424,k,0,sulih suara,dasar,
,,,,,
119425,k,61,suling,dasar,
,,,,,
119426,k,0,suling daling,dasar,
,,,,,
119427,k,0,suling paling,dasar,
,,,,,
119428,k,2,sulingan,dasar,
119428.1,v,,<suling> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
119429,k,4370,sulit,dasar,
,,,,,
119430,v,12,sulit-sulit,dasar,
119430.1,v,,<sulit> [-] <r>,bentukan,[23] [RD] |
,,,,,
119431,v,337,sulitnya,dasar,
119431.1,v,,<sulit> + -nya,bentukan,[34] [SFS] -nya + (<all>)
,,,,,
119432,v,72,sulsel,dasar,
,,,,,
119433,v,10,sulselbar,dasar,
,,,,,
119434,k,448,sultan,dasar,
119434.1,x,,<sult> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
119435,v,4,sultan-sultan,dasar,
119435.1,v,,<sultan> [-] <r>,bentukan,[23] [RD] |
119435.2,x,,<sult> + -an [-] <r> + -an,bentukan,[38] [S] -an + (<all>) => [23] [RD] |
,,,,,
119436,k,0,sultanat,dasar,
,,,,,
119437,k,0,sultani,dasar,
119437.1,v,,<sultan> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
119438,v,29,sulteng,dasar,
,,,,,
