Nomor,KP,Jumlah,Entri,Tipe,Pembentukan
92828,v,6,pelukis-pelukis,dasar,
92828.1,x,,<pelukis> [-] <r>,bentukan,[23] [RD] |
92828.2,v,,[peng-:pe-] + <lukis> [-] [peng-:pe-] + <r>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an) => [23] [RD] |
92828.3,x,,pe- + <lukis> [-] pe- + <r>,bentukan,[96] pe- + (<all>) + (-an) => [23] [RD] |
92828.4,x,,<peluki> + [-is:-s] [-] <r> + [-is:-s],bentukan,[177] [S] -is + (i) => [23] [RD] |
92828.5,x,,<peluk> + -is [-] <r> + -is,bentukan,[178] [S] -is + (<others>) => [23] [RD] |
,,,,,
92829,k,12,pelukisan,dasar,
92829.1,x,,[peng-:pe-] + <lukis> + -an,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
92829.2,x,,[peng-:pe-] + <lukisan>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
92829.3,v,,pe- + <lukis> + -an,bentukan,[96] pe- + (<all>) + (-an)
92829.4,x,,pe- + <lukisan>,bentukan,[96] pe- + (<all>) + (-an)
92829.5,x,,<pelukis> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
92830,v,3,pelukisannya,dasar,
92830.1,x,,[peng-:pe-] + <lukisannya>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
92830.2,x,,pe- + <lukisannya>,bentukan,[96] pe- + (<all>) + (-an)
92830.3,x,,<pelukisan> + -nya,bentukan,[34] [SFS] -nya + (<all>)
92830.4,x,,[peng-:pe-] + <lukis> + -an + -nya,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an) => [34] [SFS] -nya + (<all>)
92830.5,x,,[peng-:pe-] + <lukisan> + -nya,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an) => [34] [SFS] -nya + (<all>)
92830.6,v,,pe- + <lukis> + -an + -nya,bentukan,[96] pe- + (<all>) + (-an) => [34] [SFS] -nya + (<all>)
92830.7,x,,pe- + <lukisan> + -nya,bentukan,[96] pe- + (<all>) + (-an) => [34] [SFS] -nya + (<all>)
92830.8,x,,<pelukis> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>)
,,,,,
92831,v,12,pelukisnya,dasar,
92831.1,x,,[peng-:pe-] + <lukisnya>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
92831.2,x,,pe- + <lukisnya>,bentukan,[96] pe- + (<all>) + (-an)
92831.3,x,,<pelukis> + -nya,bentukan,[34] [SFS] -nya + (<all>)
92831.4,v,,[peng-:pe-] + <lukis> + -nya,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an) => [34] [SFS] -nya + (<all>)
92831.5,x,,pe- + <lukis> + -nya,bentukan,[96] pe- + (<all>) + (-an) => [34] [SFS] -nya + (<all>)
92831.6,x,,<peluki> + [-is:-s] + -nya,bentukan,[177] [S] -is + (i) => [34] [SFS] -nya + (<all>)
92831.7,x,,<peluk> + -is + -nya,bentukan,[178] [S] -is + (<others>) => [34] [SFS] -nya + (<all>)
,,,,,
92832,v,4,peluklah,dasar,
92832.1,x,,[peng-:pe-] + <luklah>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
92832.2,x,,pe- + <luklah>,bentukan,[96] pe- + (<all>) + (-an)
92832.3,v,,<peluk> + -lah,bentukan,[31] [FS] -lah + (<all>)
92832.4,x,,[peng-:pe-] + <luk> + -lah,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an) => [31] [FS] -lah + (<all>)
92832.5,x,,pe- + <luk> + -lah,bentukan,[96] pe- + (<all>) + (-an) => [31] [FS] -lah + (<all>)
,,,,,
92833,k,0,peluluh,dasar,
92833.1,v,,[peng-:pe-] + <luluh>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
92833.2,x,,pe- + <luluh>,bentukan,[96] pe- + (<all>) + (-an)
,,,,,
92834,k,0,peluluhan,dasar,
92834.1,x,,[peng-:pe-] + <luluh> + -an,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
92834.2,x,,[peng-:pe-] + <luluhan>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
92834.3,v,,pe- + <luluh> + -an,bentukan,[96] pe- + (<all>) + (-an)
92834.4,x,,pe- + <luluhan>,bentukan,[96] pe- + (<all>) + (-an)
92834.5,x,,<peluluh> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
92835,k,0,peluluk,dasar,
92835.1,v,,[peng-:pe-] + <luluk>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
92835.2,x,,pe- + <luluk>,bentukan,[96] pe- + (<all>) + (-an)
,,,,,
92836,k,0,pelulusan,dasar,
92836.1,x,,[peng-:pe-] + <lulus> + -an,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
92836.2,x,,[peng-:pe-] + <lulusan>,bentukan,[8] peng- + (l;m;n;ng;ny;r;w;y;[p:m];[t:n];[k:ng];[s:ny]) + (-an)
92836.3,v,,pe- + <lulus> + -an,bentukan,[96] pe- + (<all>) + (-an)
