Nomor,KP,Jumlah,Entri,Tipe,Pembentukan
70286,k,2,membola,dasar,
70286.1,v,,[meng-:mem-] + <bola>,bentukan,[2] meng- + (b;f;v;pl;ps;pr;pt) + (-i;-kan)
,,,,,
70287,v,50,membolak-balik,dasar,
70287.1,v,,[meng-:mem-] + <[balik:bolak-balik]>,bentukan,[Reduplication-Rhyming] => [2] meng- + (b;f;v;pl;ps;pr;pt) + (-i;-kan) => [25] [RD] meng-|
,,,,,
70288,k,10,membolak-balikkan,dasar,
70288.1,v,,[meng-:mem-] + <[balik:bolak-balik]> + -kan,bentukan,[Reduplication-Rhyming] => [2] meng- + (b;f;v;pl;ps;pr;pt) + (-i;-kan) => [25] [RD] meng-|
,,,,,
70289,k,176,membolehkan,dasar,
70289.1,v,,[meng-:mem-] + <boleh> + -kan,bentukan,[2] meng- + (b;f;v;pl;ps;pr;pt) + (-i;-kan)
70289.2,x,,[meng-:mem-] + <bolehkan>,bentukan,[2] meng- + (b;f;v;pl;ps;pr;pt) + (-i;-kan)
70289.3,x,,<memboleh> + -kan,bentukan,[29] [S] -kan + (<all>)
70289.4,x,,<membolehk> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
70290,v,3,membolehkanku,dasar,
70290.1,x,,[meng-:mem-] + <bolehkanku>,bentukan,[2] meng- + (b;f;v;pl;ps;pr;pt) + (-i;-kan)
70290.2,v,,<membolehkan> + -ku,bentukan,[32] [SFS] -ku + (<all>)
70290.3,v,,[meng-:mem-] + <boleh> + -kan + -ku,bentukan,[2] meng- + (b;f;v;pl;ps;pr;pt) + (-i;-kan) => [32] [SFS] -ku + (<all>)
70290.4,x,,[meng-:mem-] + <bolehkan> + -ku,bentukan,[2] meng- + (b;f;v;pl;ps;pr;pt) + (-i;-kan) => [32] [SFS] -ku + (<all>)
70290.5,x,,<memboleh> + -kan + -ku,bentukan,[29] [S] -kan + (<all>) => [32] [SFS] -ku + (<all>)
70290.6,x,,<membolehk> + -an + -ku,bentukan,[38] [S] -an + (<all>) => [32] [SFS] -ku + (<all>)
,,,,,
70291,v,3,membolehkanmu,dasar,
70291.1,x,,[meng-:mem-] + <bolehkanmu>,bentukan,[2] meng- + (b;f;v;pl;ps;pr;pt) + (-i;-kan)
70291.2,v,,<membolehkan> + -mu,bentukan,[33] [SFS] -mu + (<all>)
70291.3,v,,[meng-:mem-] + <boleh> + -kan + -mu,bentukan,[2] meng- + (b;f;v;pl;ps;pr;pt) + (-i;-kan) => [33] [SFS] -mu + (<all>)
70291.4,x,,[meng-:mem-] + <bolehkan> + -mu,bentukan,[2] meng- + (b;f;v;pl;ps;pr;pt) + (-i;-kan) => [33] [SFS] -mu + (<all>)
70291.5,x,,<memboleh> + -kan + -mu,bentukan,[29] [S] -kan + (<all>) => [33] [SFS] -mu + (<all>)
